# SoFiA source catalogue
# Creator: SoFiA 2.4.1 (23-Mar-2022)
# Time:    Fri, 22 Aug 2025, 08:55:32
#
# Note that the plain-text catalogue is solely intended for
# visual inspection and should not be used for quantitative
# analysis due to limited precision and the lack of Unified
# Content Descriptors.  The XML catalogue should instead be
# imported into Python or VO-compatible software to analyse
# the source parameters measured by SoFiA, e.g. through the
# astropy.io.votable module of Astropy.
#
# Header rows:
#   1 = column number
#   2 = parameter name
#   3 = parameter unit
#
#                           1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43            44            45            46
#                        name            id             x             y             z         x_min         x_max         y_min         y_max         z_min         z_max         n_pix         f_min         f_max         f_sum           rel          flag          fill          mean           std          skew          kurt           rms           w20           w50          wm50       ell_maj       ell_min        ell_pa     ell3s_maj     ell3s_min      ell3s_pa        kin_pa         err_x         err_y         err_z     err_f_sum            ra           dec         v_opt        x_peak        y_peak        z_peak       ra_peak      dec_peak    v_opt_peak
#                           -             -           pix           pix           pix           pix           pix           pix           pix           pix           pix             -       Jy/beam       Jy/beam       Jy/beam             -             -             -       JY/BEAM       JY/BEAM             -             -       Jy/beam           pix           pix           pix           pix           pix           deg           pix           pix           deg           deg           pix           pix           pix       Jy/beam           deg           deg           m/s           pix           pix           pix           deg           deg           m/s

  "SoFiA J163257.73+441220.0"             1    175.624084    461.878144     41.752072           170           184           459           464            38            46            91  -1.51916e-04      0.002206      0.094157      0.000000             0      0.112346      2.506927      1.484436      0.555416     -0.241430   7.47197e-04      8.000000      7.469442      8.000000      8.124488      2.076297     89.979003      7.433649      0.053538     88.167087     -1.000000      0.282299      0.083169      0.188365      0.007128    248.240546     44.205555   2.49737e+06           172           462            46    248.261615     44.205977   2.45287e+06
  "SoFiA J163043.32+435546.3"             2    272.055554    395.430873     34.651144           262           279           388           400            26            45           466  -4.93283e-04      0.002156      0.397456      0.000000             0      0.099573      2.090695      1.192242      0.204783      0.564908   6.25855e-04     17.423292      4.703892     17.409384      7.029560      5.509776     88.978430      5.960917      5.573475     37.098995     59.843884      0.119763      0.089739      0.136980      0.013510    247.680492     43.929541   2.57179e+06           274           392            36    247.669269     43.915235   2.55765e+06
  "SoFiA J163107.86+432057.5"             3    254.372452    256.165024     30.998074           246           262           247           267            18            45          2896  -3.47388e-04      0.049195     26.362141      0.000000             0      0.289716     18.788809     20.460338      1.559048      2.083279   5.69956e-04     22.441989     20.486965     21.128140      6.943101      5.196403    -13.204196     10.427434      7.482897     -6.728963    163.391848      0.004014      0.004977      0.008106      0.030672    247.782762     43.349299   2.61009e+06           255           257            39    247.779167     43.352778   2.52621e+06
  "SoFiA J163340.56+433755.1"             4    143.857986    324.431194     40.529657           142           147           322           327            34            44            91   3.38023e-05      0.001989      0.083570      0.000000             0      0.229798      2.056786      1.007579      0.724982      0.209784   8.75899e-04     10.000000     10.000000     10.000000      2.951199      1.669155     38.340802      1.491703      0.762626     48.819000     -1.000000      0.110778      0.127749      0.264350      0.008356    248.418998     43.631967   2.51018e+06           143           325            42    248.423962     43.634310   2.49477e+06
  "SoFiA J163119.88+441423.4"             5    245.774390    469.885181     38.943179           240           249           467           472            34            43           174  -1.33248e-04      0.001989      0.152802      0.000000             0      0.290000      2.044115      1.059977      0.253992     -0.383242   6.52584e-04      8.799297      5.444998      8.775217      4.847691      2.323309    -85.913788      4.788167      1.616255    -89.255860     -1.000000      0.134244      0.067676      0.127720      0.008608    247.832822     44.239823   2.52680e+06           247           470            39    247.825694     44.240305   2.52621e+06
  "SoFiA J162905.09+424843.2"             6    344.432976    127.489126     36.533423           340           348           126           130            33            43           110  -2.27681e-04      0.002066      0.095324      0.000000             0      0.222222      2.103938      1.228230     -0.011596     -0.753518   7.65761e-04     10.000000      2.454459     10.000000      3.959240      1.551718     72.070474      2.355396      1.185458     57.911297     -1.000000      0.162907      0.078810      0.233465      0.008031    247.271194     42.812007   2.55206e+06           346           127            34    247.262311     42.809929   2.57862e+06
  "SoFiA J163649.13+421817.9"             7      1.993656      7.698471     38.278703             0             6             0            12            36            43           126     -0.003597      0.002523      0.080483      0.000000             1      0.173077      1.735700      2.933213     -0.677190      0.524611   9.27492e-04      4.464677      1.283778      4.459341      6.282613      2.982600      4.786164      4.754431      3.396649     10.654889     -1.000000      0.112517      0.227655      0.095552      0.010411    249.204722     42.304961   2.53377e+06             0             6            37    249.215793     42.297741   2.54717e+06
  "SoFiA J162923.66+430218.7"             8    330.532060    181.772845     39.629185           328           333           178           187            37            42            71   6.61043e-05      0.002183      0.057995      0.000000             0      0.197222      1.949263      1.218121      1.261555      1.512201   7.74773e-04      4.994741      3.890070      4.757425      3.547707      2.230019     -7.471444      0.000000      0.000000      0.000000     -1.000000      0.141614      0.234330      0.177704      0.006528    247.348571     43.038518   2.51961e+06           331           181            41    247.345927     43.035288   2.50525e+06
  "SoFiA J163603.12+441330.3"             9     42.818197    467.910499     34.669630            35            49           465           471            26            41           123  -2.13270e-04      0.001932      0.112244      0.000000             0      0.073214      2.126389      1.270277      0.240292     -1.054524   7.02710e-04     14.626931      9.059912     14.829930      7.922436      2.908101    -81.415067      7.907802      2.238014    -81.949111     -1.000000      0.252404      0.098399      0.329436      0.007793    249.012983     44.225071   2.57160e+06            45           467            41    249.000218     44.221411   2.50525e+06
  "SoFiA J163358.42+441701.9"            10    132.287816    480.972992     32.399523           129           137           477           486            26            40           133  -2.49769e-04      0.002138      0.123662      0.000000             0      0.098519      1.990487      1.151808      0.136094     -0.429321   6.24470e-04     13.797595     11.694901     14.000000      5.033447      2.409996    -35.614678      5.728950      1.681592    -40.241071    318.526351      0.092599      0.121309      0.252163      0.007202    248.493403     44.283853   2.59540e+06           132           480            30    248.495028     44.279788   2.62056e+06
  "SoFiA J163439.33+442321.5"            11    103.276906    506.554934     35.264532           101           106           504           509            32            39            44  -2.56982e-04      0.001724      0.040293      0.000000             0      0.152778      1.826632      0.869832     -0.599884      0.140052   8.96100e-04      7.000000      6.136131      7.000000      4.135706      1.264961     53.279793      3.856789      0.000000     41.464846     -1.000000      0.233152      0.182893      0.288194      0.005944    248.663860     44.389297   2.56536e+06           102           508            35    248.671397     44.395262   2.56814e+06
  "SoFiA J162907.97+422341.2"            12    342.906098     27.348842     34.829204           340           345            25            33            32            39            59  -8.92676e-05      0.002220      0.062281      0.000000             0      0.136574      2.175517      1.275180      0.742923      0.297132   8.21014e-04      5.788800      5.099220      5.727056      4.791246      2.139505     25.703075      5.182154   4.21468e-08     24.972330     -1.000000      0.137599      0.206605      0.180193      0.006306    247.283200     42.394766   2.56993e+06           344            25            35    247.277106     42.384950   2.56814e+06
  "SoFiA J163458.76+432149.8"            13     86.513118    260.625833     36.244431            84            89           259           263            34            38            30   6.36475e-04      0.001990      0.035782      0.000000             0      0.200000      3.367321      1.259929      0.346369     -0.668865   8.68290e-04      2.394426      1.413811      2.254875      3.529664      1.529679    -65.546936      0.000000      0.000000      0.000000     -1.000000      0.210672      0.132825      0.106799      0.004756    248.744853     43.363824   2.55509e+06            85           261            36    248.753550     43.365310   2.55765e+06
  "SoFiA J163234.44+440733.3"            14    192.235559    442.685740     30.246424           187           196           440           446            25            36           191  -4.76698e-04      0.002203      0.163826      0.000000             0      0.227381      1.831597      1.095002      0.207861     -0.216984   6.68770e-04     10.734289      9.934467     10.510281      4.245471      2.299637     79.574195      2.900506      2.015575     82.432257     -1.000000      0.120409      0.064398      0.181358      0.009243    248.143497     44.125921   2.61798e+06           194           442            26    248.133238     44.123096   2.66251e+06
  "SoFiA J163636.53+433316.8"            15     16.204666    307.414970     31.049845            11            22           304           312            27            35           150  -7.31695e-04      0.002331      0.134767      0.000000             0      0.154321      1.722140      1.263069      0.360618      0.178266   7.43608e-04      8.000000      7.882869      8.000000      3.982516      3.873772     79.188814      4.870689      2.200796    -63.967388     -1.000000      0.111670      0.130298      0.173366      0.009107    249.152220     43.554657   2.60955e+06            17           309            27    249.147798     43.561314   2.65202e+06
  "SoFiA J163314.09+431000.0"            16    162.303401    212.628767     31.434692           160           164           210           215            30            35            31   8.33577e-05      0.001758      0.032193      0.000000             0      0.172222      2.608720      1.143073     -0.230321     -0.842158   7.50753e-04      3.262573      1.251112      3.512985      2.491993      1.963722    -28.408188      0.958887      0.000000     39.258414     -1.000000      0.138319      0.156727      0.182324      0.004180    248.308724     43.166672   2.60551e+06           162           213            31    248.310471     43.168211   2.61007e+06
  "SoFiA J163637.84+430108.8"            17     13.134935    178.917307     29.477448             2            20           175           183            20            35           250     -0.001054      0.001956      0.188890      0.000000             0      0.091374      1.651600      1.091205     -0.528755      0.898848   6.41590e-04     12.716556     10.663006     12.600564      6.291291      3.004257    -79.970510      5.283328      2.385170    -88.944372     -1.000000      0.163245      0.082830      0.179649      0.010144    249.157682     43.019109   2.62604e+06            12           178            32    249.164063     43.015209   2.59959e+06
  "SoFiA J163629.53+434237.9"            18     21.882962    344.733929     27.815010            17            26           341           348            23            34           305  -1.96863e-04      0.002274      0.283174      0.000000             0      0.317708      1.763377      0.906854      0.048796     -0.276504   8.37183e-04     10.400717      6.091043      9.927054      4.098033      2.877503     78.487941      3.108712      2.393898     77.125239     -1.000000      0.106191      0.076085      0.127844      0.014621    249.123046     43.710519   2.64347e+06            22           343            27    249.122209     43.703302   2.65202e+06
  "SoFiA J162718.49+432751.2"            19    420.848654    284.694760     28.884165           419           423           282           287            27            31            77   1.81740e-04      0.001991      0.070443      0.000000             0      0.513333      2.075318      0.962972      0.970709      0.479734   8.14227e-04      4.000000      3.200389      3.978196      2.362572      2.230258     48.347818      2.019872      1.000000     23.411689     -1.000000      0.120194      0.124421      0.132237      0.007145    246.827025     43.464231   2.63226e+06           421           285            28    246.826136     43.465496   2.64153e+06
  "SoFiA J163550.19+432624.5"            20     49.392886    279.422790     24.682877            45            53           274           283            20            31           168  -2.12729e-04      0.001828      0.133924      0.000000             0      0.155556      1.709385      1.002524      0.266398     -0.489897   7.35644e-04      7.617265      5.482068      7.254013      3.602946      3.554966    -49.670268      3.579122      2.898340     26.202774     -1.000000      0.124716      0.117746      0.158407      0.009535    248.959121     43.440151   2.67633e+06            49           281            27    248.961504     43.446698   2.65202e+06
