# SoFiA source catalogue
# Creator: SoFiA 2.4.1 (23-Mar-2022)
# Time:    Fri, 22 Aug 2025, 08:41:33
#
# Note that the plain-text catalogue is solely intended for
# visual inspection and should not be used for quantitative
# analysis due to limited precision and the lack of Unified
# Content Descriptors.  The XML catalogue should instead be
# imported into Python or VO-compatible software to analyse
# the source parameters measured by SoFiA, e.g. through the
# astropy.io.votable module of Astropy.
#
# Header rows:
#   1 = column number
#   2 = parameter name
#   3 = parameter unit
#
#                           1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43            44            45            46
#                        name            id             x             y             z         x_min         x_max         y_min         y_max         z_min         z_max         n_pix         f_min         f_max         f_sum           rel          flag          fill          mean           std          skew          kurt           rms           w20           w50          wm50       ell_maj       ell_min        ell_pa     ell3s_maj     ell3s_min      ell3s_pa        kin_pa         err_x         err_y         err_z     err_f_sum            ra           dec         v_opt        x_peak        y_peak        z_peak       ra_peak      dec_peak    v_opt_peak
#                           -             -           pix           pix           pix           pix           pix           pix           pix           pix           pix             -       Jy/beam       Jy/beam       Jy/beam             -             -             -       JY/BEAM       JY/BEAM             -             -       Jy/beam           pix           pix           pix           pix           pix           deg           pix           pix           deg           deg           pix           pix           pix       Jy/beam           deg           deg           m/s           pix           pix           pix           deg           deg           m/s

  "SoFiA J110639.63+504508.5"             1    269.250085     93.649513     54.629569           253           289            64           135            41            62          2052   2.82198e-04      0.012797      3.295103      0.000000             2      0.035012      6.567295      2.287360      2.203856      7.386785   7.01161e-04     13.237474      8.359055     12.799565     36.450691     10.198428    -15.254956     36.359152      9.854259    -16.510760    170.821213      0.065601      0.166127      0.035398      0.031762    166.665143     50.752366   1.95900e+06           267            68            56    166.675102     50.681120   1.94470e+06
  "SoFiA J110554.87+514709.8"             2    310.472388    465.865049     50.101025           296           319           447           479            30            61           927   5.10824e-04      0.004340      1.925248      0.000000             0      0.036577      5.253790      1.234721      0.348118      1.032183   8.48317e-04     22.900331     18.424825     22.906513     14.764793      8.255639     -6.129088     14.349948      8.504444     -3.438471    188.870365      0.055635      0.100129      0.091917      0.025828    166.478613     51.786069   2.00629e+06           311           471            58    166.476164     51.800328   1.92382e+06
  "SoFiA J111025.05+513942.9"             3     59.242616    422.247318     52.385861            42            82           405           439            41            61          1630   3.87347e-04      0.005156      3.113367      0.000000             0      0.054090      5.745639      1.654674      0.759215      2.079071   8.45859e-04     17.770960     11.166284     17.438606     21.936545      7.798776    -47.944001     21.352734      8.075160    -46.731854    306.425164      0.093380      0.087332      0.052329      0.034150    167.604367     51.661922   1.98243e+06            61           427            58    167.596751     51.675181   1.92382e+06
  "SoFiA J110601.31+513931.7"             4    304.633174    420.035971     52.682858           291           324           384           446            30            61          2749   5.05263e-04      0.005271      4.795043      0.000000             0      0.040106      6.117407      1.695012      1.117785      3.351359   6.85775e-04     15.005748      7.393558     15.565604     27.000792      9.413428     -8.719280     27.696218     10.184979     -7.785276    180.038596      0.039322      0.097843      0.047022      0.035956    166.505460     51.658813   1.97933e+06           302           421            57    166.517238     51.661512   1.93426e+06
  "SoFiA J110403.46+512858.1"             5    414.905599    357.375526     51.427409           395           435           340           373            36            61          1313   4.26803e-04      0.006234      2.102315      0.000000             0      0.036227      6.090474      1.632304      0.958011      2.602286   6.36236e-04     17.775455     15.472388     16.647953     20.827470      7.204423    -40.753581     21.155324      7.454300    -40.059027    323.202308      0.081257      0.089610      0.057393      0.023054    166.014430     51.482806   1.99244e+06           422           368            56    165.982304     51.512122   1.94470e+06
  "SoFiA J110748.91+512509.4"             6    204.243370    333.804758     53.134650           194           222           313           355            39            61          2025   4.45195e-04      0.004874      3.632997      0.000000             0      0.070604      6.266733      1.788071      0.922663      1.650443   7.58043e-04     20.826693     12.196838     13.567475     17.854798      7.604142    -21.271630     19.413789      8.230971    -20.675794    157.109025      0.046701      0.080273      0.047017      0.034112    166.953794     51.419269   1.97461e+06           204           328            56    166.954798     51.403143   1.94470e+06
  "SoFiA J110513.07+512205.2"             7    350.124459    315.583018     53.048056           337           360           294           335            34            61          1374   4.37154e-04      0.004672      2.619486      0.000000             0      0.048682      5.475424      1.435465      0.107620      0.531811   8.33029e-04     19.021447      9.503884     18.907053     17.962099      6.481953    -16.225794     19.048298      6.539960    -14.982211    169.512560      0.048782      0.102915      0.067224      0.030878    166.304465     51.368109   1.97552e+06           352           321            58    166.295978     51.383126   1.92382e+06
  "SoFiA J110907.71+511750.3"             8    130.206194    290.292786     53.437547           109           142           271           304            43            61           746   4.90512e-04      0.004160      1.355674      0.000000             0      0.033965      5.838599      1.097903      0.371391      1.146280   6.85472e-04     17.329672     12.742465     16.990379     18.419947      6.317982    -42.917051     17.597932      6.549215    -40.956275    326.761157      0.099398      0.102165      0.058760      0.018722    167.282108     51.297312   1.97145e+06           134           296            52    167.265440     51.313243   1.98646e+06
  "SoFiA J110244.13+511442.5"             9    490.219797    272.711553     52.749893           482           497           260           285            41            61           545   5.76904e-04      0.005431      0.912559      0.000000             0      0.062386      6.459041      2.214426      1.612287      3.497460      0.001020     11.466343      5.707946     11.528895     11.591065      5.720147    -17.463098     11.554750      4.758221    -16.731160     23.136096      0.082018      0.141329      0.093924      0.023816    165.683882     51.245143   1.97863e+06           492           271            51    165.676091     51.240319   1.99690e+06
  "SoFiA J110250.17+510554.2"            10    485.281940    219.809175     53.493772           472           495           199           250            35            61          1296   5.38522e-04      0.005368      2.390123      0.000000             0      0.038462      5.997726      2.179847      2.222112     12.458592   8.21485e-04     19.052148      7.897201     19.260814     20.179287      6.177791    -18.735901     20.282858      5.795784    -17.413307    160.217934      0.054251      0.119526      0.071709      0.029573    165.709044     51.098399   1.97086e+06           483           215            57    165.719429     51.085129   1.93426e+06
  "SoFiA J110439.71+505608.1"            11    382.557147    160.087374     58.296419           379           386           157           163            55            61            42      0.001057      0.004286      0.097856      0.000000             0      0.107143      6.090676      1.121211      0.343078      0.084064      0.001365      4.823577      4.514735      4.879651      4.342449      3.005267    -60.413348      4.791643           nan    -37.030290     -1.000000      0.179366      0.153772      0.165016      0.008844    166.165451     50.935581   1.92072e+06           380           160            57    166.176725     50.935392   1.93426e+06
  "SoFiA J110311.29+504333.0"            12    467.084847     85.434775     54.214637           459           475            71           100            47            61           357   6.33391e-04      0.005747      0.640777      0.000000             0      0.046667      6.165364      1.484022      1.031434      2.669199   8.64428e-04     14.000000      6.140819     14.000000     12.999546      6.176721     -8.592619     12.200508      5.727196     -8.039738    335.217583      0.080909      0.161938      0.080691      0.016333    165.797028     50.725834   1.96334e+06           470            90            53    165.783981     50.738411   1.97602e+06
  "SoFiA J110806.10+503757.1"            13    187.021488     50.637833     57.997906           180           192            37            58            54            61           131   6.76181e-04      0.006867      0.265582      0.000000             0      0.057255      5.820796      0.996359      0.762887      1.710998   7.96911e-04      7.000000      4.796488      6.909440     11.118249      4.630665    -25.182693     11.778137      4.045865    -20.823757    171.568529      0.112558      0.165066      0.073900      0.009121    167.025410     50.632519   1.92384e+06           190            57            61    167.012474     50.650225   1.89251e+06
  "SoFiA J110411.61+503653.5"            14    410.175122     44.856108     54.346113           401           421            31            70            40            61           783   5.44330e-04      0.006721      1.532581      0.000000             0      0.042370      5.927950      1.488901      0.902199      2.597046   8.46126e-04     13.273274      6.830803     13.393188     16.543646      5.933002    -17.984673     14.481472      5.906219    -17.004399    175.812838      0.060960      0.121261      0.067305      0.023676    166.048384     50.614848   1.96196e+06           411            41            55    166.044928     50.604116   1.95514e+06
  "SoFiA J110829.10+503124.9"            15    164.926430     11.523659     51.602594           153           179             0            41            35            61          1538   4.60893e-04      0.005428      2.619654      0.000000             1      0.050232      6.424000      1.904523      1.938584      9.399891   7.09550e-04     19.605167      5.581010     19.690178     19.582730      6.623480    -19.143268     18.981255      6.942032    -19.627816    334.375254      0.048032      0.099519      0.055190      0.027827    167.121263     50.523574   1.99061e+06           164             5            56    167.125158     50.505438   1.94470e+06
  "SoFiA J110837.39+515221.3"            16    159.847972    497.192640     52.666601           149           171           471           511            38            60          1138   5.91828e-04      0.003713      2.098677      0.000000             1      0.052469      5.846072      1.352916      0.357362      1.091222   9.42668e-04     15.779393      6.396745     15.749280     20.400455      7.820122    -10.831577     19.717370      6.899170     -9.899271    338.006863      0.066174      0.153292      0.071065      0.031800    167.155807     51.872586   1.97950e+06           161           493            52    167.150515     51.860958   1.98646e+06
  "SoFiA J110450.70+514724.7"            17    370.003107    467.657630     50.438793           356           379           449           482            40            60           888   4.10656e-04      0.004942      1.802879      0.000000             0      0.051821      5.604076      1.360757      0.260916      1.836146      0.001135     19.141093     10.103351     18.503223     14.331336      6.135354    -26.395641     13.810529      5.116821    -24.154549    134.725022      0.082149      0.121623      0.088098      0.033821    166.211241     51.790187   2.00276e+06           373           472            54    166.197641     51.802190   1.96558e+06
  "SoFiA J110732.57+514226.2"            18    219.752997    437.450413     56.418369           215           224           432           445            51            60           100   9.74138e-04      0.003672      0.190777      0.000000             0      0.071429      6.720297      1.979038      1.097217      0.661233      0.001026      3.531041      1.090042      4.266073      6.247903      3.946144     -7.789806      4.463770      3.235883     22.638516    298.026525      0.110158      0.181551      0.087027      0.010265    166.885707     51.707291   1.94033e+06           219           435            57    166.889058     51.700480   1.93426e+06
  "SoFiA J110223.65+513841.2"            19    507.234299    416.848918     53.642221           495           511           404           430            44            60           450     -0.003404      0.003951      0.736497      0.000000             1      0.057670      6.340820      1.767796     -0.156268     12.529784   8.58883e-04     13.434264      7.912277     13.434118     11.648433      5.741618    -18.253918      9.993277      4.399537     -9.417306    171.652585      0.080945      0.136930      0.084221      0.018220    165.598528     51.644787   1.96931e+06           510           417            53    165.586137     51.645088   1.97602e+06
  "SoFiA J110320.52+513431.6"            20    454.612238    391.159952     54.904738           449           461           376           405            51            60           384   9.95588e-04      0.003698      0.813416      0.000000             0      0.098462      5.960653      1.623765      1.001258      2.161810      0.001403      6.838268      4.169591      6.272558     12.331552      4.217447     -9.722836      6.896183      2.393108    -16.297910     -1.000000      0.078699      0.206823      0.063131      0.027501    165.835487     51.575443   1.95613e+06           455           392            53    165.833708     51.577764   1.97602e+06
