# SoFiA source catalogue
# Creator: SoFiA 2.4.1 (23-Mar-2022)
# Time:    Fri, 22 Aug 2025, 08:39:38
#
# Note that the plain-text catalogue is solely intended for
# visual inspection and should not be used for quantitative
# analysis due to limited precision and the lack of Unified
# Content Descriptors.  The XML catalogue should instead be
# imported into Python or VO-compatible software to analyse
# the source parameters measured by SoFiA, e.g. through the
# astropy.io.votable module of Astropy.
#
# Header rows:
#   1 = column number
#   2 = parameter name
#   3 = parameter unit
#
#                           1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43            44            45            46
#                        name            id             x             y             z         x_min         x_max         y_min         y_max         z_min         z_max         n_pix         f_min         f_max         f_sum           rel          flag          fill          mean           std          skew          kurt           rms           w20           w50          wm50       ell_maj       ell_min        ell_pa     ell3s_maj     ell3s_min      ell3s_pa        kin_pa         err_x         err_y         err_z     err_f_sum            ra           dec         v_opt        x_peak        y_peak        z_peak       ra_peak      dec_peak    v_opt_peak
#                           -             -           pix           pix           pix           pix           pix           pix           pix           pix           pix             -       Jy/beam       Jy/beam       Jy/beam             -             -             -       JY/BEAM       JY/BEAM             -             -       Jy/beam           pix           pix           pix           pix           pix           deg           pix           pix           deg           deg           pix           pix           pix       Jy/beam           deg           deg           m/s           pix           pix           pix           deg           deg           m/s

  "SoFiA J102757.42+720406.3"             1    346.289506    235.751916     56.800379           342           349           232           241            54            59            53   9.51999e-04      0.002840      0.101981      0.000000             0      0.110417      5.275276      1.165935     -0.724662      0.513439      0.001088      5.000000      5.000000      5.000000      5.702856      2.112853     36.623059      5.859487      0.808755     38.495543     -1.000000      0.145938      0.174494      0.134637      0.007924    156.989253     72.068409   6.39510e+06           348           234            59    156.974042     72.063478   6.37146e+06
  "SoFiA J102300.68+714829.5"             2    486.487563    145.413389     56.283639           483           490           141           151            54            59            62   9.17740e-04      0.002576      0.109706      0.000000             0      0.117424      4.973932      1.030649     -0.878895     -0.230898   9.99346e-04      4.546998      1.984754      4.543932      5.839098      3.290826    -26.897437      5.670023      0.000000    -31.648828     -1.000000      0.142156      0.190201      0.088277      0.007869    155.752822     71.808199   6.40066e+06           485           143            56    155.766779     71.801640   6.40370e+06
  "SoFiA J102734.75+713053.5"             3    359.789726     36.650308     56.232657           357           363            34            39            54            59            19      0.001267      0.003162      0.035194      0.000000             0      0.075397      4.560764      0.500400     -0.324729     -0.786204      0.001168      4.880262      1.372599      4.914495      5.005161      1.390587     59.089364      0.000000      0.000000      0.000000     -1.000000      0.298577      0.210286      0.219105      0.005093    156.894806     71.514853   6.40120e+06           358            37            55    156.910439     71.515899   6.41446e+06
  "SoFiA J102741.31+720620.0"             4    353.530682    249.225972     54.548396           350           358           241           258            47            58           112   6.34903e-04      0.002471      0.175484      0.000000             0      0.057613      4.819188      1.005372     -0.378567      0.699264   7.70831e-04      6.392753      2.565923      6.478350      9.577762      3.510841     -2.924798     10.817711      2.214859     -3.567801     -1.000000      0.082942      0.216114      0.107819      0.008158    156.922129     72.105547   6.41931e+06           352           244            54    156.936653     72.091095   6.42521e+06
  "SoFiA J102157.76+722901.9"             5    506.549019    389.545089     54.428113           500           511           384           395            53            57            93   1.25546e-04      0.002617      0.122217      0.000000             1      0.129167      5.750291      2.042510     -0.110561      0.267250   9.87417e-04      1.908077      1.192548      4.000000      6.080390      5.289346     51.348227      0.000000      0.000000      0.000000     -1.000000      0.221391      0.207433      0.075264      0.009522    155.490663     72.483871   6.42060e+06           511           385            54    155.451260     72.470774   6.42521e+06
  "SoFiA J102235.63+721021.0"             6    493.498910    276.889949     54.655948           491           497           274           280            51            57            31   4.16174e-04      0.002166      0.050208      0.000000             0      0.090379      4.874091      1.255269     -1.727842      2.859660   9.67132e-04      6.000000      6.000000      6.000000      3.633298      2.150857     49.219139      0.000000      0.000000      0.000000     -1.000000      0.165413      0.152667      0.253337      0.005385    155.648455     72.172506   6.41816e+06           493           278            51    155.652618     72.175637   6.45747e+06
  "SoFiA J103304.77+714601.6"             7    203.528537    126.859984     55.535490           202           206           125           129            53            57            22   4.53925e-04      0.001973      0.029079      0.000000             0      0.176000      5.299245      1.609319     -1.043608      0.792741      0.001030      3.884551      1.105109      3.963828      3.074562      1.739598     39.273789      0.000000      0.000000      0.000000     -1.000000      0.204650      0.227146      0.178904      0.004830    158.269890     71.767122   6.40870e+06           204           127            56    158.265714     71.767520   6.40370e+06
  "SoFiA J102822.80+712808.2"             8    337.137520     19.812195     53.191593           332           346            15            24            51            57            78   3.90294e-04      0.002829      0.138684      0.000000             0      0.074286      5.610943      1.239752     -1.083712      2.634765   7.84062e-04      6.000000      2.927602      6.000000      7.455700      3.314880    -67.364979      4.590670      2.665097    -59.784410    108.143361      0.185572      0.111074      0.094799      0.006925    157.095005     71.468937   6.43390e+06           338            20            52    157.087448     71.469430   6.44671e+06
  "SoFiA J103617.11+713248.8"             9    111.617545     48.879004     50.825985           107           117            41            55            47            56           100   5.69414e-04      0.002480      0.166025      0.000000             0      0.060606      5.030688      1.289116     -0.892307      0.305885   8.47869e-04      9.000000      6.411396      9.000000      6.019561      5.108439    -60.504388      5.625306      1.372503    -85.604644     -1.000000      0.138770      0.148128      0.128458      0.008479    159.071307     71.546880   6.45934e+06           114            50            50    159.050605     71.550131   6.46822e+06
  "SoFiA J102232.28+715115.4"            10    499.177719    162.463499     52.808225           497           502           160           165            49            55            39   7.27254e-04      0.001973      0.060184      0.000000             0      0.154762      4.392472      1.270316     -0.853326     -0.463771      0.001099      6.000000      3.353256      6.000000      2.956442      1.805160     45.943503      0.000000      0.000000      0.000000     -1.000000      0.137259      0.136061      0.219620      0.006866    155.634498     71.854291   6.43802e+06           499           162            54    155.636232     71.853022   6.42521e+06
