# SoFiA source catalogue
# Creator: SoFiA 2.4.1 (23-Mar-2022)
# Time:    Fri, 22 Aug 2025, 08:43:12
#
# Note that the plain-text catalogue is solely intended for
# visual inspection and should not be used for quantitative
# analysis due to limited precision and the lack of Unified
# Content Descriptors.  The XML catalogue should instead be
# imported into Python or VO-compatible software to analyse
# the source parameters measured by SoFiA, e.g. through the
# astropy.io.votable module of Astropy.
#
# Header rows:
#   1 = column number
#   2 = parameter name
#   3 = parameter unit
#
#                           1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43            44            45            46
#                        name            id             x             y             z         x_min         x_max         y_min         y_max         z_min         z_max         n_pix         f_min         f_max         f_sum           rel          flag          fill          mean           std          skew          kurt           rms           w20           w50          wm50       ell_maj       ell_min        ell_pa     ell3s_maj     ell3s_min      ell3s_pa        kin_pa         err_x         err_y         err_z     err_f_sum            ra           dec         v_opt        x_peak        y_peak        z_peak       ra_peak      dec_peak    v_opt_peak
#                           -             -           pix           pix           pix           pix           pix           pix           pix           pix           pix             -       Jy/beam       Jy/beam       Jy/beam             -             -             -       JY/BEAM       JY/BEAM             -             -       Jy/beam           pix           pix           pix           pix           pix           deg           pix           pix           deg           deg           pix           pix           pix       Jy/beam           deg           deg           m/s           pix           pix           pix           deg           deg           m/s

  "SoFiA J115602.85+010735.5"             1    125.318946    123.189049     43.373600           122           128           120           125            42            47            29  -4.80777e-04      0.002875      0.026360      0.000000             0      0.115079      1.538203      1.876097      0.284094     -1.341791      0.001265      5.000000      0.570877      5.000000      3.819956      1.541454    -57.670400      0.000000      0.000000      0.000000     -1.000000      0.316255      0.200839      0.409418      0.006814    179.011864      1.126533   1.71385e+06           126           122            42    179.011296      1.125542   1.73294e+06
  "SoFiA J115536.56+011419.1"             2    256.748085    257.708180     31.165721           228           283           227           283            23            39          5204     -0.001341      0.009436     19.976490      0.000000             0      0.095902      5.567794      3.640012      1.799515      5.666340   9.46376e-04     13.552708     12.207482     13.294456     29.506970     23.671359    -39.943618     31.296249     24.511006    -41.360770    314.836654      0.044687      0.045680      0.014207      0.068270    178.902319      1.238635   1.88361e+06           267           257            36    178.893773      1.238044   1.81636e+06
  "SoFiA J115541.77+012419.6"             3    230.712462    457.863349     34.772344           207           246           439           472            31            38          1379  -9.15069e-04      0.003157      1.915839      0.000000             0      0.126746      3.185914      2.188826      1.717438      9.835636   9.15654e-04      5.342487      3.939796      4.926053     15.327121     12.005662     61.406892     13.708951      7.928253     35.141737     11.989537      0.134530      0.105987      0.024471      0.034003    178.924021      1.405431   1.83344e+06           232           456            36    178.922948      1.403878   1.81636e+06
  "SoFiA J115537.35+011057.5"             4    252.772865    190.500643     35.597910           248           258           188           193            33            38            67  -1.31134e-05      0.002720      0.082933      0.000000             0      0.169192      1.958854      1.115167     -0.047473     -1.032743      0.001104      5.000000      2.249900      4.925428      5.128410      2.051366     83.447286      0.000000      0.000000      0.000000     -1.000000      0.243708      0.108319      0.144943      0.009036    178.905632      1.182628   1.82195e+06           252           190            36    178.906276      1.182211   1.81636e+06
  "SoFiA J115521.95+010545.8"             5    329.789642     86.612717     36.062030           326           335            79            96            33            38           212  -9.47814e-04      0.002749      0.242819      0.000000             0      0.196296      2.003681      1.490628      0.314479     -0.422646      0.001036      3.874027      3.098599      3.800746     10.943923      3.118130    -17.789323      0.000000      0.000000      0.000000     -1.000000      0.132640      0.301451      0.072397      0.015083    178.841439      1.096054   1.81550e+06           328            82            35    178.842931      1.092210   1.83027e+06
  "SoFiA J115531.92+012432.7"             6    279.946938    462.241837     35.769078           274           283           459           465            33            37            67   1.60127e-04      0.002407      0.099649      0.000000             0      0.191429      2.496410      1.102863      0.630078      0.595369      0.001407      3.498298      2.738935      3.181897      4.871745      2.937043     80.216425      0.000000      0.000000      0.000000     -1.000000      0.287001      0.180579      0.127500      0.011520    178.882980      1.409079   1.81957e+06           281           464            37    178.882102      1.410545   1.80246e+06
  "SoFiA J115543.93+012334.4"             7    219.897303    442.820624     33.125122           217           222           440           445            27            36            22   9.88817e-04      0.001843      0.035399      0.000000             0      0.061111      3.939099      1.553111      0.333559     -1.620481      0.001025      6.632494      6.081234      9.000000      3.380211      1.696267     43.245350      0.000000      0.000000      0.000000     -1.000000      0.177080      0.183085      0.417643      0.004807    178.933036      1.392895   1.85635e+06           220           443            36    178.932951      1.393044   1.81636e+06
  "SoFiA J115452.08+011520.1"             8    479.091419    278.066417     32.159200           474           483           275           281            29            35           117  -5.03068e-04      0.003047      0.176170      0.000000             0      0.238776      2.979510      1.812866      0.228082     -1.110061      0.001067      5.361154      4.256522      5.065397      5.188222      2.676431    -80.594129      3.897724      2.442683    -77.791461     -1.000000      0.166076      0.090717      0.086689      0.011546    178.716988      1.255593   1.86979e+06           480           279            32    178.716230      1.256371   1.87200e+06
  "SoFiA J115540.82+010552.2"             9    235.452264     88.745621     32.989749           227           240            82            94            29            35            89  -7.31438e-04      0.003140      0.122453      0.000000             0      0.069859      2.049435      1.117592     -0.047179     -0.545016      0.001074      5.286083      1.145113      5.477286      8.685814      2.236799     44.654005      0.000000      0.000000      0.000000     -1.000000      0.280338      0.266084      0.147907      0.010133    178.920068      1.097832   1.85823e+06           231            92            33    178.923779      1.100544   1.85809e+06
  "SoFiA J115551.95+012340.0"            10    179.796944    444.673338     29.776965           177           183           441           449            26            34            47     -0.001284      0.002794      0.056567      0.000000             0      0.082892      1.847153      1.643844     -0.744318     -0.237131      0.001405      6.574805      2.582780      8.000000      5.309132      2.170090     25.741756      0.000000      0.000000      0.000000     -1.000000      0.209567      0.322156      0.272015      0.009633    178.966463      1.394438   1.90293e+06           180           445            30    178.966294      1.394711   1.89983e+06
  "SoFiA J115508.42+010644.6"            11    397.391359    106.218936     31.451939           395           401           104           108            30            34            70   2.43047e-04      0.002470      0.085760      0.000000             0      0.400000      1.844416      0.714132      0.072229     -0.746034      0.001197      3.193690      2.623421      2.941231      3.080599      1.938096    -62.455756      0.000000      0.000000      0.000000     -1.000000      0.177377      0.128821      0.135790      0.010016    178.785094      1.112391   1.87962e+06           396           106            32    178.786253      1.112208   1.87200e+06
  "SoFiA J115546.50+012433.3"            12    207.022677    462.449425     30.240020           204           211           460           465            29            33            31   8.33468e-04      0.002008      0.049141      0.000000             0      0.129167      3.836401      1.112070     -0.842294     -0.119122      0.001263      3.016027      1.608509      3.002692      3.316910      2.918276    -64.015102      0.000000      0.000000      0.000000     -1.000000      0.239283      0.218029      0.147593      0.007031    178.943769      1.409252   1.89649e+06           206           464            30    178.944621      1.410544   1.89983e+06
  "SoFiA J115627.49+010450.3"            13      2.145080     68.134863     30.669999             0             5            64            74            29            33            37   1.86523e-04      0.003482      0.079591      0.000000             1      0.112121      4.172139      2.073198     -0.860803     -0.893287      0.001134      1.748234      1.092646      2.864018      5.925986      2.565005     31.544082      0.000000      0.000000      0.000000     -1.000000      0.159829      0.249487      0.076403      0.006899    179.114526      1.080648   1.89050e+06             0            68            31    179.116314      1.080536   1.88591e+06
  "SoFiA J115545.38+012407.4"            14    212.666536    453.823335     28.164261           211           215           452           456            27            31            30  -4.49936e-04      0.002890      0.040281      0.000000             0      0.240000      2.212918      1.476057     -0.718748     -0.180358      0.001017      1.786755      1.116722      1.952916      2.966832      1.433070     48.566578      0.000000      0.000000      0.000000     -1.000000      0.149887      0.137879      0.124293      0.005568    178.939064      1.402064   1.92537e+06           211           455            28    178.940453      1.403044   1.92766e+06
  "SoFiA J115532.00+010740.5"            15    279.518847    124.861664     29.515774           277           284           122           127            24            31            48  -1.99770e-04      0.002162      0.048636      0.000000             0      0.125000      1.656640      1.097621      0.221161     -0.979045      0.001216      1.800000      1.222064      7.000000      4.450430      1.795404    -69.644198      0.000000      0.000000      0.000000     -1.000000      0.382611      0.217603      0.314379      0.008422    178.883339      1.127929   1.90656e+06           278           124            30    178.884605      1.127211   1.89983e+06
  "SoFiA J115532.82+012201.5"            16    275.447455    411.845534     25.825745           273           278           408           415            20            30           104  -3.76798e-04      0.002754      0.127765      0.000000             0      0.196970      1.691434      1.167358      0.951218      1.273529      0.001119      3.539779      1.192764      6.341622      3.626842      2.293674    -20.324564      1.811876      0.664417    -26.597917     -1.000000      0.107759      0.158084      0.172109      0.011410    178.886731      1.367082   1.95792e+06           275           412            25    178.887104      1.367211   1.96942e+06
  "SoFiA J115511.77+012017.8"            17    380.669684    377.270290     25.663415           378           383           375           379            24            29            45  -2.13412e-04      0.003289      0.077424      0.000000             0      0.250000      2.928727      1.914015      0.001948     -1.184846      0.001225      3.800000      3.500000      3.757410      2.793454      2.188269     81.317936      0.000000      0.000000      0.000000     -1.000000      0.133046      0.115370      0.138043      0.008220    178.799022      1.338268   1.96018e+06           380           377            27    178.799580      1.338042   1.94158e+06
  "SoFiA J115604.08+010705.8"            18    119.155311    113.270422     26.836843           115           124           111           116            25            29            80  -2.63763e-04      0.002808      0.131127      0.000000             0      0.266667      2.788962      0.911766     -0.398453      1.114098      0.001166      3.200287      1.516646      3.209912      4.897628      1.875734     67.503141      0.000000      0.000000      0.000000     -1.000000      0.165965      0.094097      0.073280      0.010426    179.017001      1.118267   1.94385e+06           120           112            27    179.016297      1.117209   1.94158e+06
  "SoFiA J115546.80+012305.3"            19    205.525678    433.112336     25.055914           194           221           422           441            22            28           307  -5.24742e-04      0.002949      0.356065      0.000000             0      0.078316      2.472104      1.952911      0.620625     -0.518036   9.18950e-04      4.188108      2.963873      3.831900     15.365533      3.801763    -64.229597     13.744350      3.484040    -68.166049    117.483348      0.325583      0.158541      0.054659      0.016101    178.945016      1.384805   1.96864e+06           220           438            26    178.932951      1.388878   1.95550e+06
  "SoFiA J115542.87+012243.2"            20    225.205581    425.756511     26.216821           223           229           423           430            24            28            61   2.28649e-04      0.002564      0.082926      0.000000             0      0.217857      1.868738      0.807947     -0.276306     -0.632295      0.001345      3.581276      2.603882      3.545084      3.805796      2.429912    -47.022939      0.000000      0.000000      0.000000     -1.000000      0.211003      0.202031      0.135713      0.010503    178.928611      1.378675   1.95248e+06           223           424            27    178.930450      1.377211   1.94158e+06
  "SoFiA J115608.63+010805.4"            21     96.418019    133.167306     24.344748            95            99           130           135            23            27            15  -1.00698e-05      0.001256      0.010891      0.000000             0      0.100000      1.587700      0.848874      0.010393     -0.732316      0.001170      1.599166      0.999479      3.886391      3.291948      1.589668     31.828207      0.000000      0.000000      0.000000     -1.000000      0.448209      0.565299      0.314749      0.004533    179.035953      1.134847   1.97854e+06            96           133            24    179.036302      1.134708   1.98334e+06
  "SoFiA J115558.97+012057.3"            22    144.694725    390.439627     24.026871           140           152           388           394            22            26            49   2.43496e-04      0.002935      0.072135      0.000000             0      0.107692      2.589097      1.380487      0.254215     -1.134144      0.001114      3.779377      1.984039      3.737420      7.884950      1.835050    -73.517898      7.628717      0.968636    -75.492247     -1.000000      0.418321      0.150779      0.116128      0.007798    178.995722      1.349243   1.98296e+06           143           391            24    178.997135      1.349710   1.98334e+06
  "SoFiA J115544.93+010436.4"            23    214.867834     63.482211     24.238887           212           217            60            67            22            26           105   2.12463e-04      0.002730      0.150348      0.000000             0      0.437500      2.165637      0.990496      0.649537      0.286829      0.001630      4.000000      3.765414      4.000000      3.512942      2.173294     16.825801      0.000000      0.000000      0.000000     -1.000000      0.138304      0.188457      0.133927      0.016702    178.937225      1.076779   1.98001e+06           215            63            25    178.937115      1.076377   1.96942e+06
