# SoFiA source catalogue
# Creator: SoFiA 2.4.1 (23-Mar-2022)
# Time:    Fri, 22 Aug 2025, 09:01:53
#
# Note that the plain-text catalogue is solely intended for
# visual inspection and should not be used for quantitative
# analysis due to limited precision and the lack of Unified
# Content Descriptors.  The XML catalogue should instead be
# imported into Python or VO-compatible software to analyse
# the source parameters measured by SoFiA, e.g. through the
# astropy.io.votable module of Astropy.
#
# Header rows:
#   1 = column number
#   2 = parameter name
#   3 = parameter unit
#
#                           1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43            44            45            46
#                        name            id             x             y             z         x_min         x_max         y_min         y_max         z_min         z_max         n_pix         f_min         f_max         f_sum           rel          flag          fill          mean           std          skew          kurt           rms           w20           w50          wm50       ell_maj       ell_min        ell_pa     ell3s_maj     ell3s_min      ell3s_pa        kin_pa         err_x         err_y         err_z     err_f_sum            ra           dec         v_opt        x_peak        y_peak        z_peak       ra_peak      dec_peak    v_opt_peak
#                           -             -           pix           pix           pix           pix           pix           pix           pix           pix           pix             -       Jy/beam       Jy/beam       Jy/beam             -             -             -       Jy/beam       Jy/beam             -             -       Jy/beam           pix           pix           pix           pix           pix           deg           pix           pix           deg           deg           pix           pix           pix       Jy/beam           deg           deg           m/s           pix           pix           pix           deg           deg           m/s

  "SoFiA J230424.10+120612.4"            12    303.739789    177.009784    152.175242           302           307           175           179           149           158            26     -0.001263      0.002908      0.027300      0.000000             0      0.086667      1.435683      1.499356     -0.048957     -1.015717      0.001521      5.800000      4.622586      5.865548      2.741008      1.206459     52.195763      0.000000      0.000000      0.000000     -1.000000      0.318046      0.267858      0.532381      0.007754    346.100416     12.103438   2.19428e+06           303           177           154    346.102518     12.103411   2.18817e+06
  "SoFiA J230457.41+122846.9"            13    254.881391    312.452215    147.784405           246           260           308           316           144           154           107  -5.94746e-04      0.003604      0.208809      0.000000             0      0.072054      3.301356      1.904501     -0.084848     -0.876519      0.001223     10.000000      5.524984     10.000000      7.495638      3.442124     74.679751      5.950966      1.399533     58.480344     -1.000000      0.202977      0.104527      0.181344      0.012653    346.239224     12.479701   2.20897e+06           258           312           149    346.230352     12.478445   2.20490e+06
  "SoFiA J230404.42+121732.3"            14    332.547525    245.023845    143.182042           328           338           235           252           136           153           368     -0.001952      0.004720      0.535127      0.000000             0      0.103255      1.716578      1.693468      0.547711     -0.080868      0.001524     16.396782      8.613097     16.530214      8.472656      4.462179     12.372208      7.357400      4.434989      1.802729     -1.000000      0.107538      0.190308      0.189699      0.029231    346.018420     12.292313   2.22437e+06           333           246           143    346.017131     12.295024   2.22498e+06
  "SoFiA J230434.23+123647.8"            15    288.824543    360.540664    132.396315           281           299           353           375           106           152          1046     -0.001715      0.004671      1.906431      0.000000             0      0.050928      2.304162      1.870101      0.784389     -0.033324      0.001402     32.660842     28.019791     33.030069      9.459958      7.914012     20.469905      8.574040      6.347026     40.663386     61.169451      0.093648      0.106702      0.229416      0.045339    346.142607     12.613265   2.26047e+06           287           357           137    346.147804     12.603431   2.24506e+06
  "SoFiA J230431.61+121357.0"            16    292.713598    223.469943    146.798721           291           295           222           226           140           151            73   1.54420e-04      0.004108      0.146811      0.000000             0      0.243333      2.620555      1.629415      0.499228     -0.803670      0.001806      8.825916      6.641501      8.768984      2.380473      1.557455     -5.249252      1.901655      1.056530     -9.367982     -1.000000      0.090369      0.126927      0.283354      0.015430    346.131690     12.232508   2.21227e+06           293           223           148    346.130877     12.231202   2.20825e+06
  "SoFiA J230346.08+120957.0"            17    359.480464    199.519299    146.344696           357           361           197           203           142           150            28   9.10257e-05      0.003835      0.055287      0.000000             0      0.088889      2.233533      1.771038      0.448125     -1.602865      0.002567      8.000000      8.000000      8.000000      3.356125      2.336214    -18.046128      0.000000      0.000000      0.000000     -1.000000      0.275676      0.368939      0.658648      0.013585    345.941991     12.165840   2.21379e+06           359           198           150    345.943361     12.161622   2.20156e+06
  "SoFiA J230403.64+121924.6"            18    333.689432    256.250563    146.707257           332           336           252           260           144           149            25     -0.001322      0.004081      0.065387      0.000000             0      0.092593      4.041584      2.291180     -1.536454      0.689501      0.001883      3.800000      1.013076      3.878130      4.965790      1.448227     15.720893      0.000000      0.000000      0.000000     -1.000000      0.124794      0.290196      0.148085      0.009415    346.015147     12.323496   2.21258e+06           333           260           146    346.017099     12.333913   2.21494e+06
  "SoFiA J230400.17+123818.1"            19    338.672430    369.603767    137.912330           329           346           356           387           119           148           564  -8.73012e-04      0.004329      1.130717      0.000000             4      0.032639      2.655257      2.141208      0.683681     -0.546359      0.001433     13.400440     10.135650     13.586835     17.276825      3.945406     19.782260     16.443004      3.159230     21.896700     -1.000000      0.096539      0.230117      0.158951      0.034029    346.000693     12.638356   2.24201e+06           338           369           141    346.002609     12.636680   2.23168e+06
  "SoFiA J230615.60+123240.5"            20    140.401384    335.876379    138.657769           128           149           323           351           131           148           381  -7.88525e-04      0.004521      0.731461      0.000000             4      0.033177      3.362102      2.076571      0.275284     -0.499737      0.001126     12.865836      2.922809     14.112335     17.473982      6.153232    -18.541781     18.956754      4.996794    -16.115591    170.678416      0.118605      0.247739      0.099847      0.021973    346.565004     12.544572   2.23951e+06           138           328           136    346.571809     12.522684   2.24841e+06
  "SoFiA J230547.35+121703.5"            21    181.689013    242.142867    137.209349           169           197           221           266           108           148          1737     -0.001742      0.007324      3.427359      0.000000             0      0.031759      2.717741      2.040973      0.536385     -0.116114      0.001242      9.191066      6.365878     23.774670     22.293181      8.296757     12.665799     22.419564      7.426606     11.340080    207.385516      0.067646      0.152762      0.123748      0.051755    346.447299     12.284316   2.24436e+06           179           245           140    346.454950     12.292246   2.23502e+06
