# SoFiA source catalogue
# Creator: SoFiA 2.4.1 (23-Mar-2022)
# Time:    Fri, 22 Aug 2025, 08:26:00
#
# Note that the plain-text catalogue is solely intended for
# visual inspection and should not be used for quantitative
# analysis due to limited precision and the lack of Unified
# Content Descriptors.  The XML catalogue should instead be
# imported into Python or VO-compatible software to analyse
# the source parameters measured by SoFiA, e.g. through the
# astropy.io.votable module of Astropy.
#
# Header rows:
#   1 = column number
#   2 = parameter name
#   3 = parameter unit
#
#                           1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43            44            45            46
#                        name            id             x             y             z         x_min         x_max         y_min         y_max         z_min         z_max         n_pix         f_min         f_max         f_sum           rel          flag          fill          mean           std          skew          kurt           rms           w20           w50          wm50       ell_maj       ell_min        ell_pa     ell3s_maj     ell3s_min      ell3s_pa        kin_pa         err_x         err_y         err_z     err_f_sum            ra           dec         v_opt        x_peak        y_peak        z_peak       ra_peak      dec_peak    v_opt_peak
#                           -             -           pix           pix           pix           pix           pix           pix           pix           pix           pix             -       Jy/beam       Jy/beam       Jy/beam             -             -             -       JY/BEAM       JY/BEAM             -             -       Jy/beam           pix           pix           pix           pix           pix           deg           pix           pix           deg           deg           pix           pix           pix       Jy/beam           deg           deg           m/s           pix           pix           pix           deg           deg           m/s

  "SoFiA J072658.87+620238.5"             1     42.702497    509.130205     82.499688            36            51           507           511            80            84            75      0.001012      0.006650      0.240326      0.000000             3      0.187500      7.524508      4.750917      1.338388      1.264870      0.002484      4.000000      0.500000      4.000000      8.296815      2.808776    -89.484247      0.000000      0.000000      0.000000     -1.000000      0.375164      0.124116      0.161732      0.021516    111.745280     62.044032   1.61314e+06            38           511            84    111.759266     62.046565   1.60793e+06
  "SoFiA J072546.69+612032.7"             2    141.653080      3.233135     82.203681           132           151             0             9            79            84           113      0.001283      0.006049      0.473259      0.000000             3      0.094167      5.944230      1.566178     -0.751840      1.445707      0.002453      1.671268      1.044543      4.967837     10.577250      3.517671     69.895038     11.801787      1.225155     57.254786     -1.000000      0.283186      0.134943      0.086355      0.026079    111.444559     61.342421   1.61417e+06           145             0            83    111.434821     61.337953   1.61140e+06
  "SoFiA J072727.19+615804.9"             3      2.239796    454.825223     80.671689             0             5           448           460            78            83            57      0.003228      0.007834      0.285605      0.000000             1      0.121795      5.084526      1.692658     -0.779887     -0.291027      0.003679      5.000000      5.000000      5.000000      5.826670      2.677974      3.300689      0.000000      0.000000      0.000000     -1.000000      0.125849      0.295318      0.187351      0.027777    111.863300     61.968017   1.61949e+06             4           454            83    111.858070     61.966899   1.61140e+06
  "SoFiA J072542.17+613831.8"             4    149.186277    219.018521     76.641589           135           162           211           228            69            83           306  -6.87620e-04      0.008000      1.343298      0.000000             0      0.040476      5.125779      2.523789      0.275590     -0.427615      0.001978     10.755226     10.033220     11.461840     14.019855      5.183765    -58.266060     13.264997      4.663950    -51.546417    304.309772      0.157095      0.106676      0.104797      0.034601    111.425708     61.642172   1.63348e+06           147           216            81    111.432059     61.637965   1.61835e+06
  "SoFiA J072234.95+614818.6"             5    415.109861    336.711600     79.418602           412           419           333           342            76            82           125      0.002003      0.005704      0.480459      0.000000             0      0.223214      3.049143      1.057689      0.273815     -1.241375      0.003767      4.895812      3.136948      4.392311      4.531709      3.246102     13.304322      0.000000      0.000000      0.000000     -1.000000      0.150631      0.192591      0.111553      0.042118    110.645626     61.805180   1.62384e+06           414           338            79    110.648862     61.806981   1.62529e+06
  "SoFiA J072621.11+612019.4"             6     92.127529      0.876629     78.018015            79           100             0             4            74            81            96   8.46364e-04      0.007333      0.393123      0.000000             1      0.109091      5.409355      2.047769     -0.324838     -0.084245      0.003185      7.000000      0.774025      7.000000      9.733445      1.948017    -89.803230      7.940909      0.000000     77.244677     -1.000000      0.376246      0.075361      0.217184      0.031211    111.587938     61.338725   1.62870e+06            93             0            81    111.585393     61.337516   1.61835e+06
  "SoFiA J072508.41+614401.8"             7    197.457072    284.846788     78.475262           194           201           283           287            75            80            50  -1.31957e-04      0.005676      0.151093      0.000000             0      0.208333      2.528823      1.804635      0.305670     -1.085313      0.004048      4.586996      1.500000      4.526562      3.389091      2.106981     69.756567      0.000000      0.000000      0.000000     -1.000000      0.308896      0.207561      0.298627      0.028627    111.285058     61.733846   1.62711e+06           198           284            79    111.283459     61.732672   1.62529e+06
  "SoFiA J072553.17+613808.0"             8    133.480791    214.329092     78.303144           130           137           211           218            75            79            58  -7.36630e-04      0.005670      0.226602      0.000000             0      0.181250      5.448780      2.109512     -0.973763     -0.091731      0.003746      0.800000      0.500000      3.558311      4.309769      2.619257    -47.901030      0.000000      0.000000      0.000000     -1.000000      0.235574      0.224967      0.161730      0.028531    111.471558     61.635548   1.62771e+06           134           214            79    111.470035     61.635095   1.62529e+06
  "SoFiA J072129.25+620059.8"             9    506.483948    489.795459     71.499725           497           511           479           503            69            78           146  -4.49299e-04      0.007269      0.544104      0.000000             1      0.038933      4.811031      1.906950     -0.162247     -0.496550      0.001838      9.000000      1.404094      9.000000     13.976983      4.137212    -27.501154     17.095255      2.892008    -28.779743    183.949588      0.148256      0.245797      0.112441      0.022207    110.371876     62.016605   1.65134e+06           511           495            70    110.358329     62.023761   1.65655e+06
  "SoFiA J072625.93+613244.1"            10     86.304350    149.850674     73.845798            83            88           147           153            72            78            26  -3.95413e-04      0.006075      0.091837      0.000000             0      0.088435      3.236244      2.147021     -0.701496     -1.164213      0.003172      4.591184      3.947423      4.595056      3.603063      2.768590     -7.292161      0.000000      0.000000      0.000000     -1.000000      0.249236      0.266596      0.315348      0.016176    111.608052     61.545570   1.64319e+06            88           151            72    111.603134     61.547184   1.64960e+06
