# SoFiA source catalogue
# Creator: SoFiA 2.4.1 (23-Mar-2022)
# Time:    Fri, 22 Aug 2025, 08:44:20
#
# Note that the plain-text catalogue is solely intended for
# visual inspection and should not be used for quantitative
# analysis due to limited precision and the lack of Unified
# Content Descriptors.  The XML catalogue should instead be
# imported into Python or VO-compatible software to analyse
# the source parameters measured by SoFiA, e.g. through the
# astropy.io.votable module of Astropy.
#
# Header rows:
#   1 = column number
#   2 = parameter name
#   3 = parameter unit
#
#                           1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43            44            45            46
#                        name            id             x             y             z         x_min         x_max         y_min         y_max         z_min         z_max         n_pix         f_min         f_max         f_sum           rel          flag          fill          mean           std          skew          kurt           rms           w20           w50          wm50       ell_maj       ell_min        ell_pa     ell3s_maj     ell3s_min      ell3s_pa        kin_pa         err_x         err_y         err_z     err_f_sum            ra           dec         v_opt        x_peak        y_peak        z_peak       ra_peak      dec_peak    v_opt_peak
#                           -             -           pix           pix           pix           pix           pix           pix           pix           pix           pix             -       Jy/beam       Jy/beam       Jy/beam             -             -             -       JY/BEAM       JY/BEAM             -             -       Jy/beam           pix           pix           pix           pix           pix           deg           pix           pix           deg           deg           pix           pix           pix       Jy/beam           deg           deg           m/s           pix           pix           pix           deg           deg           m/s

  "SoFiA J124050.86+643740.9"             1    454.151950    278.939286     42.209003           452           456           277           281            39            44            64   8.94647e-05      0.001837      0.070730      0.000000             0      0.426667      3.192170      1.451602     -0.175293     -0.986479   8.46438e-04      5.000000      3.378493      3.793263      3.258162      1.365655     46.632435      2.205556      0.603366     38.294410     -1.000000      0.123868      0.123434      0.127895      0.006772    190.211897     64.628035   2.18526e+06           455           278            43    190.206524     64.625379   2.17699e+06
  "SoFiA J124601.21+643412.0"             2    254.691834    256.021425     30.854358           248           267           239           273            19            43          3097   6.29853e-05      0.057100     37.065599      0.000000             0      0.176971     30.983378     31.606536      1.721283      3.079097   5.17803e-04     23.457900     22.017331     22.799962     11.970618      4.548137      7.890087     17.251944      7.293896      8.134251    187.419195      0.002685      0.005107      0.005419      0.028816    191.505035     64.570004   2.30404e+06           255           253            40    191.503042     64.561611   2.20836e+06
  "SoFiA J124605.80+650706.7"             3    251.799995    453.486885     38.265974           249           254           450           457            34            41            62  -1.42505e-04      0.002242      0.071829      0.000000             0      0.161458      3.358405      1.453821     -0.531040     -0.363091   6.56525e-04      5.357997      3.093248      5.049037      3.910984      1.945207     25.158288      4.357831      1.400453     28.984691     -1.000000      0.083172      0.126518      0.114674      0.005169    191.524168     65.118526   2.22650e+06           253           453            39    191.516245     65.117174   2.21882e+06
  "SoFiA J124121.35+640059.0"             4    438.587115     58.404327     39.718515           437           441            56            60            37            41            27  -7.81026e-05      0.002264      0.034739      0.000000             0      0.216000      2.831783      1.574673     -0.385903     -0.985859      0.001174      2.398217      1.380442      2.279281      2.534676      1.626158     45.468907      0.000000      0.000000      0.000000     -1.000000      0.189235      0.210162      0.157270      0.006102    190.338963     64.016380   2.21131e+06           438            58            40    190.342732     64.015287   2.20836e+06
  "SoFiA J124557.54+651052.7"             5    257.005420    476.089720     36.645663           253           259           472           480            30            40           139  -3.87467e-05      0.002609      0.154916      0.000000             0      0.200577      2.476902      1.174449      0.184936     -0.583020   9.60717e-04      8.612318      4.196731      8.469079      4.235515      2.506181     -8.158293      3.616326      1.413326    -14.227453     -1.000000      0.096459      0.156009      0.186597      0.011327    191.489770     65.181316   2.24345e+06           257           479            38    191.489802     65.189400   2.22928e+06
  "SoFiA J124112.51+643558.8"             6    440.431767    268.457214     36.426595           437           442           266           270            33            39            62  -1.20100e-04      0.002454      0.074046      0.000000             0      0.295238      3.087688      1.564613     -0.125025     -0.768395      0.001161      6.000000      5.049322      6.000000      2.513696      2.164093     56.021936      0.000000      0.000000      0.000000     -1.000000      0.138398      0.148623      0.184257      0.009143    190.302115     64.599673   2.24574e+06           441           268            37    190.298492     64.598373   2.23974e+06
  "SoFiA J123933.88+651020.5"             7    498.616856    475.956669     34.956965           496           502           474           479            31            38           131  -2.17466e-04      0.002377      0.147215      0.000000             0      0.389881      2.849422      1.709494      0.519936     -0.228551      0.001023      6.468752      2.586829      6.407906      2.585190      2.379631    -30.329561      1.570426      1.248934    -49.014580     -1.000000      0.100953      0.100688      0.146726      0.011703    189.891185     65.172349   2.26111e+06           499           477            35    189.888474     65.175220   2.26066e+06
  "SoFiA J124011.01+650422.7"             8    476.065713    439.625042     34.067173           472           480           438           445            30            37            99  -2.87127e-05      0.002414      0.132590      0.000000             0      0.171875      3.304151      1.572487     -0.001332     -0.758557   6.76882e-04      6.721830      1.420507      6.805273      4.924246      2.927335     61.846941      5.536331      3.324250     59.018452     55.561583      0.105586      0.076650      0.105554      0.006735    190.045887     65.072968   2.27042e+06           478           439            36    190.033237     65.071108   2.25020e+06
  "SoFiA J124532.73+643512.0"             9    273.023039    262.039846     31.657303           270           277           260           265            29            34            95   2.55758e-04      0.002943      0.117052      0.000000             0      0.329861      3.021994      1.824719      0.444213     -0.800906      0.001085      4.727094      3.985220      4.431362      2.917402      2.499959     49.299151      1.504756      1.412701    -37.284782     -1.000000      0.138456      0.123068      0.102624      0.010570    191.386382     64.586676   2.29564e+06           273           261            33    191.386543     64.583787   2.28159e+06
  "SoFiA J123936.22+651141.4"            10    496.943483    484.005889     22.134459           492           504           481           487            19            32            67  -2.24782e-04      0.002146      0.071012      0.000000             0      0.052590      2.829817      1.601954     -0.356228     -0.784177   6.92456e-04      2.606996      1.829782      9.227030      6.312148      2.636090     81.467611     12.204703      1.411667     67.182262     -1.000000      0.228567      0.099267      0.252819      0.005668    189.900901     65.194820   2.39532e+06           494           484            21    189.920386     65.195009   2.40720e+06
