# SoFiA source catalogue
# Creator: SoFiA 2.4.1 (23-Mar-2022)
# Time:    Fri, 22 Aug 2025, 09:03:58
#
# Note that the plain-text catalogue is solely intended for
# visual inspection and should not be used for quantitative
# analysis due to limited precision and the lack of Unified
# Content Descriptors.  The XML catalogue should instead be
# imported into Python or VO-compatible software to analyse
# the source parameters measured by SoFiA, e.g. through the
# astropy.io.votable module of Astropy.
#
# Header rows:
#   1 = column number
#   2 = parameter name
#   3 = parameter unit
#
#                           1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43            44            45            46
#                        name            id             x             y             z         x_min         x_max         y_min         y_max         z_min         z_max         n_pix         f_min         f_max         f_sum           rel          flag          fill          mean           std          skew          kurt           rms           w20           w50          wm50       ell_maj       ell_min        ell_pa     ell3s_maj     ell3s_min      ell3s_pa        kin_pa         err_x         err_y         err_z     err_f_sum            ra           dec         v_opt        x_peak        y_peak        z_peak       ra_peak      dec_peak    v_opt_peak
#                           -             -           pix           pix           pix           pix           pix           pix           pix           pix           pix             -       Jy/beam       Jy/beam       Jy/beam             -             -             -       Jy/beam       Jy/beam             -             -       Jy/beam           pix           pix           pix           pix           pix           deg           pix           pix           deg           deg           pix           pix           pix       Jy/beam           deg           deg           m/s           pix           pix           pix           deg           deg           m/s

  "SoFiA J232639.40+250451.7"             1    256.485540    256.324066    134.706477           231           279           243           269            78           188         19543  -5.29885e-04      0.044339    197.377171      0.000000             0      0.133079      8.375918      5.371467      1.415330      3.192413      0.001265    103.923633     97.389564    102.382592     15.766324      7.287928    -88.435542     21.741045     10.104054    -88.544763    270.448188      0.007259      0.003822      0.027267      0.176819    351.664178     25.081039   3.47224e+06           256           257           176    351.665667     25.082917   3.33296e+06
  "SoFiA J232730.18+250133.6"             2    187.472635    236.567513    141.604250           162           210           213           255            80           186          7048     -0.001127      0.006922     15.606091      0.000000             0      0.031262      2.893960      1.651645      0.587940      0.269198      0.001237     98.156536     85.305162     98.492479     18.986402     14.883414     29.742641     20.653171     16.345772     32.621248    350.621393      0.052819      0.058621      0.208203      0.103821    351.875744     25.026012   3.44897e+06           190           244           177    351.868030     25.046668   3.32959e+06
  "SoFiA J232622.00+252558.5"             3    280.057025    383.005342    174.509345           269           288           378           393           166           185           560  -7.29201e-04      0.005161      1.214309      0.000000             0      0.087500      3.040470      1.625037      0.372838     -0.288626      0.001398     14.161461      8.525318     13.862711      6.838716      5.510556    -59.961180      6.537235      3.845592    -34.866698    145.457560      0.086426      0.071291      0.100572      0.033084    351.591671     25.432915   3.33799e+06           281           382           172    351.588772     25.430121   3.34645e+06
  "SoFiA J232706.53+251021.2"             4    219.662958    289.281350    172.861627           199           230           284           294           162           185           886  -8.31007e-04      0.005709      1.930669      0.000000             0      0.104877      2.656687      1.355953      0.142187     -0.305748      0.001599     18.608681      6.759436     18.645710     13.087734      3.679765    -88.594494     14.357560      3.465756    -87.753767     -1.000000      0.153264      0.044986      0.135191      0.047582    351.777195     25.172545   3.34354e+06           222           289           173    351.770021     25.171769   3.34308e+06
  "SoFiA J232605.34+245908.4"             5    302.796910    222.016425    156.078239           289           317           208           233           105           185          2213  -8.28386e-04      0.005836      5.057565      0.000000             0      0.036235      2.735631      1.556280      0.485812     -0.051898      0.001300     80.000000     30.649931     80.000000     11.200900      8.348093    -74.318912     11.742388      9.737918    -57.806356    263.456994      0.065539      0.050879      0.274841      0.061135    351.522254     24.985671   3.40014e+06           308           224           177    351.506301     24.991165   3.32959e+06
  "SoFiA J232503.52+250908.1"             6    386.667594    282.152449    175.716297           379           398           277           290           164           184           446  -6.92732e-04      0.004050      0.966335      0.000000             0      0.075850      3.076384      1.598293      0.188555     -0.649507      0.001419     18.320094      8.984692     18.419695      9.820931      5.979464    -89.608638      8.158128      4.401396     76.312589     -1.000000      0.137667      0.088084      0.129035      0.029971    351.264677     25.152246   3.33392e+06           384           281           175    351.272874     25.149067   3.33633e+06
  "SoFiA J232704.59+244803.6"             7    222.184375    155.519368    174.892173           215           231           152           159           166           183           284     -0.001499      0.006335      0.764669      0.000000             0      0.116013      3.101981      1.611030      0.145558     -0.037892      0.001791     16.476058     10.204932     13.955013      8.261255      2.966960     87.199552      6.628141      2.172815     80.338948    269.989448      0.162081      0.056899      0.148932      0.030179    351.769143     24.800989   3.33670e+06           222           157           176    351.769710     24.805101   3.33296e+06
  "SoFiA J232545.57+245811.4"             8    329.692137    216.355306    177.985522           325           335           211           222           172           182           187  -7.87886e-04      0.005120      0.504005      0.000000             0      0.128788      3.461119      1.660471      0.429388      0.246414      0.001977      8.513963      6.869829      8.531073      5.293733      4.729935    -68.297443      5.520650      1.049178     76.143175     -1.000000      0.134107      0.120707      0.150512      0.027042    351.439860     24.969844   3.32627e+06           332           215           180    351.432795     24.966068   3.31948e+06
  "SoFiA J232708.48+245214.4"             9    216.908953    180.604711    177.073727           212           223           174           186           170           182           151   5.95255e-05      0.004709      0.303574      0.000000             0      0.074458      2.319377      1.395003      0.542275     -0.486880      0.001741      9.673058      7.095741      9.551917      5.495092      4.428718    -77.590215      4.817779      1.887198     58.115340     -1.000000      0.180379      0.160125      0.186670      0.021393    351.785353     24.870659   3.32934e+06           214           182           175    351.794263     24.874527   3.33633e+06
  "SoFiA J232608.86+251918.6"            10    297.895758    343.025163    177.778428           295           301           340           346           176           180            99   4.88517e-05      0.003969      0.253941      0.000000             0      0.404082      2.919994      1.163175      0.248821     -0.254119      0.002426      3.980292      3.339715      3.773824      3.421011      2.149934     41.226455      0.000000      0.000000      0.000000     -1.000000      0.137320      0.139547      0.115909      0.024136    351.536919     25.321821   3.32697e+06           297           344           178    351.539669     25.324531   3.32622e+06
