# SoFiA source catalogue
# Creator: SoFiA 2.4.1 (23-Mar-2022)
# Time:    Fri, 22 Aug 2025, 08:50:19
#
# Note that the plain-text catalogue is solely intended for
# visual inspection and should not be used for quantitative
# analysis due to limited precision and the lack of Unified
# Content Descriptors.  The XML catalogue should instead be
# imported into Python or VO-compatible software to analyse
# the source parameters measured by SoFiA, e.g. through the
# astropy.io.votable module of Astropy.
#
# Header rows:
#   1 = column number
#   2 = parameter name
#   3 = parameter unit
#
#                           1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43            44            45            46
#                        name            id             x             y             z         x_min         x_max         y_min         y_max         z_min         z_max         n_pix         f_min         f_max         f_sum           rel          flag          fill          mean           std          skew          kurt           rms           w20           w50          wm50       ell_maj       ell_min        ell_pa     ell3s_maj     ell3s_min      ell3s_pa        kin_pa         err_x         err_y         err_z     err_f_sum            ra           dec         v_opt        x_peak        y_peak        z_peak       ra_peak      dec_peak    v_opt_peak
#                           -             -           pix           pix           pix           pix           pix           pix           pix           pix           pix             -       Jy/beam       Jy/beam       Jy/beam             -             -             -       JY/BEAM       JY/BEAM             -             -       Jy/beam           pix           pix           pix           pix           pix           deg           pix           pix           deg           deg           pix           pix           pix       Jy/beam           deg           deg           m/s           pix           pix           pix           deg           deg           m/s

  "SoFiA J142345.73-000233.5"             1      9.104811    504.422830    152.998690             5            15           500           506           144           159           126     -0.010053      0.007546      0.181921      0.000000             0      0.102273      1.638799      6.922955     -0.745629     -0.976040      0.002527     11.864717      1.905270     14.076488      4.894602      3.513105    -69.975800      5.834993      2.787234    -46.093577     -1.000000      0.140820      0.096838      0.251785      0.028366    215.940531     -0.042632   1.71009e+06             9           506           157    215.940677     -0.040441   1.72399e+06
  "SoFiA J142100.80-001432.1"             2    503.883642    360.699469    152.964974           499           506           359           363           150           159            45     -0.009555      0.009732      0.074679      0.000000             0      0.112500      2.505573      6.456720     -0.527913     -1.504864      0.002446      3.070305      2.253776      2.949425      2.552033      1.683677    -58.692314      2.102477      1.043886    -36.496996    330.633804      0.094883      0.074560      0.106735      0.016409    215.253331     -0.242249   1.70997e+06           504           361           152    215.253170     -0.241832   1.70662e+06
  "SoFiA J142346.34-003722.1"             3      7.273035     86.695088    156.274828             5            13            74            95           152           159           148     -0.007494      0.009531      0.607759      0.000000             0      0.093434      7.117096      4.790028     -0.533145      1.715269      0.002469      4.260897      3.306426      4.156568     10.129044      3.412235     -5.713194     10.634246      3.128539     -3.891096    353.391795      0.077887      0.219267      0.060926      0.030040    215.943096     -0.622812   1.72147e+06             9            85           157    215.940697     -0.625166   1.72399e+06
  "SoFiA J142100.95-004357.6"             4    503.402900      7.610112    158.045908           498           506             5            20           148           159           149     -0.008386      0.008496      0.114776      0.000000             0      0.086227      4.633026     10.221247     -0.034536     -0.647487      0.002654      2.156080      1.770876      2.157226      5.258911      2.469819    -27.580752      2.773925      1.467551    -45.610692     -1.000000      0.139716      0.192922      0.073808      0.032402    215.253974     -0.732653   1.72762e+06           502             6           158    215.255922     -0.734890   1.72746e+06
  "SoFiA J142346.38-001332.2"             5      7.162694    372.673864    142.245810             5            12           359           387           126           158           387     -0.010050      0.009331      1.000291      0.000000             0      0.050549      2.967578      5.885107     -0.662721     -0.014845      0.002608     27.250496     19.882247     28.601359      9.044277      2.987245     -7.377691      8.988168      2.765496    -13.843436    350.398775      0.048841      0.142745      0.254929      0.051304    215.943231     -0.225618   1.67273e+06             5           373           144    215.946235     -0.225165   1.67882e+06
  "SoFiA J142345.70-001820.1"             6      9.188346    315.093365    153.164911             5            11           309           322           149           158            93     -0.007745      0.010249      0.232958      0.000000             0      0.094898      2.009474      4.541427     -1.044530     -0.087818      0.002596      4.002138      2.857303      3.856552      5.609829      2.105771    -27.038849      5.020561      1.332111    -27.423323    308.539186      0.104951      0.152486      0.095709      0.025037    215.940420     -0.305591   1.71066e+06            10           317           154    215.939293     -0.302943   1.71357e+06
  "SoFiA J142100.73-002501.9"             7    504.088114    234.746152    156.799003           499           506           230           245           154           158           101     -0.007558      0.009326      0.230661      0.000000             0      0.157812      2.576903      8.024886     -1.019441      0.296411      0.002975      2.487471      2.068174      2.494502      6.160073      2.731897     25.517906      4.393696      1.864863     23.601148     -1.000000      0.122899      0.197159      0.064110      0.029899    215.253041     -0.417184   1.72329e+06           504           234           157    215.253163     -0.418221   1.72399e+06
  "SoFiA J142317.38-004353.6"             8     94.155854      8.395798    155.755041            90           101             5            12           151           158            88      0.001649      0.009880      0.530550      0.000000             0      0.114583      5.471448      1.737462      0.541505      0.410959      0.002860      5.690958      3.398239      5.597886      5.183805      2.914255    -68.720973      4.847541      2.600384    -75.560106    141.219641      0.122673      0.085132      0.107585      0.026833    215.822422     -0.731566   1.71966e+06            94             7           158    215.822638     -0.733505   1.72746e+06
  "SoFiA J142346.65-001553.6"             9      6.350140    344.403106    153.338841             5             9           341           348           144           157            80     -0.004300      0.008802      0.381974      0.000000             0      0.142857      5.590162      3.585993     -1.245044      2.871027      0.002462      7.470782      0.854692      9.679616      2.767842      2.453759     -1.058032      2.156589      1.957939     61.049564    244.527876      0.066532      0.079395      0.220667      0.022022    215.944361     -0.264883   1.71127e+06             6           345           157    215.944847     -0.264054   1.72399e+06
  "SoFiA J142223.94-002316.1"            10    254.471080    255.905178    125.844334           237           272           232           276            94           157         11226     -0.001801      0.027906    109.946195      0.000000             0      0.108275      3.883002      1.875054      1.054957      1.490403      0.003035     58.563192     55.322212     57.769266     21.784577     14.122344    -27.322369     23.504447     15.703574    -27.315639    150.038162      0.023860      0.029460      0.052351      0.321559    215.599743     -0.387804   1.61577e+06           255           265           151    215.599008     -0.375172   1.70314e+06
  "SoFiA J142346.57-003445.0"            11      6.596168    118.118982    148.843584             5            11           114           123           145           157            67     -0.005732      0.008567      0.212546      0.000000             0      0.073626      3.039029      4.891020     -0.996120     -0.321540      0.002568      9.430431      2.016023      9.609175      5.878567      1.286587     22.399765      6.287243      1.202009     24.060769     -1.000000      0.085700      0.182627      0.242974      0.021021    215.944033     -0.579167   1.69565e+06             5           121           146    215.946250     -0.575166   1.68577e+06
  "SoFiA J142346.33-001909.4"            12      7.301314    305.232574    142.245688             5            11           301           311           138           156           111     -0.009490      0.008972      0.329826      0.000000             0      0.075871      5.087113      7.148981     -0.892550      0.884265      0.002656      2.387019      1.289528     18.000000      4.980253      2.897753    -10.263963      3.784146      2.000490      2.315434           nan      0.092903      0.138762      0.158589      0.027987    215.943041     -0.319287   1.67273e+06             7           304           142    215.943460     -0.320999   1.67188e+06
  "SoFiA J142343.96-004403.9"            13     14.417793      6.332758    153.085199            11            19             5             9           149           156            62  -1.66170e-04      0.009024      0.297782      0.000000             0      0.172222      4.795878      1.852344     -0.378869      0.689537      0.002880      7.000000      4.786551      7.000000      3.946533      1.700088    -63.454524      3.006782      1.475612    -61.889210     -1.000000      0.152800      0.092775      0.153450      0.022677    215.933179     -0.734428   1.71039e+06            13             6           153    215.935149     -0.734890   1.71009e+06
