 100  6712  6546  93.5 3.9  9.53 0.12 157  9.86 0
 101  5999  5847  83.5 3.7            128  9.71 1
 102  4852  4796  68.5 3.5 10.31 0.12 338 10.17 0
 103  1510  1538  22.0 2.8  9.39 0.12 366  8.53 0
 104 10475 10287 147.0 5.1  9.84 0.12 639 10.43 0
 106  9322  9147 130.7 4.7  9.75 0.12 322 10.59 1
 107  3176  3156  45.1 3.1  9.11 0.12 265  9.10 0
 108  5083  4981  71.2 3.4  8.76 0.12 290  9.36 0
 110  6393  6235  89.1 3.9            388 10.20 1
 111  5356  5248  75.0 3.6            179  9.62 1
 113  6400  6242  89.2 3.9  9.12 0.12 482  9.81 1
 114  8274  8084 115.5 4.5            333  9.66 1
 115  5126  4997  71.4 3.5 10.17 0.12 320  9.85 0
 116  3909  3868  55.3 3.3  9.05 0.12 300  8.76 0
 118  8055  7871 112.4 4.3            499 10.36 1
 119  5963  5817  83.1 3.7  9.92 0.12 569 10.11 0
 120  6690  6553  93.6 4.0  9.63 0.12 434  9.35 0
 122  6930  6778  96.8 4.0  9.96 0.12 311 10.03 0
 123  5898  5764  82.3 3.7 10.32 0.12 540 10.04 0
 124  7000  6848  97.8 4.0            407  9.59 1
 125  7086  6935  99.1 4.1  9.67 0.12 482  9.62 0
 126 11619 11414 163.1 5.6 10.32 0.12 549 10.75 0
 127  7708  7555 107.9 4.2            319 10.23 1
 128  6614  6477  92.5 3.9 10.65 0.12 100  9.73 0
 129  9299  9123 130.3 4.8  9.54 0.12 480 10.12 0
 130  6407  6277  89.7 3.9 10.11 0.12 484 10.25 0
 131  8047  7900 112.9 4.4 10.11 0.12 166 10.00 0
 132  7289  7148 102.1 4.1  9.41 0.12 187  9.45 0
 133  6988  6859  98.0 4.0  9.64 0.12 420  9.65 0
 134  5198  5109  73.0 3.6  9.68 0.12 306  9.32 0
 135  5227  5137  73.4 3.6  9.90 0.12 324  9.83 0
 136  4971  4913  70.2 3.5  9.12 0.12 172  9.31 0
 137  6376  6277  89.7 3.8  9.52 0.12 248  9.94 0
 138  3812  3764  53.8 3.2  9.94 0.12 635 10.11 0
 139   859   897  10.6 1.1  9.00 0.12 284  8.66 0
 141  1711  1985  28.4 2.8  8.42 0.12 169  8.98 0
 142  7825  7983 114.0 4.4  9.36 0.12 207  9.51 0
 143  5305  5228  74.7 3.6 10.13 0.12 469 10.07 0
 144  3816  3800  54.3 3.2 10.03 0.12 547 10.05 0
 145  3714  3681  52.6 3.2  8.92 0.12 320  9.43 0
 146  3869  3833  54.8 3.3  9.65 0.12 265  9.61 0
 147  2457  2696  38.5 3.0 10.13 0.12 484  8.87 0
 148  7395  7288 104.1 4.1  9.87 0.12 328  9.91 0
 149  4976  4916  70.2 3.5  9.37 0.12 140  9.06 0
 150  9227  9105 130.1 4.8 10.07 0.12 253 10.02 0
 151  4810  4761  68.0 3.5 10.14 0.12 473 10.12 0
 152  2515  2524  36.1 3.0  9.28 0.12 213  8.93 0
 153  4517  4744  67.8 3.5            325  9.65 1
 154  4553  4530  64.7 3.4  9.81 0.12 219 10.06 0
 155  1556  1862  26.6 2.9  9.41 0.12 102  8.87 0
 156  2828  2868  41.0 3.1  8.67 0.12 214  8.90 0
 157  8243  8184 116.9 4.4 10.04 0.12 148 10.24 0
 158 10762 10693 152.8 5.3            450 11.41 1
 159  4085  4293  61.3 3.3 10.08 0.12 504 10.30 0
 160  4228  4406  62.9 3.3  8.55 0.12 251  9.53 0
 161  7978  8099 115.7 4.4 10.36 0.12 217 10.52 0
 164  8996  9104 130.1 4.8  9.65 0.12 100  9.20 0
