  41  29.5  1.9  2.1  4.1  3  15.4  45.7   5.05 0.15 1.13   5.69  6151.1   3.2 0.02 267.4   4.5  0.0 0.98 262.1 0 0 AOL HG84
  42  15.9  0.8  0.9  4.1  3  20.7  78.6   3.16 0.05 1.06   3.36  5472.7   2.5 0.02 221.3   3.6  0.0 0.98 217.4 0 0 AOL HG84
  44   8.4  0.8  1.8  5.3 10  10.4  15.2   0.89 0.04 1.00   0.89  6037.7  21.2 0.02 101.1  30.0 30.6 0.98  69.0 0 1 ERT     
  47  10.1  1.5  4.0  8.7  8   6.7   9.6   2.12 0.20 1.04   2.21  8892.8  14.1 0.03 368.5  19.9 21.5 0.97 337.0 0 0 AOL Sp05
  49  59.9  2.1  3.9  8.5  4  28.2  52.1  11.11 0.25 1.17  12.97  5193.3   2.4 0.02 294.3   3.4 14.7 0.98 274.8 0 0 AOL Sp05
  50  62.2  0.5  0.5  4.6  3 138.1 248.1   2.72 0.01 1.16   3.14  2135.7   0.4 0.01  43.1   0.6  0.0 0.99  42.8 0 0 AOL HG84
  51        3.2  3.3  5.2                                                                                       1   ERT     
  53  22.1  1.9  2.1  4.1  3  11.7  30.3   2.42 0.11 1.22   2.95  3136.0   5.0 0.01 143.6   7.0  0.0 0.99 142.1 0 0 AOL HG84
  54  20.1  1.1  2.8  8.5  8  18.7  25.0   2.52 0.08 1.04   2.61  4171.1  11.7 0.01 129.1  16.5 43.7 0.99  84.2 0 1 AOL Sp05
  55   3.9  0.5  0.2  0.7  2   7.9 115.2   1.17 0.02 1.10   1.28 13979.2   4.6 0.05 517.3   6.5  0.0 0.96 494.2 0 1 AOG     
  56  18.1  2.1  2.4  4.3  3   8.6  32.6   4.27 0.20 1.14   4.86  5166.3   6.7 0.02 370.6   9.4  0.0 0.98 364.4 0 0 AOL HG84
  57        1.3  1.0  2.9                                                                                       1   AOG     
  58   8.7  1.0  2.6  9.0  8   8.8  16.5   2.38 0.15 1.06   2.52 10923.2  14.2 0.04 435.5  20.1 32.9 0.96 388.5 0 0 AOL Sp05
  59  64.0  2.2  4.0  8.5  4  29.3  50.5   9.47 0.22 1.15  10.86  4301.8   2.2 0.01 217.2   3.2 14.6 0.99 199.7 0 0 AOL Sp05
  60   8.8  1.1  1.1  5.2  2   8.1  25.9   1.43 0.09 1.00   1.43  5148.8   5.1 0.02 240.8   7.2  0.0 0.98 236.7 0 0 ERT     
  62  23.2  2.0  4.6  8.6  6  11.5  18.1   4.33 0.23 1.05   4.56  5657.3  11.8 0.02 273.9  16.6 27.3 0.98 242.1 0 0 AOL Sp05
  63  59.6  4.4  2.3  1.3  2  13.4  69.1   4.44 0.11 1.01   4.47  1612.7   2.1 0.01  81.4   3.0  0.0 0.99  81.0 0 0 NRT     
  64  30.5  1.5  3.4  8.4  6  20.0  31.4   4.69 0.14 1.07   5.00  3127.2   4.6 0.01 190.2   6.5 29.0 0.99 159.6 0 0 AOL Sp05
  65  12.4  2.3  5.3  8.9  6   5.4   7.3   1.85 0.24 1.06   1.96 11193.7  29.0 0.04 224.9  41.0  9.1 0.96 208.0 0 0 AOL Sp05
  66  17.6  1.0  0.7  2.1  2  17.3  75.4   2.20 0.05 1.02   2.23  4657.3   1.7 0.02 191.9   2.4  0.0 0.98 189.0 0 0 GBT     
  67  10.3  1.5  4.4  8.8 10   6.9   9.2   2.25 0.19 1.04   2.33  9773.2  20.4 0.03 328.4  28.9 30.6 0.97 288.5 0 0 AOL Sp05
  68   1.2  0.2  0.3  4.2  3   5.0  14.1   0.14 0.01 1.00   0.14  1772.8  13.1 0.01 134.9  18.5  0.0 0.99 134.1 0 0 AOL HG84
  69  10.9  0.7  0.8  4.1  3  15.0  51.9   2.20 0.06 1.07   2.36  7668.7   4.8 0.03 279.8   6.8  0.0 0.98 272.8 0 0 AOL HG84
  70   7.0  1.3  2.4  2.6 14   5.5  10.5   1.38 0.08 1.02   1.41  8156.4  29.3 0.03 296.7  41.5  8.6 0.97 280.5 0 1 NRT     
  71  12.1  0.8  2.0  8.6  8  15.6  24.6   2.72 0.11 1.11   3.01  5906.8   8.0 0.02 405.4  11.3 44.2 0.98 354.2 0 0 AOL Sp05
  72  11.0  1.7  1.9  4.1  3   6.6  23.4   2.17 0.13 1.11   2.42  5163.2   8.3 0.02 249.0  11.7  0.0 0.98 244.7 0 0 AOL HG84
  73   8.5  1.6  4.7  9.0 10   5.4   6.3   1.27 0.15 1.03   1.30 13805.8  55.0 0.05 180.3  77.8 18.7 0.96 154.5 0 0 AOL Sp05
  74  21.0  2.3  2.6  1.3 10   9.3  22.1   2.82 0.10 1.01   2.84 10207.4   9.7 0.03 245.2  13.8  8.9 0.97 228.5 0 0 NRT     
  75  35.8  1.9  2.4  8.4  2  19.2  47.6   3.66 0.13 1.03   3.75  3470.5   5.5 0.01 100.6   7.8  0.0 0.99  99.4 0 0 AOL Sp05
  76  13.7  1.1  1.3  4.1  3  11.9  42.6   2.42 0.08 1.09   2.63  8057.5   5.8 0.03 199.2   8.3  0.0 0.97 194.0 0 0 AOL HG84
  77  14.2  1.6  3.7  8.7  6   8.7  12.4   2.16 0.17 1.05   2.27  8045.5  16.5 0.03 214.2  23.4 20.8 0.97 188.4 0 0 AOL Sp05
  78  11.7  1.6  2.1  8.6  2   7.2  21.2   2.49 0.22 1.11   2.76  6288.0   9.0 0.02 358.7  12.7  0.0 0.98 351.3 0 0 AOL Sp05
  79        1.0  0.8  2.7                                                                                       1   AOG     
  80 267.6 13.0  7.9  1.9  2  20.6 181.3  78.61 0.88 1.11  87.50  2469.2   2.3 0.01 445.9   3.2  0.0 0.99 442.2 0 0 JBL SD87
  82  17.7  1.9  4.5  9.0  6   9.1  10.6   2.63 0.25 1.04   2.74 12929.8  12.5 0.04 326.4  17.7 22.7 0.96 291.2 0 0 AOL Sp05
  83  13.6  1.1  1.7 13.6  2  12.9  34.2   3.24 0.16 1.01   3.28  5073.9   7.8 0.02 297.7  11.0  0.0 0.98 292.8 0 0 ERT Hu95
  84  27.3  1.1  2.5  8.5  6  24.9  29.8   3.78 0.12 1.15   4.36  4653.7   3.2 0.02 260.1   4.5 29.3 0.98 227.3 0 0 AOL Sp05
