# hcg_index diameter diameter_err mass mass_err phase optical_diameter optical_diameter_err logm_star linear_res coldens_lim
HCG61c 2.3540e+01 1.7580e-01 1.3540e+09 4.3397e+04 3a 2.8305e+01 1.9137e+00 0.0000e+00 9.3870e+00 2.6690e+19
HCG68c 6.7230e+01 4.0708e-01 8.2695e+09 4.9199e+03 3c 2.6619e+01 1.0356e+00 1.0930e+01 1.3192e+01 1.2915e+18
AGC242021 4.7895e+01 8.4665e-01 4.9747e+09 1.5912e+05 2 1.1776e+01 4.7972e+00 0.0000e+00 2.0832e+01 2.6114e+19
AGC732898 2.9155e+01 1.1453e+00 1.5750e+09 6.6194e+04 2 1.3624e+01 7.6613e+00 0.0000e+00 2.0514e+01 2.2105e+19
HCG71a 1.1725e+02 9.1185e-01 2.4008e+10 3.0750e+05 2 4.1454e+01 4.3408e+00 1.0890e+01 2.1150e+01 2.7491e+19
HCG71c 5.3875e+01 4.4005e-01 5.9550e+09 1.9015e+05 2 1.7523e+01 4.2036e+00 9.7100e+00 1.9560e+01 2.7818e+19
HCG79d 2.2947e+01 2.3133e-01 1.9229e+09 5.4375e+04 2 1.9456e+01 2.2858e+00 9.0300e+00 8.0228e+00 5.7469e+19
HCG88a 1.9520e+01 3.9340e-01 6.7420e+08 7.4847e+04 1 3.2580e+01 2.3602e+00 0.0000e+00 1.0188e+01 4.8159e+19
HCG88b 3.7033e+01 3.1785e-01 2.0696e+09 1.1122e+05 1 2.7099e+01 2.3602e+00 0.0000e+00 1.0188e+01 6.0776e+19
HCG88c 5.5133e+01 2.6715e-01 6.1204e+09 1.5061e+05 1 2.2324e+01 2.3921e+00 0.0000e+00 1.0326e+01 6.2715e+19
HCG88d 2.9828e+01 5.1136e-01 2.7384e+09 3.5384e+05 1 2.2540e+01 2.3602e+00 0.0000e+00 1.0188e+01 2.6568e+20
HCG90a 2.1880e+01 1.2588e+00 8.4228e+08 6.4710e+04 3c 2.3381e+01 9.9739e-01 0.0000e+00 9.8217e+00 2.7688e+19
HCG91a 5.8824e+01 1.5631e+00 6.3393e+09 2.6226e+05 2 5.1613e+01 2.9024e+00 1.1060e+01 3.0711e+01 1.7821e+19
HCG91b 5.3580e+01 5.3410e-01 4.6569e+09 3.3817e+05 2 3.4475e+01 2.9343e+00 1.0600e+01 3.1048e+01 1.8560e+19
HCG91c 3.9210e+01 6.2827e-01 4.7082e+09 2.2744e+05 2 2.4110e+01 2.9662e+00 1.0270e+01 3.1386e+01 1.6302e+19
HCG93b 4.2761e+01 5.6450e-01 2.4918e+09 2.6922e+04 3c 3.0332e+01 1.7454e+00 0.0000e+00 2.1717e+01 3.6844e+18
HCG96a 7.5728e+01 9.2695e-01 9.8083e+09 4.5421e+05 2 3.7859e+01 3.7859e+00 1.1310e+01 1.8306e+01 5.3841e+19
