# A catalog of galaxies from the primary analysis sample in the paper "New Lessons from the  HI Size-mass Relation of Galaxies"
# Galaxies from the B97 sample are not included for a similar table is available in B97.
# The columns are 
# 1) galaxy name,
# 2) ${\rm D_{HI}}$ (kpc),
# 3) log ${\rm M_{HI}/M_{\odot}$,
# 4) the distance (Mpc),
# 5) the position angle (northern is 90 degree, counter-clock wise),
# 6) the axis ratio,
# 7) the B band magnitude,
# 8) the B band D$_{25}$ (kpc),
# 9) the sample name (Table 1 in the paper),
# 10) the reference paper for {\rm $D_{HI}$} and ${\rm M_{HI}}$r
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
    galaxy       DHI   log MHI       dis        PA       b/a       M_B       D25              sample                               reference
                 kpc      Msun       Mpc       deg                 mag       kpc                                                            
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
   NGC4501     23.72      9.22      16.5      50.0      0.55    -16.91     26.24                VIVA                               this work
   NGC4522      9.23      8.53      16.5      33.0      0.28    -17.57     12.64                VIVA                               this work
   NGC4532     20.37      9.29      16.5      70.0      0.39    -18.87     12.46                VIVA                               this work
   NGC4548     21.77      8.81      16.5      60.0      0.80    -16.61     23.55                VIVA                               this work
   NGC4561     19.38      9.15      16.5      30.0      0.85    -18.49      7.91                VIVA                               this work
   NGC4568     18.90      9.18      16.5      23.0      0.45         -     20.47                VIVA                               this work
   NGC4569     13.99      8.79      16.5      23.0      0.46    -21.02     33.20                VIVA                               this work
   NGC4579     18.17      8.75      16.5       5.0      0.80    -20.77     22.08                VIVA                               this work
   NGC4580      2.72      7.45      16.5      75.0      0.78    -18.08     12.14                VIVA                               this work
   NGC4654     27.39      9.47      16.5      38.0      0.59    -19.39     21.45                VIVA                               this work
   NGC4689     13.75      8.67      16.5      71.0      0.81    -18.38     12.64                VIVA                               this work
   VCC2062      9.98      8.51      16.5      42.0      1.00    -10.25      3.17                VIVA                               this work
   NGC4694      5.66      8.40      16.5      50.0      0.49    -17.31     10.78                VIVA                               this work
   NGC4698     33.47      9.21      16.5      80.0      0.63    -17.95     14.94                VIVA                               this work
   NGC4713     26.87      9.46      16.5      10.0      0.64    -18.90      9.49                VIVA                               this work
   NGC4772     12.94      8.92      16.5      57.0      0.51    -19.24     11.53                VIVA                               this work
   NGC4808     36.18      9.55      16.5      37.0      0.42    -18.74     10.88                VIVA                               this work
     UGC89     46.90      9.94      62.1      -1.9      0.86    -21.62     26.37           WHISP(ET)                               this work
    UGC232     51.64      9.90      66.3     -66.2      0.98    -19.61     23.20           WHISP(ET)                               this work
    UGC624     63.20     10.16      65.1     -77.2      0.53    -20.29     28.16           WHISP(ET)                               this work
   UGC1541     60.76     10.05      77.0     -14.2      0.83    -20.76     31.63           WHISP(ET)                               this work
   UGC2045     21.25      9.32      21.4     -61.2      0.93    -19.98     15.17           WHISP(ET)                               this work
   UGC2141     25.13      9.36      14.3      -3.0      0.39    -18.27      9.79           WHISP(ET)                               this work
   UGC2183     31.42      9.56      21.5     -27.4      0.55    -18.77      6.67           WHISP(ET)                               this work
   UGC2487     79.52     10.23      67.4     -38.8      0.81    -21.04     42.49           WHISP(ET)                               this work
   UGC2916     78.95     10.34      63.5     -23.7      0.47    -20.20     17.73           WHISP(ET)                               this work
   UGC2941     66.39     10.21      83.9     -69.3      0.77    -21.60     28.73           WHISP(ET)                               this work
   UGC3205     57.62      9.96      48.7     -47.4      0.42    -19.60     26.82           WHISP(ET)                               this work
   UGC3354     50.22      9.90      43.6      -4.2      0.39    -18.72     23.93           WHISP(ET)                               this work
   UGC3382     46.46      9.72      62.8     -57.1      0.78    -19.89     28.26           WHISP(ET)                               this work
   UGC3546     34.33      9.38      27.3     -39.8      0.64    -17.96     15.67           WHISP(ET)                               this work
   UGC3642    100.44     10.55      62.9      -7.4      0.93    -20.68     20.31           WHISP(ET)                               this work
   UGC3965     69.08     10.16      62.5      -2.0      0.91    -17.26     17.22           WHISP(ET)                               this work
   UGC3993     45.40      9.84      61.9     -66.7      0.87    -20.22     13.09           WHISP(ET)                               this work
   UGC4458     76.04     10.07      64.2     -57.2      0.69    -20.78     23.03           WHISP(ET)                               this work
   UGC5559     17.57      8.78      18.6     -68.8      0.46    -19.33     15.27           WHISP(ET)                               this work
   UGC5906     10.15      8.49      23.1     -31.6      0.73    -18.32     10.35           WHISP(ET)                               this work
   UGC5960     11.28      8.88      10.5     -19.2      0.82    -17.10      2.88           WHISP(ET)                               this work
   UGC6001     12.77      8.52      25.1     -44.0      0.69    -18.87      4.62           WHISP(ET)                               this work
   UGC6118     18.59      8.92      22.2     -48.7      0.92    -18.36     13.37           WHISP(ET)                               this work
   UGC6742      7.39      8.23      13.0     -13.4      0.89    -17.43      3.48           WHISP(ET)                               this work
   UGC6786     34.81      9.59      25.9      -1.3      0.42    -19.70     16.93           WHISP(ET)                               this work
   UGC7489      8.52      8.41      16.4     -41.8      0.85    -18.88      7.93           WHISP(ET)                               this work
   UGC7506     17.02      9.07      37.0     -61.9      0.58    -19.42     14.99           WHISP(ET)                               this work
   UGC7704      9.44      8.53      14.8     -33.2      0.87    -16.80      4.10           WHISP(ET)                               this work
   UGC8271     15.75      8.89      17.7     -81.4      0.57    -17.77      6.40           WHISP(ET)                               this work
   UGC8699     35.25      9.51      36.7     -76.6      0.42    -18.77     12.99           WHISP(ET)                               this work
   UGC8805     43.18      9.64      34.5     -41.2      0.74    -19.31     18.13           WHISP(ET)                               this work
   UGC8863     41.94      9.40      27.2     -65.4      0.50    -19.85     22.00           WHISP(ET)                               this work
   UGC9644     48.42      9.85      91.5      -6.1      0.86    -20.06     22.54           WHISP(ET)                               this work
  UGC11269     57.22     10.04      38.3     -71.8      0.61    -19.45     21.39           WHISP(ET)                               this work
  UGC11670     19.50      9.03      12.7     -32.6      0.38    -18.50      8.67           WHISP(ET)                               this work
  UGC11852    120.80     10.47      80.0     -86.9      0.46    -19.80     20.94           WHISP(ET)                               this work
  UGC11914     15.26      8.84      14.9     -78.8      0.94    -18.28     11.96           WHISP(ET)                               this work
  UGC11951     20.25      9.27      17.4     -23.8      0.59    -18.46     11.02           WHISP(ET)                               this work
  UGC12043     21.04      9.07      15.4     -84.7      0.42    -17.80      6.64           WHISP(ET)                               this work
  UGC12276     51.96      9.77      77.7     -48.8      0.77    -20.30     31.71           WHISP(ET)                               this work
  UGC12713      4.72      7.90       5.7     -29.8      0.34    -13.93      1.75           WHISP(ET)                               this work
   NGC2685     28.45      9.33      16.7      37.0      0.60    -17.69      9.49             Atlas3D                               this work
   NGC2764     22.95      9.28      39.6      82.5      0.78    -19.25     16.93             Atlas3D                               this work
   NGC3941     21.88      8.73      11.9       9.0      0.66    -17.90      8.03             Atlas3D                               this work
   NGC3998      9.11      8.45      13.7      66.8      0.54    -17.64      7.74             Atlas3D                               this work
   NGC4203     25.43      9.15      14.7      26.0      0.85    -17.91     10.55             Atlas3D                               this work
   NGC4262     18.65      8.69      15.4      35.9      0.57    -18.59      4.96             Atlas3D                               this work
   NGC5582     57.81      9.65      27.7      30.6      0.60    -19.26     14.66             Atlas3D                               this work
   NGC6798     21.25      9.38      37.5      53.8      0.62    -18.91     17.70             Atlas3D                               this work
  UGC09519     34.67      9.27      27.6      18.0      0.60    -17.89      4.90             Atlas3D                               this work
   CVnIdwA      3.28      7.67       3.6      -8.9      0.74         -         -       LITTLE THINGS                               this work
     DDO43      7.24      8.23       7.8      -4.6      0.78    -14.20      3.20       LITTLE THINGS                               this work
     DDO46      7.81      8.27       6.1     -32.2      0.80    -13.13      3.30       LITTLE THINGS                               this work
     DDO47     11.27      8.59       5.2     -40.7      1.00    -13.31      7.41       LITTLE THINGS                               this work
     DDO50     13.05      8.85       3.4     -75.0      0.87    -16.69      0.67       LITTLE THINGS                               this work
     DDO52     11.01      8.43      10.3     -73.7      0.65    -12.21      5.98       LITTLE THINGS                               this work
     DDO53      3.49      7.72       3.6     -39.3      0.77    -13.46      1.57       LITTLE THINGS                               this work
     DDO63      6.74      8.19       3.9     -22.1      0.84    -15.15      4.08       LITTLE THINGS                               this work
     DDO69      1.66      6.84       0.8     -73.2      0.53    -11.00      0.99       LITTLE THINGS                               this work
     DDO70      3.84      7.61       1.3      -0.4      0.93    -13.49      1.63       LITTLE THINGS                               this work
     DDO75      4.11      7.86       1.3     -45.8      0.77    -13.89      2.23       LITTLE THINGS                               this work
     DDO87     10.51      8.39       7.7     -33.7      0.85    -12.48      5.25       LITTLE THINGS                               this work
    DDO101      3.33      7.36       6.4     -76.3      0.72    -13.42      3.98       LITTLE THINGS                               this work
    DDO126      6.79      8.16       4.9     -51.9      0.51    -12.91      6.37       LITTLE THINGS                               this work
    DDO133      6.05      8.02       3.5     -73.1      0.74    -12.19      6.73       LITTLE THINGS                               this work
    DDO154      9.97      8.46       3.7     -45.2      0.40    -13.94      0.28       LITTLE THINGS                               this work
    DDO155      1.78      7.00       2.2     -13.1      0.86    -11.52      0.50       LITTLE THINGS                               this work
    DDO165      6.94      8.13       4.6      -2.2      0.63    -15.61      4.68       LITTLE THINGS                               this work
    DDO167      2.52      7.17       4.2     -35.8      0.54    -11.16      0.80       LITTLE THINGS                               this work
    DDO168      8.07      8.47       4.3     -55.6      0.62    -14.23      4.54       LITTLE THINGS                               this work
    DDO187      1.81      7.12       2.2      -8.8      0.74    -11.50      1.25       LITTLE THINGS                               this work
    DDO210      0.78      6.30       0.9      -4.0      0.90     -7.98      0.59       LITTLE THINGS                               this work
    DDO216      1.50      6.75       1.1     -61.7      0.55    -12.29      1.60       LITTLE THINGS                               this work
   F564-V3      3.98      7.61       8.7     -46.8      0.66         -         -       LITTLE THINGS                               this work
      IC10      4.85      7.78       0.7      -2.8      0.71    -16.94      1.63       LITTLE THINGS                               this work
    IC1613      4.06      7.53       0.7     -15.6      0.70    -14.45      3.30       LITTLE THINGS                               this work
    M81dwA      2.76      7.18       3.5      -6.2      0.85         -         -       LITTLE THINGS                               this work
   NGC1569      7.19      8.39       3.4     -76.2      0.53    -18.61      3.34       LITTLE THINGS                               this work
   NGC2366     13.60      8.84       3.4     -62.6      0.44    -16.38      8.01       LITTLE THINGS                               this work
   NGC3738      4.70      8.06       4.9     -33.6      0.69    -16.10      3.50       LITTLE THINGS                               this work
   NGC4163      2.01      7.16       2.9     -14.7      0.88    -13.69      1.40       LITTLE THINGS                               this work
   NGC4214     12.40      8.76       3.0     -44.7      0.81    -17.17      4.19       LITTLE THINGS                               this work
    SagDIG      2.01      6.94       1.1     -21.1      0.80    -10.22      0.90       LITTLE THINGS                               this work
   UGC8508      2.49      7.28       2.6     -62.2      0.43    -12.34      1.28       LITTLE THINGS                               this work
       WLM      4.86      7.85       1.0      -4.8      0.45    -14.12      3.35       LITTLE THINGS                               this work
    Haro29      4.80      7.80       5.8      -8.2      0.68         -         -       LITTLE THINGS                               this work
    Haro36      5.91      8.16       9.3     -67.3      0.66         -         -       LITTLE THINGS                               this work
    Mrk178      1.90      6.99       3.9     -40.9      0.54    -14.13      1.40       LITTLE THINGS                               this work
  VIIZw403      3.62      7.69       4.4     -89.1      0.64         -         -       LITTLE THINGS                               this work
   NGC4359     27.62      9.15      17.5         -         -    -17.41     11.68                 K09                Kova{\v c} et al. (2009)
  UGC07698      8.29      8.23       4.4         -         -    -12.70      8.53                 K09                Kova{\v c} et al. (2009)
  UGC07428     14.57      8.78      15.9         -         -    -16.77      6.10                 K09                Kova{\v c} et al. (2009)
   UGCA292      3.33      7.78       4.2         -         -    -11.19      1.23                 K09                Kova{\v c} et al. (2009)
   NGC4395     28.22      9.11       4.3         -         -    -17.60      3.61                 K09                Kova{\v c} et al. (2009)
  UGC07916     14.66      8.62       8.7         -         -    -14.77      6.04                 K09                Kova{\v c} et al. (2009)
  UGC07427      5.40      7.96      10.3         -         -    -13.63      2.80                 K09                Kova{\v c} et al. (2009)
   NGC4534     27.53      9.32      11.5         -         -    -17.15      9.63                 K09                Kova{\v c} et al. (2009)
  UGC07605      3.01      7.43       4.5         -         -    -13.00      1.59                 K09                Kova{\v c} et al. (2009)
  UGC07949      6.27      7.99       4.9         -         -    -11.51      3.17                 K09                Kova{\v c} et al. (2009)
  UGC07559      6.11      7.82       3.2         -         -    -11.99      4.17                 K09                Kova{\v c} et al. (2009)
  UGC07599      5.02      7.66       4.1         -         -    -12.51      2.36                 K09                Kova{\v c} et al. (2009)
  UGC07699     13.32      8.57       7.2         -         -    -15.95      3.44                 K09                Kova{\v c} et al. (2009)
KUG1218+38      4.09      7.76       8.3         -         -    -14.28      1.64                 K09                Kova{\v c} et al. (2009)
    IC3687      8.75      8.14       5.3         -         -    -13.19      5.32                 K09                Kova{\v c} et al. (2009)
  UGC07719     10.34      8.42      10.0         -         -    -14.66      5.53                 K09                Kova{\v c} et al. (2009)
MCG+07-26-      6.63      8.07       9.7         -         -    -14.99      2.09                 K09                Kova{\v c} et al. (2009)
  UGC07774     15.46      8.57       7.9         -         -    -14.36      6.94                 K09                Kova{\v c} et al. (2009)
  UGC07690     10.75      8.53       8.2         -         -    -15.99      3.87                 K09                Kova{\v c} et al. (2009)
  UGC07608     14.10      8.66       8.3         -         -    -13.65      8.33                 K09                Kova{\v c} et al. (2009)
  UGC07577      5.72      7.78       3.4         -         -    -13.03      4.40                 K09                Kova{\v c} et al. (2009)
  UGC07827      7.23      8.08       8.6         -         -    -12.76      3.09                 K09                Kova{\v c} et al. (2009)
   NGC4288     14.59      8.75       8.4         -         -    -16.07      4.74                 K09                Kova{\v c} et al. (2009)
   NGC1705      4.20      8.05       5.1      10.0      0.42    -15.75      1.57                 L14                     Lelli et al. (2014)
   NGC2366     13.60      8.79       3.2      42.0      0.37    -16.24      7.54                 L14                     Lelli et al. (2014)
   NGC4068      6.20      8.17       4.3      24.0      0.72    -14.95      3.44                 L14                     Lelli et al. (2014)
   NGC4214     11.00      8.63       2.7      75.0      0.97    -16.95      3.78                 L14                     Lelli et al. (2014)
   NGC6789      2.00      7.26       3.6      82.0      0.73         -         -                 L14                     Lelli et al. (2014)
   UGC4483      2.80      7.46       3.2       0.0      0.53    -12.36      0.98                 L14                     Lelli et al. (2014)
     IZw18      6.60      8.32      18.2      55.0      0.34         -         -                 L14                     Lelli et al. (2014)
     IZw36      3.80      7.83       5.9      44.0      0.39         -         -                 L14                     Lelli et al. (2014)
SBS1415+43      8.60      8.30      13.6      23.0      0.41         -         -                 L14                     Lelli et al. (2014)
    NGC625      5.20      7.99       3.9      30.0      0.21         -         -                 L14                     Lelli et al. (2014)
   NGC1569      7.80      8.46       3.4      25.0      0.36    -18.61      3.34                 L14                     Lelli et al. (2014)
   NGC4163      2.20      7.18       3.0     -25.0      0.66    -13.77      1.45                 L14                     Lelli et al. (2014)
   NGC4449     17.80      9.48       4.2      60.0      0.54         -         -                 L14                     Lelli et al. (2014)
   NGC5253      6.20      8.14       3.5      40.0      0.37         -         -                 L14                     Lelli et al. (2014)
   UGC6456      3.60      7.65       4.3       0.0      0.42    -13.82      1.75                 L14                     Lelli et al. (2014)
   UGC9128      1.80      7.11       2.2       0.0      0.68    -11.50      1.25                 L14                     Lelli et al. (2014)
     VGS06     24.48      9.19      98.0     -85.5      0.53         -         -                 VGS                               this work
     VGS07     17.87      8.93      70.0     -17.9      0.75         -         -                 VGS                               this work
     VGS09     17.69      9.01      55.0     -78.2      0.86         -         -                 VGS                               this work
     VGS12     35.09      9.48      76.0     -84.0      0.67         -         -                 VGS                               this work
     VGS14     16.47      8.81      56.0     -84.1      0.86         -         -                 VGS                               this work
     VGS21     30.32      9.33      74.0     -63.2      0.43         -         -                 VGS                               this work
     VGS32     39.27      9.58      50.0     -44.3      0.76         -         -                 VGS                               this work
     VGS34     25.91      9.38      70.0     -46.1      0.55         -         -                 VGS                               this work
     VGS35     21.19      9.03      74.0      -3.7      0.59         -         -                 VGS                               this work
     VGS36     23.75      9.30      95.0     -83.8      0.64         -         -                 VGS                               this work
     VGS37     24.82      9.13      83.0     -80.0      0.35         -         -                 VGS                               this work
     VGS38     17.62      8.96      55.0     -57.5      0.21         -         -                 VGS                               this work
     VGS50     47.75      9.74      88.0     -14.2      0.21         -         -                 VGS                               this work
     VGS58     14.70      8.85      48.0     -70.1      0.87         -         -                 VGS                               this work
    UGC685      3.40      7.75       4.5     -76.1      0.79    -14.00      2.49               FIGGS                               this work
      KK14      2.84      7.34       7.2     -65.3      0.78         -         -               FIGGS                               this work
     KKH11      4.57      7.72       3.0     -29.7      0.44         -         -               FIGGS                               this work
      KK44      2.20      7.09       3.3     -60.7      0.64         -         -               FIGGS                               this work
   E490-17      2.74      7.48       4.2     -33.1      0.88         -         -               FIGGS                               this work
   UGC3755      4.73      7.62       7.0     -15.2      0.75    -14.67      3.36               FIGGS                               this work
   UGC4115      9.92      8.46       7.5     -21.7      0.56    -13.49      4.16               FIGGS                               this work
   UGC4459      3.72      7.81       3.6     -35.8      0.84    -13.43      1.55               FIGGS                               this work
   UGC6145      3.46      7.43       7.4     -53.2      0.67         -         -               FIGGS                               this work
   UGC6541      1.69      6.98       3.9     -32.5      0.71         -         -               FIGGS                               this work
     DDO99      4.22      7.72       2.6     -24.4      0.57    -12.08      3.15               FIGGS                               this work
   E379-07      3.06      7.50       5.2     -10.5      0.88         -         -               FIGGS                               this work
   UGC7242      4.20      7.66       5.4     -11.0      0.57    -14.14      2.98               FIGGS                               this work
   UGC7298      2.63      7.33       4.2     -46.2      0.98    -11.21      1.44               FIGGS                               this work
   UGC7505     12.43      8.65      12.8     -23.3      0.38         -         -               FIGGS                               this work
     KK144      5.59      7.91       6.3     -12.5      0.51         -         -               FIGGS                               this work
    DDO125      3.38      7.50       2.5     -61.6      0.77    -12.37      3.25               FIGGS                               this work
   UGC7605      2.58      7.35       4.4      -5.6      0.89    -12.99      1.59               FIGGS                               this work
       GR8      1.65      7.02       2.1     -30.5      0.89         -         -               FIGGS                               this work
   UGC8215      2.58      7.33       4.5     -37.9      0.74    -11.31      1.31               FIGGS                               this work
    DDO167      2.08      7.16       4.2     -25.4      0.72    -11.16      0.80               FIGGS                               this work
   UGC8638      2.12      7.14       4.3     -16.4      0.84         -         -               FIGGS                               this work
    DDO181      3.30      7.44       3.1     -10.5      0.62    -12.18      2.26               FIGGS                               this work
    DDO183      3.06      7.41       3.2     -57.2      0.51    -12.22      2.06               FIGGS                               this work
   UGC8833      1.99      7.18       3.2     -31.7      0.95    -11.07      0.89               FIGGS                               this work
    DDO187      1.95      7.21       2.5     -29.4      0.82    -11.78      1.42               FIGGS                               this work
    P51659      4.30      7.72       3.6     -54.5      0.47         -         -               FIGGS                               this work
