# A catalog of galaxies from the primary analysis sample in the paper "New Lessons from the  HI Size-mass Relation of Galaxies"
# Galaxies from the B97 sample are not included for a similar table is available in B97.
# The columns are 
# 1) galaxy name,
# 2) ${\rm D_{HI}}$ (kpc),
# 3) log ${\rm M_{HI}/M_{\odot}$,
# 4) the distance (Mpc),
# 5) the position angle (northern is 90 degree, counter-clock wise),
# 6) the axis ratio,
# 7) the B band magnitude,
# 8) the B band D$_{25}$ (kpc),
# 9) the sample name (Table 1 in the paper),
# 10) the reference paper for {\rm $D_{HI}$} and ${\rm M_{HI}}$r
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
    galaxy       DHI   log MHI       dis        PA       b/a       M_B       D25              sample                               reference
                 kpc      Msun       Mpc       deg                 mag       kpc                                                            
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
ESO154-G02     18.84      9.00       5.8     -60.1      0.29    -16.09     15.08               LVHIS                               this work
   NGC1313     21.31      9.34       4.1         -         -    -18.67     14.21               LVHIS                               this work
   NGC1311      5.56      7.94       5.2      40.0      0.29    -15.35      5.29               LVHIS                               this work
    IC1959      8.98      8.35       6.1     -29.7      0.34    -15.69      6.69               LVHIS                               this work
   NGC1705      4.79      7.88       5.1      50.0      0.71    -15.72      2.53               LVHIS                               this work
ESO252-IG0      6.10      8.09       7.2     -21.4      0.68    -14.01      3.14               LVHIS                               this work
ESO364-GQ0     10.57      8.48       7.6      52.0      0.72    -15.80      7.74               LVHIS                               this work
AM0605-341      6.41      8.09       7.4      -5.7      0.68    -15.07         -               LVHIS                               this work
   NGC2188     10.80      8.65       7.4     -87.2      0.58    -17.25     12.92               LVHIS                               this work
ESO121-G02      4.03      7.80       6.1     -33.5      0.85    -13.06      2.29               LVHIS                               this work
ESO308-G02      5.06      7.79       7.7     -77.2      0.80    -13.20      2.91               LVHIS                               this work
AM0704-582      8.83      8.27       4.9     -87.7      0.69   -127.45      4.94               LVHIS                               this work
ESO059-G00      6.10      7.92       4.6     -36.9      0.66    -14.56      2.79               LVHIS                               this work
   NGC2915     11.29      8.48       3.8     -76.9      0.59    -14.96      2.20               LVHIS                               this work
ESO376-G01      6.38      8.09       7.1      39.0      0.80    -13.82      2.07               LVHIS                               this work
ESO215-GQ0     16.23      8.86       5.2     -40.1      0.91    -12.57      3.05               LVHIS                               this work
   NGC3621     64.49      9.95       6.7     -12.9      0.26    -19.69     38.98               LVHIS                               this work
ESO379-G00      3.51      7.49       5.2      90.0      0.85    -11.99      1.97               LVHIS                               this work
ESO321-G01      2.27      7.09       3.2      20.0      0.42    -12.30      1.94               LVHIS                               this work
    IC3104      1.83      7.00       2.3     -50.5      0.78    -13.13      1.98               LVHIS                               this work
ESO381-G02      8.91      8.36       5.4     -43.4      0.50    -14.44      7.13               LVHIS                               this work
  J1247-77      1.89      7.00       3.2     -34.8      0.67    -10.01         -               LVHIS                               this work
   NGC4945     22.55      9.11       3.8     -41.7      0.30    -18.59     28.74               LVHIS                               this work
ESO269-G05      2.51      7.26       3.8      69.0      0.67    -15.40      3.32               LVHIS                               this work
   NGC5102     10.56      8.34       3.4     -45.1      0.36    -17.92     11.87               LVHIS                               this work
ESO324-G02      7.53      8.22       3.7     -36.9      0.52    -14.95      4.88               LVHIS                               this work
ESO270-G01     16.01      8.81       3.6     -71.0      0.18    -16.09     17.80               LVHIS                               this work
   NGC5236     58.09      9.91       4.9      -0.9      0.63    -20.24     25.76               LVHIS                               this work
  J1337-39      3.64      7.58       4.8     -81.4      0.70    -12.34      0.94               LVHIS                               this work
   NGC5237      1.93      7.47       3.4     -62.9      0.50    -14.40      1.88               LVHIS                               this work
ESO444-G08      5.02      7.92       4.6     -10.3      0.58    -13.31      2.15               LVHIS                               this work
   NGC5253      4.76      7.92       3.6     -71.1      0.73    -16.59      6.21               LVHIS                               this work
   NGC5264      4.50      7.70       4.5     -35.8      0.86    -15.70      4.61               LVHIS                               this work
ESO325-GQ0      4.80      7.86       3.4     -53.1      0.64    -13.64      3.96               LVHIS                               this work
ESO174-GQ0      7.70      8.20       3.6     -19.7      0.71    -13.34      3.14               LVHIS                               this work
ESO383-G08      5.25      7.85       3.5     -70.0      0.64    -16.69      6.02               LVHIS                               this work
   NGC5408     10.57      8.44       4.8     -60.0      0.54    -15.82      3.64               LVHIS                               this work
  Circinus     59.52      9.83       4.2     -64.9      0.67    -17.23      8.55               LVHIS                               this work
UKS1424-46      4.51      7.70       3.6     -54.0      0.54   -126.77         -               LVHIS                               this work
ESO223-G00     17.74      8.97       6.5     -17.0      0.76    -16.78      7.55               LVHIS                               this work
ESO274-G00     10.94      8.48       3.1     -54.1      0.22    -15.45     13.48               LVHIS                               this work
  J1526-51      3.94      7.58       5.7     -42.5      0.83   -127.78         -               LVHIS                               this work
ESO137-G01      9.86      8.62       6.4     -60.7      0.56    -16.80      7.45               LVHIS                               this work
    IC4662      7.06      8.15       2.4      -8.9      0.82    -14.61      2.13               LVHIS                               this work
ESO461-G03      6.24      8.04       7.8      22.0      0.50    -12.41      2.73               LVHIS                               this work
    IC5052     16.22      8.88       6.0     -57.7      0.33    -17.32     11.40               LVHIS                               this work
    IC5152      5.12      7.95       2.0     -85.4      0.70    -15.44      3.44               LVHIS                               this work
   UGCA442      8.45      8.35       4.3     -46.1      0.38    -14.69      6.21               LVHIS                               this work
   NGC7793     15.56      8.95       3.9     -53.2      0.72    -18.24     15.92               LVHIS                               this work
 Bluedisk1     69.11     10.09     121.0     -18.1      0.73    -20.12     43.13            Bluedisk                               this work
 Bluedisk2     51.41      9.94     106.7      21.4      0.41    -19.92     53.41            Bluedisk                               this work
 Bluedisk3     50.56      9.89     127.6     -13.9      0.67    -20.35     34.46            Bluedisk                               this work
 Bluedisk4     68.12     10.26     112.0      19.2      0.39    -20.56     53.55            Bluedisk                               this work
 Bluedisk5     77.91     10.20     110.1     -23.8      0.85    -20.46     30.32            Bluedisk                               this work
 Bluedisk6     87.69     10.31     109.4     -32.2      0.54    -20.56     52.97            Bluedisk                               this work
 Bluedisk8     73.29     10.20     116.9     -38.6      0.73    -20.04     41.96            Bluedisk                               this work
 Bluedisk9     47.82      9.91     120.2      14.5      0.46    -20.59     53.68            Bluedisk                               this work
Bluedisk10     57.02     10.02     128.6      -5.9      0.86    -21.15     49.90            Bluedisk                               this work
Bluedisk11     39.76      9.71     104.9      -6.3      0.57    -20.43     42.12            Bluedisk                               this work
Bluedisk12     70.52     10.12     111.5     -84.3      0.43    -20.03     57.79            Bluedisk                               this work
Bluedisk14     75.22     10.14     103.7      69.4      0.50    -20.41     53.99            Bluedisk                               this work
Bluedisk15     98.59     10.39      92.8     -64.7      0.64    -20.78     60.82            Bluedisk                               this work
Bluedisk16     50.34     10.00     119.0     -74.5      0.69    -20.62     35.04            Bluedisk                               this work
Bluedisk17    104.97     10.34     120.5     -74.8      0.67    -20.39     40.92            Bluedisk                               this work
Bluedisk18     56.03     10.07     101.0      -6.8      0.47    -20.41     34.71            Bluedisk                               this work
