# CIG: AMIGA/CIG galaxy identifier,logd25: logarithm of the optical D25 diameter,E_logd25: uncertainty on logd25,PHYS_DISTANCE_decimal: uncertainty/decimal companion field from RESULTS_OPT
CIG,logd25,E_logd25,PHYS_DISTANCE_decimal
859,0.654,0.145,105.653
860,0.838,0.056,113.522
861,0.990,0.042,91.285
862,1.011,0.041,65.205
863,0.826,0.058,176.107
864,0.903,0.054,155.107
865,0.496,0.255,105.335
866,0.942,0.051,111.349
867,0.997,0.045,146.781
868,1.001,0.042,111.766
869,0.557,0.239,
870,0.747,0.065,85.485
871,0.801,0.058,181.541
872,0.812,0.061,91.318
873,0.856,0.056,213.137
874,0.596,0.216,150.949
875,0.911,0.050,68.260
876,0.614,0.214,83.821
877,0.618,0.213,117.096
878,0.843,0.058,
879,1.089,0.039,54.007
880,1.094,0.044,83.007
881,0.970,0.115,130.172
882,1.007,0.042,86.095
883,0.989,0.045,131.394
884,1.115,0.055,108.034
885,0.975,0.052,
886,1.103,0.067,55.122
887,0.951,0.052,
888,0.860,0.066,113.331
889,1.084,0.060,63.302
890,1.315,0.037,67.303
891,0.696,0.189,123.329
892,0.957,0.046,121.816
893,0.706,0.069,213.995
894,0.715,0.184,69.008
895,0.639,0.086,65.653
896,0.744,0.067,137.772
897,1.305,0.034,67.861
898,0.800,0.063,200.560
899,0.616,0.213,
900,0.738,0.063,186.168
901,0.780,0.062,69.895
902,0.981,0.105,118.073
903,0.530,0.201,70.624
904,0.938,0.049,68.731
905,0.732,0.065,257.034
906,1.197,0.030,65.739
907,0.895,0.099,71.289
908,0.800,0.063,
909,1.001,0.122,190.172
910,1.169,0.034,67.934
911,1.040,0.044,73.327
912,0.790,0.065,69.464
913,0.981,0.042,60.885
914,1.031,0.081,119.557
915,0.867,0.055,121.842
916,0.958,0.047,55.896
917,0.893,0.053,101.216
918,0.750,0.071,110.874
919,0.994,0.045,114.850
920,0.717,0.184,66.832
921,0.586,0.083,109.788
922,1.135,0.050,54.948
923,1.121,0.079,79.901
924,1.163,0.030,61.025
925,0.993,0.047,105.622
926,0.725,0.066,253.323
927,0.756,0.179,111.136
928,0.666,0.205,94.299
929,1.034,0.040,146.241
930,1.226,0.023,63.466
931,0.902,0.058,63.760
932,1.078,0.039,113.284
933,0.800,0.070,20.728
934,0.722,0.073,71.937
935,1.145,0.038,53.697
936,1.141,0.042,40.607
937,0.897,0.049,65.384
938,0.951,0.059,24.034
939,0.949,0.045,82.167
940,0.965,0.054,107.399
941,0.887,0.145,65.795
942,0.681,0.071,264.783
943,0.767,0.065,131.202
944,0.557,0.239,83.311
