galaxy,group,phase,hyperleda_resolved,logd25,e_logd25,D25_arcmin,single_object,ledacat_url
HCG15b,HCG15,3c,UGC01617,0.98,0.04,0.955,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG15b
HCG15c,HCG15,3c,UGC01620,0.93,0.05,0.851,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG15c
HCG15d,HCG15,3c,UGC01618,0.96,0.05,0.912,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG15d
HCG15e,HCG15,3c,PGC008096,0.85,0.05,0.708,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG15e
NGC1188,HCG22,3c,NGC1188,1.08,0.04,1.202,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=NGC1188
HCG22a,HCG22,3c,NGC1199,1.41,0.04,2.57,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG22a
HCG22b,HCG22,3c,NGC1190,0.88,0.07,0.759,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG22b
HCG33a,HCG33,3c,PGC016867,0.96,0.05,0.912,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG33a
HCG33b,HCG33,3c,PGC016866,1.01,0.05,1.023,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG33b
HCG33d,HCG33,3c,PGC016871,0.76,0.07,0.575,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG33d
HCG56b,HCG56,3c,PGC035620,0.88,0.1,0.759,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG56b
HCG56c,HCG56,3c,PGC035618,0.91,0.13,0.813,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG56c
HCG56d,HCG56,3c,PGC035615,0.68,0.17,0.479,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG56d
HCG56e,HCG56,3c,PGC035609,0.64,0.08,0.437,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG56e
HCG68a,HCG68,3c,NGC5353,1.38,0.03,2.399,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG68a
HCG68b,HCG68,3c,NGC5354,1.48,0.04,3.02,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG68b
HCG68d,HCG68,3c,NGC5355,1.06,0.04,1.148,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG68d
HCG68e,HCG68,3c,NGC5358,1.05,0.04,1.122,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG68e
HCG90b,HCG90,3c,NGC7176,1.06,0.07,1.148,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG90b
HCG90c,HCG90,3c,NGC7173,1.27,0.04,1.862,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG90c
HCG90d,HCG90,3c,NGC7174,1.4,0.03,2.512,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG90d
HCG93a,HCG93,3c,NGC7550,1.16,0.06,1.445,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG93a
HCG93c,HCG93,3c,NGC7547,1.02,0.08,1.047,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG93c
HCG93d,HCG93,3c,NGC7553,0.84,0.05,0.692,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG93d
