reynolds_object,environment,distance_mpc,reynolds_lgMHI,reynolds_diameter_hi_arcsec,reynolds_diameter_r_arcsec,reynolds_diameter_hi_kpc,reynolds_diameter_r_kpc,reynolds_ra_deg,reynolds_dec_deg,match_status,query_radius_arcsec,match_count,match_index,separation_arcsec,pgc,hyperleda_objname,hyperleda_anames,hyperleda_otype,hyperleda_mtype,hyperleda_logd25,hyperleda_logr25,hyperleda_ra_deg,hyperleda_dec_deg,hyperleda_d25_arcmin,hyperleda_d25_kpc
J102934-261937,infall,58.68096713422255,8.996284578322841,70.06377615546745,28.322994139092327,19.93267887374455,8.057703679355873,157.39166666666665,-26.326944444444443,matched,15.0,1,0.0,12.745251577403664,30912.0,ESO500-46             ESO-LV5000460,ESO500-46             ESO-LV5000460,G,Sbc,0.7900000214576721,0.1899999976158142,157.395417,-26.328056,0.6165950323262803,10.52503143470391
J103002-284116,infall,57.22391258250687,8.874228612587725,58.613401981795015,33.963301087338465,16.261078427269457,9.422416784504536,157.50833333333333,-28.68777777777778,matched,15.0,1,0.0,6.14103382427172,738653.0,,,G,,0.8700000047683716,0.4000000059604645,157.50875,-28.689444,0.7413102494401937,12.339673553324614
J103114-295837,infall,62.51513708277941,8.921782798755457,60.7842716260019,19.977566025350388,18.422614804312506,6.05483941433483,157.80833333333337,-29.97694444444444,matched,15.0,1,0.0,3.2696131620925826,722930.0,,,G,,0.7799999713897705,0.2899999916553497,157.807917,-29.977778,0.6025595463792472,10.957494880821327
J103124-295706,infall,61.15792597673727,9.763290423333302,148.75227789549788,40.16605875628056,44.10534674299037,11.909316440785044,157.85,-29.951666666666664,matched,30.0,1,0.0,20.00983204357629,31055.0,ESO436-31             ESO-LV4360310,ESO436-31             ESO-LV4360310,G,SBcd,1.100000023841858,0.1099999994039535,157.854583,-29.955556,1.2589254809065389,22.396434788572467
J103502-293019,infall,55.79431339767263,9.026600517124203,74.12658549591897,33.368802994086494,20.051127565136422,9.026209976543042,158.75833333333335,-29.505277777777778,matched,15.0,1,0.0,11.184596060898174,728536.0,,,G,,0.9300000071525574,0.2800000011920929,158.761667,-29.506389,0.8511380522200857,13.81389217897776
J103603-245430,infall,58.80761933749983,9.19051161766462,83.08867904135327,19.06813065546349,23.68919592839357,5.436464850532365,159.0125,-24.90833333333333,matched,15.0,1,0.0,8.102633639670117,784823.0,,,G,,0.6899999976158142,0.6499999761581421,159.01125,-24.906389,0.489778816679663,8.378373432168836
J103621-252235,infall,59.820660073908,9.179394886743204,77.1032643517322,44.40027992026435,22.361391898568588,12.876913423197646,159.0875,-25.37638888888889,matched,15.0,1,0.0,8.19300277416842,31440.0,ESO501-32             MCG-4-25-030          ESO-LV5010320         IRAS10339-2506,ESO501-32             MCG-4-25-030          ESO-LV5010320         IRAS10339-2506,G,SBb,0.9700000286102296,0.1599999964237213,159.09,-25.376667,0.933254362277442,16.23967548823949
J103644-251543,infall,54.61033701240137,8.98993141318239,70.95540653570598,41.97295689771679,18.786038851072284,11.112692287628576,159.18333333333334,-25.261944444444445,matched,15.0,1,0.0,6.857015999179171,31482.0,ESO501-37             MCG-4-25-035          ESO-LV5010370,ESO501-37             MCG-4-25-035          ESO-LV5010370,G,SBb,0.9399999976158142,0.1500000059604644,159.185417,-25.262222,0.8709635851746729,13.835694739394096
J103646-293253,infall,53.13628513036056,9.207134262949191,100.83684830413104,33.862180814799515,25.976780143077118,8.723303444968288,159.19166666666666,-29.54805555555556,matched,15.0,1,0.0,10.62906226390185,31484.0,ESO437-10             ESO-LV4370100,ESO437-10             ESO-LV4370100,G,Sbc,0.959999978542328,0.3700000047683716,159.195,-29.548611,0.9120107942951736,14.09669438699521
J103704-252038,infall,55.3262633315526,9.146653542103076,85.14304192783604,48.07164891978213,22.83785801493314,12.894224445306952,159.26666666666668,-25.343888888888888,matched,15.0,1,0.0,7.066602512969424,31514.0,ESO501-44             ESO-LV5010440,ESO501-44             ESO-LV5010440,G,Sbc,1.0199999809265137,0.5699999928474426,159.26875,-25.344444,1.0471285020627683,16.852232322472943
