reynolds_object,environment,distance_mpc,reynolds_lgMHI,reynolds_diameter_hi_arcsec,reynolds_diameter_r_arcsec,reynolds_diameter_hi_kpc,reynolds_diameter_r_kpc,reynolds_ra_deg,reynolds_dec_deg,match_status,query_radius_arcsec,match_count,match_index,separation_arcsec,pgc,hyperleda_objname,hyperleda_anames,hyperleda_otype,hyperleda_mtype,hyperleda_logd25,hyperleda_logr25,hyperleda_ra_deg,hyperleda_dec_deg,hyperleda_d25_arcmin,hyperleda_d25_kpc
J103541-265827,cluster,56.29450509315895,8.795552372296811,54.64976407160291,25.068588100851738,14.91520283001305,6.8418058620776865,158.92083333333332,-26.974166666666665,matched,15.0,1,0.0,6.0000000952969135,761496.0,,,G,,0.8100000023841858,0.1899999976158142,158.920833,-26.9725,0.6456542325791621,10.572851320299028
J103546-273840,cluster,56.29450509315895,9.002339703191712,80.76991383144001,12.588672495226849,22.044004540992884,3.4357440844741007,158.9416666666667,-27.64444444444445,matched,15.0,1,0.0,13.927247562105892,751896.0,,,G,,0.6499999761581421,0.1199999973177909,158.945,-27.646944,0.4466835676289697,7.3146255525906305
J103602-261141,cluster,56.29450509315895,8.737198700671867,54.2691548661332,14.565729237188869,14.811325647833216,3.9753292558606126,159.00833333333333,-26.19472222222222,matched,15.0,1,0.0,6.163038829759863,770447.0,,,G,,0.5699999928474426,0.0900000035762786,159.01,-26.193889,0.3715352229782207,6.084040767627508
J103645-281010,cluster,56.29450509315895,9.229529685440212,91.55064048339348,25.976512566522302,24.986317786080917,7.0895997508502875,159.18749999999997,-28.169444444444444,matched,15.0,1,0.0,8.926993232817384,744989.0,,,G,,0.8100000023841858,0.1299999952316284,159.189583,-28.167778,0.6456542325791621,10.572851320299028
J103650-260923,cluster,56.29450509315895,9.28297435318582,90.11922130448842,22.59772149947422,24.595649907621887,6.167448394089997,159.20833333333334,-26.156388888888888,matched,15.0,1,0.0,11.876103196677192,155460.0,,,G,,,,159.211667,-26.155,,
J103653-270311,cluster,56.29450509315895,9.340806300701718,113.95170473636472,40.91520013235548,31.10009380354838,11.166718085097115,159.22083333333333,-27.05305555555556,matched,15.0,1,0.0,1.66822563055226,31494.0,ESO501-41             MCG-4-25-037          ESO-LV5010410,ESO501-41             MCG-4-25-037          ESO-LV5010410,G,SBbc,0.9100000262260436,0.209999993443489,159.22125,-27.052778,0.8128305652490639,13.310431932960787
J103655-265412,cluster,56.29450509315895,9.383523502199424,107.22727981564805,32.89828293482826,29.264840471507014,8.978713285737491,159.22916666666666,-26.90333333333333,matched,15.0,1,0.0,14.849453862405056,762452.0,,,G,,0.959999978542328,0.5600000023841858,159.23375,-26.902778,0.9120107942951736,14.93454862376116
J103702-273359,cluster,56.29450509315895,9.61861940902824,154.74649699494574,185.6772645318201,42.2339497548342,50.67568192582787,159.25833333333335,-27.56638888888889,matched,15.0,1,0.0,9.656124291650736,31513.0,NGC3312               IC629                 ESO501-43             MCG-4-25-039          ESO-LV5010430         IRAS10346-2718,NGC3312               IC629                 ESO501-43             MCG-4-25-039          ESO-LV5010430         IRAS10346-2718,G,Sb,1.5199999809265137,0.4799999892711639,159.260417,-27.564444,3.311311069398672,54.22406892952575
J103722-273235,cluster,56.29450509315895,8.775813094654772,48.72536870082058,23.35896869483151,13.298296332765714,6.375210614392654,159.34166666666667,-27.54305555555556,matched,15.0,2,0.0,6.14462631191705,753354.0,,,G,,0.5600000023841858,0.449999988079071,159.342083,-27.544722,0.3630780567633239,5.945551222497489
J103737-261641,cluster,56.29450509315895,8.904516935140224,66.61862052430766,52.686161829639126,18.18178457410814,14.379289707350978,159.4041666666667,-26.278055555555557,matched,30.0,1,0.0,15.326504713982857,31574.0,ESO501-53             MCG-4-25-048          ESO-LV5010530         IRAS10352-2600,ESO501-53             MCG-4-25-048          ESO-LV5010530         IRAS10352-2600,G,Sbc,1.0299999713897705,0.5299999713897705,159.40875,-26.276944,1.0715192346486089,17.546564373201605
J103738-281216,cluster,56.29450509315895,8.685792607789313,46.58965170625,8.377976053512075,12.715409055891294,2.286546232466832,159.40833333333333,-28.204444444444444,matched,15.0,1,0.0,13.6237058120664,744507.0,,,G,,0.5099999904632568,0.0399999991059303,159.41125,-28.207222,0.3235936498237826,5.298977959321721
J103749-270715,cluster,56.29450509315895,9.180289147873117,85.0992664949816,54.56070498620586,23.22558645989697,14.890896516067906,159.45416666666665,-27.120833333333334,matched,15.0,1,0.0,8.95380195109862,31588.0,ESO501-59             MCG-4-25-050          ESO-LV5010590         HCG48B                IRAS10354-2651,ESO501-59             MCG-4-25-050          ESO-LV5010590         HCG48B                IRAS10354-2651,GM,S?,1.0,0.0599999986588954,159.456667,-27.121944,1.0,16.375407744272344
J103804-284333,cluster,56.29450509315895,8.992435282090915,67.68175090245431,20.553666735507925,18.471937797899372,5.609577890563824,159.51666666666665,-28.72583333333333,matched,15.0,1,0.0,13.490899263230247,738191.0,,,G,,0.8199999928474426,0.2399999946355819,159.520833,-28.726667,0.66069343712639,10.8191244269094
J103812-275607,cluster,56.29450509315895,8.524155714326426,32.818913966116845,16.850481226556784,8.957051631989295,4.598891679534563,159.55,-27.935277777777777,matched,15.0,1,0.0,8.109190612105332,747838.0,,,G,,0.4900000095367431,0.2599999904632568,159.549583,-27.9375,0.3090295500373892,5.0604848868912615
J103828-283056,cluster,56.29450509315895,8.98082626621183,64.16082832919894,22.4637042500348,17.510995418348216,6.130871942351059,159.61666666666665,-28.515555555555554,matched,15.0,1,0.0,10.59150177524791,740766.0,,,G,,0.7300000190734863,0.2300000041723251,159.62,-28.515278,0.5370318199557904,8.794115023424721
J103833-274357,cluster,56.29450509315895,9.394731343399409,96.0404246329968,69.4886603195275,26.211685221639677,18.96508577225835,159.6375,-27.7325,matched,30.0,1,0.0,17.871934756458717,31638.0,ESO501-65             MCG-4-25-052          ESO-LV5010650         IRAS10361-2728,ESO501-65             MCG-4-25-052          ESO-LV5010650         IRAS10361-2728,G,SBc,1.159999966621399,0.209999993443489,159.64,-27.736944,1.4454396596536672,23.669663796571044
J103840-283405,cluster,56.29450509315895,9.073685454336529,82.87235937162491,63.8277649658086,22.617811257337124,17.42009461201162,159.66666666666666,-28.56805555555556,matched,15.0,1,0.0,7.968209105078942,31642.0,ESO437-25             MCG-5-25-029          ESO-LV4370250         IRAS10363-2818,ESO437-25             MCG-5-25-029          ESO-LV4370250         IRAS10363-2818,G,SBc,1.1100000143051147,0.4900000095367431,159.669167,-28.567778,1.288249594126457,21.09561238021409
J103842-281535,cluster,56.29450509315895,8.826742966731254,62.87505533268341,37.32729912101456,17.160077800272937,10.187495718317203,159.67499999999998,-28.259722222222223,matched,15.0,1,0.0,13.25098283765904,31645.0,ESO437-26             ESO-LV4370260         FGCE831,ESO437-26             ESO-LV4370260         FGCE831,G,Scd,1.0099999904632568,0.800000011920929,159.679167,-28.26,1.0232929698100972,16.756839622487714
J103914-271511,cluster,56.29450509315895,8.596035687661658,42.94995505107264,27.783340268393097,11.72205044265807,7.582725423213302,159.80833333333334,-27.253055555555555,matched,15.0,1,0.0,9.999702112071963,757698.0,,,G,,0.7799999713897705,0.5799999833106995,159.810833,-27.251389,0.6025595463792472,9.867158262163958
J103918-265030,cluster,56.29450509315895,9.439103732101875,118.33288488340668,112.20040593182974,32.295820658697096,30.622123270109764,159.82500000000002,-26.841666666666665,matched,15.0,1,0.0,6.569588159901134,31683.0,ESO501-68             MCG-4-25-053          ESO-LV5010680,ESO501-68             MCG-4-25-053          ESO-LV5010680,G,Sbc,1.2999999523162842,0.4900000095367431,159.825833,-26.84,1.9952620958974432,32.673230377012054
J103924-275442,cluster,56.29450509315895,9.144998268269038,79.01235247738954,50.681909883485375,21.56432481085702,13.83228232667566,159.85,-27.911666666666665,matched,15.0,1,0.0,12.095876176460887,31692.0,ESO437-32             MCG-5-25-032          ESO-LV4370320         [RC2]A1037-27,ESO437-32             MCG-5-25-032          ESO-LV4370320         [RC2]A1037-27,G,SBbc,1.0,0.0700000002980232,159.85375,-27.912222,1.0,16.375407744272344
J103927-271653,cluster,56.29450509315895,8.83264552439821,61.3597738943792,18.521747827783745,16.746521943613622,5.055019546942491,159.8625,-27.281388888888888,matched,15.0,1,0.0,2.846801615630039,757283.0,,,G,,0.6100000143051147,0.1299999952316284,159.863333,-27.281111,0.4073802912227076,6.671018375752248
J103939-280552,cluster,56.29450509315895,8.993511702110045,73.11997419880957,18.206814790780243,19.956156529269673,4.969066932057919,159.91250000000002,-28.09777777777777,matched,15.0,1,0.0,4.212377860910359,745884.0,,,G,,0.6800000071525574,0.2199999988079071,159.912083,-28.096667,0.4786301002053754,7.837763049544955
J104016-274630,cluster,56.29450509315895,10.017430156990525,197.33858363201225,106.04957929234476,53.8583295108565,28.943418367011446,160.06666666666666,-27.775,matched,15.0,1,0.0,8.91197956531341,31754.0,NGC3336               ESO437-36             MCG-5-25-036          ESO-LV4370360         IRAS10379-2730,NGC3336               ESO437-36             MCG-5-25-036          ESO-LV4370360         IRAS10379-2730,G,SBc,1.2999999523162842,0.1000000014901161,160.069167,-27.776111,1.9952620958974432,32.673230377012054
J104058-274546,cluster,56.29450509315895,9.053490452143524,78.5086934375549,18.40479932692082,21.426864441834002,5.023101557163962,160.24166666666667,-27.762777777777774,matched,15.0,1,0.0,8.027734294405894,750199.0,,,G,,0.8500000238418579,0.550000011920929,160.244167,-27.763056,0.7079458232488807,11.59290151655498
J104059-270456,cluster,56.29450509315895,9.736084828294391,167.2940461335711,109.77653935710472,45.65847031043893,29.960593212129183,160.24583333333334,-27.08222222222222,matched,15.0,1,0.0,3.9988001427301514,31805.0,ESO501-75             MCG-4-25-057          ESO-LV5010750         IRAS10386-2649,ESO501-75             MCG-4-25-057          ESO-LV5010750         IRAS10386-2649,G,Sc,1.340000033378601,0.2899999916553497,160.245833,-27.083333,2.1877617920945056,35.82549139288751
J104139-274639,cluster,56.29450509315895,8.94152253477528,63.390170908747045,24.688936296991915,17.300664926830734,6.738189977260134,160.41250000000002,-27.7775,matched,15.0,1,0.0,5.403148520655511,31852.0,ESO437-43             ESO-LV4370430         TOL11,ESO437-43             ESO-LV4370430         TOL11,G,Sbc,0.7200000286102295,0.3899999856948852,160.414167,-27.777222,0.5248074948227709,8.59393671497297
J100342-270137,field,14.167803856409025,9.42658418957133,425.4534492979854,88.35558643870607,29.223313125291693,6.0689200501901075,150.925,-27.02694444444444,matched,15.0,1,0.0,1.3372593031724769,29166.0,ESO499-37             MCG-4-24-014          UGCA196               ESO-LV4990370,ESO499-37             MCG-4-24-014          UGCA196               ESO-LV4990370,G,SBc,1.5199999809265137,0.4600000083446502,150.924583,-27.026944,3.311311069398672,13.646731090691866
J100351-263707,field,12.928348391665724,8.618140173691765,151.42597978149087,27.80408283983452,9.491138395268546,1.7427154743669482,150.9625,-26.61861111111111,matched,30.0,1,0.0,22.48797648274405,29176.0,ESO499-38             ESO-LV4990380,ESO499-38             ESO-LV4990380,G,Sbc,0.959999978542328,0.25,150.96,-26.612778,0.9120107942951736,3.429802737598268
J100351-273417,field,41.515810731309855,9.86906779274754,248.01935001996347,126.26636559108633,49.91992856404336,25.414178167312578,150.9625,-27.57138888888889,matched,30.0,1,0.0,23.954668999932156,29179.0,IC2537                ESO499-39             MCG-4-24-015          UGCA197               ESO-LV4990390,IC2537                ESO499-39             MCG-4-24-015          UGCA197               ESO-LV4990390,G,SBc,1.4199999570846558,0.1599999964237213,150.97,-27.571111,2.630267731982223,31.764322567805817
J100426-282638,field,16.034348798579703,9.391309570217162,332.74018992263547,149.9342082816285,25.866129862860685,11.65539306568142,151.10833333333332,-28.44388888888889,matched,15.0,1,0.0,1.0012005559968296,29216.0,NGC3113               ESO435-35             MCG-5-24-021          UGCA198               ESO-LV4350350         IRASF10021-2812,NGC3113               ESO435-35             MCG-5-24-021          UGCA198               ESO-LV4350350         IRASF10021-2812,G,SBcd,1.5399999618530271,0.4900000095367431,151.108333,-28.444167,3.4673681999632944,16.172509157392206
J100634-295615,field,16.53494107800979,8.86908197346205,150.44097507991555,59.27130936471042,12.059898651274448,4.751404884786413,151.64166666666665,-29.9375,matched,30.0,1,0.0,15.810334157787448,29366.0,NGC3125               ESO435-41             MCG-5-24-022          ESO-LV4350410         TOL3                  IRAS10042-2941,NGC3125               ESO435-41             MCG-5-24-022          ESO-LV4350410         TOL3                  IRAS10042-2941,G,E,1.0800000429153442,0.1299999952316284,151.6375,-29.935,1.20226455342066,5.782675361644311
J100640-273917,field,63.7167962773769,9.38936738729788,101.1159221089752,37.00036979888532,31.23549153459804,11.429700817884305,151.66666666666666,-27.654722222222222,matched,15.0,1,0.0,1.6620647366590018,29378.0,ESO499-42             ESO-LV4990420,ESO499-42             ESO-LV4990420,G,Sbc,0.949999988079071,0.3100000023841858,151.667083,-27.655,0.8912509136698405,16.51885862592519
J100656-251731,field,43.03620755741432,8.944771977186981,88.45264138938784,32.61258653845729,18.455238695810323,6.804466883079536,151.73333333333335,-25.291944444444447,matched,15.0,1,0.0,2.8914996562919977,29394.0,ESO499-43             ESO-LV4990430,ESO499-43             ESO-LV4990430,G,Sbc,0.8700000047683716,0.1000000014901161,151.734167,-25.291667,0.7413102494401937,9.280259392713305
J100713-262336,field,68.68950826528538,9.444823247658126,100.18121745953022,23.072439607641112,33.36196169340267,7.683494629863314,151.80416666666667,-26.39333333333333,matched,15.0,1,0.0,12.73851604414178,768336.0,,,G,,0.7699999809265137,0.4199999868869781,151.807917,-26.392222,0.5888436294945624,11.765665725835897
J100808-260942,field,45.8001476402172,9.046581229287328,88.3778258859561,28.845564232160243,19.62388808515015,6.405024321093581,152.03333333333333,-26.161666666666665,matched,15.0,1,0.0,10.817877450277464,29470.0,ESO500-3              ESO-LV5000030,ESO500-3              ESO-LV5000030,G,Sbc,0.8399999737739563,0.2399999946355819,152.036667,-26.161944,0.6918309291408585,9.217071765144912
J100830-262140,field,62.60335668020301,8.979679744057073,61.45120194895436,28.777560954017027,18.65103205938571,8.73426710823564,152.125,-26.361111111111114,matched,15.0,1,0.0,7.999600000012303,768685.0,,,G,,0.8100000023841858,0.6100000143051147,152.125,-26.358889,0.6456542325791621,11.75773694494866
J100938-255850,field,45.87997677547476,9.392064437192056,112.9910083835964,44.18937128138662,25.132861658748695,9.829148098508393,152.40833333333333,-25.980555555555554,matched,15.0,1,0.0,8.332861623756868,29553.0,ESO500-4              ESO-LV5000040,ESO500-4              ESO-LV5000040,G,Sbc,0.9300000071525574,0.25,152.410833,-25.981111,0.8511380522200857,11.359241000658129
J101018-285748,field,61.86546495145328,9.010271162546092,64.79877236628718,24.97739170816181,19.435240813313357,7.49152499359913,152.575,-28.96333333333333,matched,15.0,1,0.0,0.0012000000085614,29602.0,TOL4,TOL4,G,,0.7400000095367432,0.1099999994039535,152.575,-28.963333,0.5495408859250821,9.8895016661818
J101025-275214,field,35.982297062755705,8.71346271193429,85.00643830178312,28.550905198353185,14.829126552773873,4.9806225838984215,152.60416666666666,-27.870555555555555,matched,15.0,1,0.0,5.396296650105486,748738.0,,,G,,0.8199999928474426,0.270000010728836,152.605833,-27.870278,0.66069343712639,6.915363203633155
J101035-254920,field,37.333343641042426,9.450546699548193,165.8849186256641,66.39133020557419,30.024698757864122,12.016642055656128,152.64583333333334,-25.822222222222223,matched,15.0,1,0.0,4.82522140339586,29623.0,ESO500-6              MCG-4-24-019          UGCA204               ESO-LV5000060         DDO237                [RC2]A1008-25,ESO500-6              MCG-4-24-019          UGCA204               ESO-LV5000060         DDO237                [RC2]A1008-25,G,SBd,1.2300000190734863,0.0799999982118606,152.645,-25.823333,1.698243727045763,18.44263724915601
J101049-302538,field,40.35082103485434,9.475666627545197,184.59732629029813,64.95227908621823,36.11209208287945,12.706374087270154,152.70416666666665,-30.427222222222223,matched,30.0,1,0.0,21.72306859155624,29641.0,ESO435-50             ESO-LV4350500         FGCE800,ESO435-50             ESO-LV4350500         FGCE800,G,Sc,1.2799999713897705,1.0499999523162842,152.71,-30.423889,1.9054605924362855,22.3654924230526
J101334-273518,field,37.873163698177336,8.934351461956048,95.33558540901797,24.022388335810756,17.504974785334383,4.410853516006219,153.39166666666665,-27.58833333333333,matched,15.0,1,0.0,12.13210901208255,29806.0,ESO500-13             ESO-LV5000130,ESO500-13             ESO-LV5000130,G,SBcd,0.8799999952316284,0.1500000059604644,153.395417,-27.588889,0.7585775667003197,8.357140382055075
J101348-273147,field,38.61720757516743,8.785625759913088,88.39252748259558,24.978866416163065,16.548982077921192,4.676580978287597,153.45000000000002,-27.529722222222222,matched,15.0,1,0.0,9.524658239037493,29821.0,ESO500-14             ESO-LV5000140,ESO500-14             ESO-LV5000140,G,Sbc,0.8700000047683716,0.3499999940395355,153.452917,-27.530278,0.7413102494401937,8.327353260430709
J101359-253824,field,47.44950163077803,9.52331768592894,161.46549008902713,39.99571836931616,37.14379187943274,9.200682067475682,153.49583333333334,-25.64,matched,15.0,1,0.0,5.409183923358213,29836.0,ESO500-15             ESO-LV5000150,ESO500-15             ESO-LV5000150,G,Sbc,1.059999942779541,0.4199999868869781,153.4975,-25.64,1.14815347022194,15.847388882933972
J101434-274133,field,37.39517269397944,9.6527096923645,224.3248428384643,73.97534445571165,40.66940158198829,13.411501609751197,153.64166666666665,-27.6925,matched,15.0,1,0.0,9.767888728536557,29883.0,NGC3173               ESO500-16             MCG-4-24-022          ESO-LV5000160         IRAS10122-2726,NGC3173               ESO500-16             MCG-4-24-022          ESO-LV5000160         IRAS10122-2726,G,Sc,1.2799999713897705,0.050000000745058,153.644583,-27.693333,1.9054605924362855,20.72724742883189
J101448-285723,field,62.247257401713945,9.299281697644462,96.40893046356678,75.89616633004204,29.094597471952692,22.90418946065806,153.7,-28.95638888888889,matched,15.0,1,0.0,9.823966790467765,29903.0,ESO436-4              MCG-5-24-029          ESO-LV4360040,ESO436-4              MCG-5-24-029          ESO-LV4360040,G,Sab,1.1799999475479126,0.7200000286102295,153.70125,-28.958889,1.5135610656352625,27.406039923149592
J101606-274758,field,36.802943094193495,8.516022414028852,59.74947880292447,30.531636527543395,10.66084276954884,5.447628716406859,154.025,-27.799444444444447,matched,15.0,1,0.0,10.613964608002291,29978.0,ESO436-6              ESO-LV4360060,ESO436-6              ESO-LV4360060,G,,0.8700000047683716,0.1800000071525573,154.028333,-27.799444,0.7413102494401937,7.936128151481168
