catID,distance_mpc,log_smass,esmass,log_himass,match_count,match_index,separation_arcsec,pgc,hyperleda_objname,hyperleda_anames,hyperleda_otype,hyperleda_mtype,hyperleda_logd25,hyperleda_logr25,hyperleda_ra_deg,hyperleda_dec_deg,query_radius_arcsec,match_status,resolved_via,resolved_ra_deg,resolved_dec_deg,hyperleda_d25_arcmin,hyperleda_d25_kpc
AGC249267,95.59,8.375,0.399,9.4,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC257875,95.29,9.396,0.22,9.67,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC258110,133.22,9.437,0.327,9.35,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC267933,156.5,9.364,0.267,9.94,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC267943,153.19,9.37,0.332,10.09,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC268008,73.21,8.639,0.474,9.62,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC330517,78.42,9.278,0.115,9.62,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC331411,48.29,8.858,0.291,9.26,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC332400,100.62,8.806,0.224,9.65,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC334293,129.8,9.103,0.556,9.66,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC334348,88.32,8.946,0.427,9.37,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC335005,75.29,8.127,0.433,9.02,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC560171,105.2,9.395,0.204,9.45,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC716685,192.62,9.579,0.23,10.11,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC716686,191.38,9.786,0.278,10.1,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC722556,97.42,8.942,0.285,9.36,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC725556,70.7,8.918,0.23,9.36,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC731691,117.21,8.869,0.621,9.46,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC732061,106.0,9.394,0.265,9.22,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC732066,109.88,8.901,0.421,9.44,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC732886,129.49,9.482,0.284,9.78,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC732898,132.9,9.101,0.45,9.31,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC733380,98.39,8.587,0.478,9.43,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC739481,181.78,10.013,0.157,9.91,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC740721,94.09,9.446,0.226,9.63,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC740724,95.02,10.086,0.101,9.62,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC740790,81.2,8.912,0.468,9.64,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC741992,101.42,9.013,0.331,9.28,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC742253,115.78,9.119,0.31,9.65,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC743347,119.31,9.549,0.142,9.76,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC743740,96.71,8.824,0.28,9.21,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC744004,106.71,8.939,0.421,9.51,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC745389,92.31,8.991,0.256,9.38,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC749190,98.08,8.322,0.597,9.53,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC749282,79.39,8.04,0.402,9.15,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC749325,133.98,9.248,0.66,9.86,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC749326,133.8,9.075,0.747,9.83,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC749339,189.92,9.029,0.3,9.92,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC749420,101.51,8.176,0.565,9.22,0,,,,,,,,,,,,60.0,unmatched,none,,,,
CGCG500-085,72.2,10.104,0.104,9.12,0,,,,,,,,,,,,60.0,unmatched,none,,,,
CGCG500-090,72.2,9.52,0.105,9.47,0,,,,,,,,,,,,60.0,unmatched,none,,,,
CGCG501-056,64.11,9.697,0.101,9.27,0,,,,,,,,,,,,60.0,unmatched,none,,,,
CGCG501-068,69.52,9.761,0.125,9.52,0,,,,,,,,,,,,60.0,unmatched,none,,,,
