# SoFiA source catalogue
# Creator: SoFiA 2.4.1 (23-Mar-2022)
# Time:    Fri, 22 Aug 2025, 08:28:18
#
# Note that the plain-text catalogue is solely intended for
# visual inspection and should not be used for quantitative
# analysis due to limited precision and the lack of Unified
# Content Descriptors.  The XML catalogue should instead be
# imported into Python or VO-compatible software to analyse
# the source parameters measured by SoFiA, e.g. through the
# astropy.io.votable module of Astropy.
#
# Header rows:
#   1 = column number
#   2 = parameter name
#   3 = parameter unit
#
#                           1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43            44            45            46
#                        name            id             x             y             z         x_min         x_max         y_min         y_max         z_min         z_max         n_pix         f_min         f_max         f_sum           rel          flag          fill          mean           std          skew          kurt           rms           w20           w50          wm50       ell_maj       ell_min        ell_pa     ell3s_maj     ell3s_min      ell3s_pa        kin_pa         err_x         err_y         err_z     err_f_sum            ra           dec         v_opt        x_peak        y_peak        z_peak       ra_peak      dec_peak    v_opt_peak
#                           -             -           pix           pix           pix           pix           pix           pix           pix           pix           pix             -       Jy/beam       Jy/beam       Jy/beam             -             -             -       JY/BEAM       JY/BEAM             -             -       Jy/beam           pix           pix           pix           pix           pix           deg           pix           pix           deg           deg           pix           pix           pix       Jy/beam           deg           deg           m/s           pix           pix           pix           deg           deg           m/s

  "SoFiA J082825.62+684637.1"            12     84.742636    301.120947     33.819932            79            95           299           303            27            42           262   7.73120e-04      0.004131      0.650818      0.000000             0      0.192647      3.374743      1.019587      0.150593     -0.645288      0.002130      9.290456      5.814063      8.563964      7.521372      1.618435    -85.835537      5.389489      1.561713    -86.734448     -1.000000      0.200214      0.045927      0.153472      0.034478    127.106738     68.776983   4.65198e+06            82           301            34    127.138247     68.776113   4.65007e+06
  "SoFiA J082738.23+684740.7"            13    102.010017    304.835464     27.871136            95           107           301           308            15            41           253   8.44833e-04      0.004019      0.636856      0.000000             0      0.090100      3.411677      1.131140      0.405485      0.174793      0.001809     18.508911      3.805210     19.061023      4.970868      2.026641    -76.371640      3.410138      1.427218    -76.161715     -1.000000      0.112282      0.054558      0.262962      0.028770    126.909281     68.794629   4.71522e+06           103           305            24    126.897935     68.795432   4.75639e+06
  "SoFiA J083043.70+690408.4"            14     37.686877    372.968392     30.248129            29            44           370           377            19            40           269   2.04256e-04      0.003607      0.478424      0.000000             0      0.095526      3.257075      1.315184      0.205047     -0.689459      0.001336     21.000000     20.334913     21.000000      7.301963      1.962417    -70.276844      7.336801      1.634951    -71.378378     -1.000000      0.148189      0.068649      0.251891      0.021920    127.682100     69.068995   4.68995e+06            39           373            33    127.666810     69.069351   4.66070e+06
  "SoFiA J083021.57+674459.5"            15     33.038982     56.313257     29.463302            21            39            53            58            23            40           146   9.87399e-04      0.003871      0.413252      0.000000             0      0.071150      3.468840      0.934928      0.429508     -0.429268      0.002289     11.419609      9.416022     17.000000      8.553141      1.164213    -76.939272      6.466477      0.756208    -76.871214     -1.000000      0.276738      0.073925      0.310031      0.027658    127.589861     67.749857   4.69829e+06            34            56            25    127.579158     67.748711   4.74575e+06
  "SoFiA J080941.64+690530.4"            16    488.150449    379.118441     37.371436           485           491           377           381            35            39            41      0.001348      0.003259      0.091476      0.000000             0      0.234286      4.317137      0.802984     -0.302918     -0.749868      0.001667      3.970792      2.778981      3.590214      4.125563      1.275169    -58.032352      0.000000      0.000000      0.000000     -1.000000      0.208153      0.143031      0.136065      0.010672    122.423489     69.091779   4.61424e+06           489           379            37    122.413640     69.091129   4.61819e+06
  "SoFiA J081231.87+685057.2"            17    429.361880    318.599322     31.697481           418           449           313           325            20            39           713   3.97350e-04      0.003994      1.561762      0.000000             0      0.085697      3.640023      1.164853      0.231665     -0.281824      0.001342     12.078471      9.007661     11.576871     15.260314      3.787662    -83.931490     14.981473      2.977154    -81.711156     -1.000000      0.176917      0.046166      0.084112      0.035842    123.132781     68.849220   4.67454e+06           426           319            31    123.171437     68.851343   4.68196e+06
  "SoFiA J081713.46+693908.3"            18    325.146364    508.949149     22.845074           321           329           506           511            15            38           166      0.001342      0.005687      0.559681      0.000000             1      0.128086      3.293215      1.030749      0.792495      0.578552      0.003068     14.314479      4.545223     16.700541      3.173433      1.835124    -75.483019      2.164138      1.253209    -79.886833     -1.000000      0.111881      0.067311      0.384068      0.039526    124.306076     69.652296   4.76867e+06           325           509            18    124.307822     69.652516   4.82021e+06
  "SoFiA J081349.38+680007.6"            19    406.985402    114.530911     31.095429           396           414           110           119            27            38           180   6.69604e-04      0.003900      0.405854      0.000000             0      0.078947      2.871072      0.846070      0.046254      0.137650      0.002060      6.497395      4.159404      5.947320     10.460047      1.808960    -64.379241      9.354957      0.755100    -67.896795     -1.000000      0.324485      0.160876      0.132296      0.027634    123.455767     68.002111   4.68094e+06           412           116            30    123.399542     68.007647   4.69259e+06
  "SoFiA J082920.75+683020.4"            20     62.480282    236.720537     28.539613            51            73           233           240            19            37           488   2.16726e-04      0.003983      1.065621      0.000000             0      0.139588      3.532597      1.244634      0.660325      0.837067      0.001648     15.024567     13.403295     13.990186     10.433707      2.008192    -78.761138     10.354002      1.512259    -75.667834     -1.000000      0.175648      0.048099      0.142185      0.036408    127.336462     68.505673   4.70811e+06            61           237            34    127.353400     68.506616   4.65007e+06
  "SoFiA J083242.24+693646.2"            21      1.844131    505.232807     27.699558             0             8           501           509            13            36           171   1.74708e-04      0.004872      0.451295      0.000000             1      0.087963      4.457466      2.031604      0.333508     -0.044675      0.001440     14.757333      9.352841     14.761460      3.954884      2.988722    -68.107776      3.388314      2.949986    -47.932380    180.000000      0.079898      0.064649      0.172745      0.018836    128.176008     69.612832   4.71705e+06             0           506            29    128.198500     69.615645   4.70322e+06
