# SoFiA source catalogue
# Creator: SoFiA 2.4.1 (23-Mar-2022)
# Time:    Fri, 22 Aug 2025, 08:32:01
#
# Note that the plain-text catalogue is solely intended for
# visual inspection and should not be used for quantitative
# analysis due to limited precision and the lack of Unified
# Content Descriptors.  The XML catalogue should instead be
# imported into Python or VO-compatible software to analyse
# the source parameters measured by SoFiA, e.g. through the
# astropy.io.votable module of Astropy.
#
# Header rows:
#   1 = column number
#   2 = parameter name
#   3 = parameter unit
#
#                           1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43            44            45            46
#                        name            id             x             y             z         x_min         x_max         y_min         y_max         z_min         z_max         n_pix         f_min         f_max         f_sum           rel          flag          fill          mean           std          skew          kurt           rms           w20           w50          wm50       ell_maj       ell_min        ell_pa     ell3s_maj     ell3s_min      ell3s_pa        kin_pa         err_x         err_y         err_z     err_f_sum            ra           dec         v_app        x_peak        y_peak        z_peak       ra_peak      dec_peak    v_app_peak
#                           -             -           pix           pix           pix           pix           pix           pix           pix           pix           pix             -       Jy/beam       Jy/beam       Jy/beam             -             -             -       JY/BEAM       JY/BEAM             -             -       Jy/beam           pix           pix           pix           pix           pix           deg           pix           pix           deg           deg           pix           pix           pix       Jy/beam           deg           deg           m/s           pix           pix           pix           deg           deg           m/s

  "SoFiA J085907.75+445947.6"            12    673.685353    711.471071    138.345431           644           710           668           735           135           140          1369     -0.001433      0.003838      2.795692      0.000000             0      0.050080      9.989062     21.580536     29.135160    979.802029      0.001060      3.862774      3.487769      3.817041     42.308804     19.732518    -55.842128     38.044881     10.594482    -83.698720     89.936276      0.237176      0.207197      0.022657      0.039202    134.782298     44.996554  -4.59398e+05           683           723           140    134.776801     45.001354  -4.64893e+05
  "SoFiA J085917.90+445908.1"            13    601.943755    685.092924    130.000721           580           628           669           708           127           140          1244  -2.56439e-04      0.003016      2.326084      0.000000             0      0.045335     15.899833     24.475441      3.772744     17.371379      0.001223      0.802731      0.501707     12.628560     21.930762     13.907721    -50.584339      0.000000      0.000000      0.000000     -1.000000      0.171217      0.165374      0.073756      0.043141    134.824579     44.985591  -4.31688e+05           604           682           127    134.823369     44.984301  -4.21724e+05
  "SoFiA J085946.08+450443.8"            14    402.809658    908.869725    136.046520           384           416           893           920           133           137           582   1.01902e-04      0.003539      1.386907      0.000000             0      0.125974     45.632760    145.024814      5.626961     31.625221      0.001169      1.642409      1.026506      0.000000     16.035745     10.652832     81.483488      9.242332      1.470955    -89.353500     -1.000000      0.180671      0.115672      0.005889      0.028200    134.941997     45.078825  -4.51764e+05           402           903           136    134.942472     45.076379  -4.51610e+05
  "SoFiA J090025.87+444816.9"            15    119.968176    251.441747    133.931923           112           131           237           269           132           137           289   8.40637e-04      0.002716      0.493694      0.000000             0      0.072980      6.096117      1.283804      0.532777      0.700987      0.001328      3.790674      3.115995      3.560191     15.269672      7.257189    -15.048486      0.000000      0.000000      0.000000     -1.000000      0.190162      0.348374      0.052447      0.022572    135.107788     44.804682  -4.44743e+05           118           257           134    135.108953     44.806995  -4.44969e+05
  "SoFiA J090042.23+450512.1"            16      6.349959    928.655054    124.850553             0            22           913           944           122           128           671  -9.57854e-04      0.003250      1.260175      0.000000             5      0.130241     18.727914     58.272536     11.516108    175.303098      0.001025      4.494906      1.936133      4.522415     14.343394      9.372388    -10.981350      9.623895      5.281869     36.223971     -1.000000      0.103898      0.152192      0.032517      0.026547    135.175977     45.086698  -4.14586e+05             1           935           124    135.179149     45.089334  -4.11762e+05
  "SoFiA J085842.09+450603.4"            17    854.491778    962.370061    123.771526           837           879           956           975           122           126           412   7.23657e-04      0.002232      0.598718      0.000000             0      0.095814     24.113637     49.105034      5.146499     30.707046      0.001022      4.000000      4.000000      4.000000     23.489801      6.883172     83.386834      0.000000      0.000000      0.000000     -1.000000      0.416828      0.127578      0.066143      0.020748    134.675395     45.100958  -4.11003e+05           845           962           122    134.680999     45.100814  -4.05121e+05
  "SoFiA J085933.64+450150.2"            18    490.621776    793.095871    124.529275           469           520           771           819           121           125          1244     -0.001441      0.004790      3.716927      0.000000             0      0.097645     15.532672     12.910407      1.932836      4.403809      0.001353      1.705356      1.266200      1.599690     20.722347     14.458834     67.434084     10.900488      8.393071     73.844739     -1.000000      0.140794      0.110889      0.009535      0.047718    134.890170     45.030603  -4.13520e+05           490           792           125    134.890537     45.030146  -4.15083e+05
  "SoFiA J085905.44+445429.6"            19    690.300312    499.482072    119.329731           674           705           485           511           117           122           672     -0.001809      0.003319      1.699542      0.000000             0      0.129630     12.046475     11.584952      4.301851     25.668982      0.001439      5.000000      5.000000      5.000000     16.552580      8.705203     60.969490      6.206980      3.262174     44.547032     -1.000000      0.174976      0.119677      0.048813      0.037307    134.772669     44.908217  -3.96254e+05           691           500           117    134.772257     44.908433  -3.88517e+05
  "SoFiA J085944.28+445315.7"            20    415.164905    450.174163    119.462982           405           427           440           461           117           121           486   5.68252e-04      0.003159      0.873233      0.000000             0      0.192095     12.033102     17.092981     14.755436    271.878015      0.001092      2.800801      1.001630      2.841477     10.139858      8.389785    -46.478091      0.000000      0.000000      0.000000     -1.000000      0.140795      0.138859      0.028739      0.024072    134.934514     44.887705  -3.96696e+05           413           449           119    134.935787     44.887215  -3.95159e+05
  "SoFiA J085952.33+444610.4"            21    357.811866    166.693018    118.927265           333           390           147           188           113           120           782   2.97812e-04      0.002015      0.899294      0.000000             0      0.040127     14.394403     27.075191      5.475136     30.700457      0.001127      3.599868      0.500000      3.900940     34.095077     10.078723    -66.608537      0.000000      0.000000      0.000000     -1.000000      0.585948      0.299373      0.049926      0.031503    134.968057     44.769566  -3.94917e+05           352           157           120    134.971461     44.765525  -3.98479e+05
  "SoFiA J085933.48+444819.4"            22    491.691838    252.571584    115.181621           484           501           246           259           113           117           109   3.45475e-04      0.001782      0.138664      0.000000             0      0.086508      4.813578      2.220152      0.576507     -0.200346   8.60346e-04      2.238336      1.273209      2.133838     10.472362      3.591544     67.551925      0.000000      0.000000      0.000000     -1.000000      0.319721      0.181212      0.041735      0.008982    134.889490     44.805385  -3.82479e+05           487           256           115    134.892246     44.806813  -3.81876e+05
  "SoFiA J090041.62+445613.0"            23      9.406823    569.213852    114.937709             0            22           525           606           109           116          1165   4.43949e-04      0.002680      1.812371      0.000000             5      0.077214    107.810971    735.888498     19.618573    469.878472      0.001354      2.618945      2.047362      2.805706     30.284275      9.505917     -6.021391      0.000000      0.000000      0.000000     -1.000000      0.133206      0.438053      0.044708      0.046215    135.173397     44.936936  -3.81669e+05             2           565           116    135.177748     44.935169  -3.85197e+05
  "SoFiA J085819.71+450216.3"            24   1013.048730    811.407748    112.999052           997          1024           792           831           109           115          1006  -8.76899e-04      0.003857      1.943408      0.000000             5      0.128316     23.511934     43.071335      4.684485     30.666973      0.001139      6.000000      1.790967      6.000000     18.487395     13.158951     -8.499800     15.711751      3.614477    -65.996178     -1.000000      0.123272      0.172452      0.044495      0.036123    134.582124     45.037855  -3.75232e+05          1019           811           114    134.578616     45.037676  -3.78555e+05
