cig,PHOT_EXTINCTION_INT,PHOT_EXTINCTION_INT_decimal,PHOT_K_CORRECTION,PHOT_K_CORRECTION_decimal,BTC,BTC_decimal,PHYS_DISTANCE,PHYS_DISTANCE_decimal,PHYS_LUMINOSITY_B,PHYS_LUMINOSITY_B_decimal,POS_INCLIN_LOS,POS_INCLIN_LOS_decimal,ANG_SIZE_MAJ,ANG_SIZE_MAJ_decimal,ANG_SIZE_MIN,ANG_SIZE_MIN_decimal,PHYS_SIZE_MAJ,PHYS_SIZE_MAJ_decimal,PHYS_SIZE_MIN,PHYS_SIZE_MIN_decimal
140,345,0.3450,87,0.0869,13.737,13.7371,211.4,211.356,11.11,11.1052,52.6,52.610,0.99,991,0.62,622,60.9,60.917,38.3,38.260
141,0,0.0000,26,0.0257,14.296,14.2963,25.9,25.915,9.06,9.0586,62.6,62.601,0.82,820,0.51,512,6.2,6.184,3.9,3.857
142,71,0.0709,43,0.0429,14.376,14.3762,106.9,106.902,10.26,10.2575,25.1,25.057,0.47,466,0.42,424,14.5,14.478,13.2,13.174
143,458,0.4578,34,0.0345,13.144,13.1437,70.0,69.982,10.38,10.3825,61.6,61.583,0.78,780,0.40,403,15.9,15.875,8.2,8.198
144,901,0.9010,29,0.0286,12.353,12.3534,51.5,51.488,10.43,10.4321,90.0,90.000,1.65,1.652,0.34,338,24.7,24.742,5.1,5.063
145,0,0.0000,56,0.0557,14.000,14.0003,48.7,48.712,9.73,9.7252,90.0,90.000,1.22,1.216,0.40,400,17.2,17.233,5.7,5.667
146,412,0.4118,14,0.0135,14.038,14.0377,50.8,50.820,9.75,9.7470,54.7,54.739,1.01,1.012,0.60,598,15.0,14.954,8.8,8.846
147,393,0.3930,16,0.0160,11.445,11.4450,35.9,35.854,10.48,10.4811,57.6,57.639,1.82,1.820,1.04,1.035,19.0,18.978,10.8,10.796
148,142,0.1423,48,0.0477,13.761,13.7610,97.1,97.084,10.42,10.4199,36.2,36.164,0.65,649,0.53,531,18.3,18.318,15.0,14.993
149,50,0.0499,37,0.0373,14.267,14.2668,65.6,65.644,9.88,9.8777,22.9,22.867,0.66,661,0.61,612,12.6,12.616,11.7,11.693
150,137,0.1374,60,0.0598,15.047,15.0468,121.4,121.430,10.10,10.0999,35.6,35.571,0.99,993,0.82,818,35.1,35.080,28.9,28.910
151,774,0.7739,31,0.0313,13.237,13.2368,63.2,63.239,10.26,10.2573,77.1,77.060,1.73,1.734,0.55,547,31.9,31.894,10.1,10.063
152,538,0.5382,11,0.0113,14.072,14.0725,32.3,32.263,9.34,9.3384,62.1,62.067,1.36,1.358,0.67,671,12.7,12.748,6.3,6.301
153,0,0.0000,68,0.0678,13.466,13.4662,63.0,62.956,10.16,10.1616,46.3,46.343,1.13,1.127,0.87,869,20.6,20.643,15.9,15.913
154,191,0.1909,25,0.0250,14.267,14.2670,59.7,59.676,9.79,9.7948,40.2,40.234,1.03,1.026,0.79,794,17.8,17.804,13.8,13.789
155,38,0.0382,5,0.0054,12.391,12.3914,23.6,23.581,9.74,9.7386,17.9,17.907,1.39,1.393,1.33,1.327,9.6,9.556,9.1,9.105
156,164,0.1640,21,0.0212,13.362,13.3618,36.5,36.484,9.73,9.7295,40.7,40.727,0.93,933,0.72,724,9.9,9.904,7.7,7.688
157,33,0.0329,46,0.0459,14.348,14.3482,110.3,110.317,10.30,10.2960,17.2,17.189,0.63,630,0.60,603,20.2,20.201,19.3,19.336
158,376,0.3759,70,0.0700,14.717,14.7172,142.4,142.424,10.37,10.3703,56.5,56.525,0.66,662,0.39,386,27.4,27.435,16.0,16.007
159,1.559,1.5589,22,0.0225,12.883,12.8826,57.1,57.102,10.31,10.3102,90.0,90.000,3.35,3.350,0.33,330,55.6,55.638,5.5,5.475
160,265,0.2649,30,0.0301,14.362,14.3619,56.1,56.074,9.70,9.7028,51.0,50.976,0.67,670,0.44,443,10.9,10.927,7.2,7.219
161,0,0.0000,115,0.1146,14.598,14.5984,104.4,104.448,10.15,10.1484,28.1,28.109,0.50,505,0.46,459,15.3,15.333,14.0,13.952
162,655,0.6550,8,0.0082,12.436,12.4358,17.1,17.066,9.44,9.4399,77.1,77.126,1.92,1.919,0.64,644,9.5,9.525,3.2,3.198
163,270,0.2696,14,0.0137,14.107,14.1066,17.2,17.215,8.78,8.7792,67.9,67.896,0.81,811,0.39,393,4.1,4.061,2.0,1.966
164,0,0.0000,49,0.0494,14.706,14.7056,122.4,122.387,10.24,10.2432,0.0,0,0.25,250,0.25,250,8.9,8.901,8.9,8.901
165,717,0.7166,18,0.0180,13.756,13.7564,55.6,55.633,9.94,9.9381,69.4,69.436,1.38,1.380,0.54,537,22.3,22.339,8.7,8.691
166,739,0.7390,38,0.0383,12.880,12.8797,70.5,70.505,10.49,10.4946,82.6,82.649,2.65,2.649,0.76,757,54.3,54.318,15.5,15.522
167,537,0.5366,8,0.0078,13.661,13.6605,16.2,16.221,8.91,8.9059,70.2,70.173,1.51,1.514,0.63,631,7.1,7.142,3.0,2.977
168,494,0.4945,18,0.0175,12.405,12.4050,37.7,37.722,10.14,10.1412,63.6,63.648,2.20,2.203,1.08,1.076,24.2,24.172,11.8,11.812
169,196,0.1960,61,0.0612,15.113,15.1128,150.5,150.480,10.26,10.2599,40.7,40.732,0.47,466,0.36,358,20.4,20.380,15.7,15.675
170,827,0.8271,39,0.0390,13.932,13.9319,71.7,71.705,10.09,10.0883,90.0,90.000,1.88,1.879,0.45,450,39.2,39.199,9.4,9.382
171,1.175,1.1746,16,0.0163,13.026,13.0260,50.6,50.642,10.15,10.1486,84.0,84.009,2.11,2.113,0.44,436,31.1,31.134,6.4,6.416
172,620,0.6204,40,0.0397,14.196,14.1959,82.4,82.433,10.10,10.1039,70.1,70.067,1.01,1.009,0.41,406,24.2,24.201,9.7,9.746
173,372,0.3719,59,0.0590,14.257,14.2571,79.7,79.673,10.05,10.0498,65.7,65.686,1.35,1.349,0.66,661,31.3,31.263,15.3,15.312
174,0,0.0000,163,0.1630,14.931,14.9310,146.2,146.228,10.31,10.3077,29.5,29.497,0.86,861,0.80,804,36.6,36.623,34.2,34.179
175,230,0.2298,15,0.0150,12.741,12.7412,18.0,17.976,9.36,9.3629,62.4,62.427,2.12,2.118,1.16,1.159,11.1,11.077,6.1,6.059
176,208,0.2080,27,0.0273,13.298,13.2978,68.4,68.416,10.30,10.3012,41.9,41.862,1.33,1.330,1.01,1.007,26.5,26.478,20.0,20.039
