cig,PHOT_EXTINCTION_INT,PHOT_EXTINCTION_INT_decimal,PHOT_K_CORRECTION,PHOT_K_CORRECTION_decimal,BTC,BTC_decimal,PHYS_DISTANCE,PHYS_DISTANCE_decimal,PHYS_LUMINOSITY_B,PHYS_LUMINOSITY_B_decimal,POS_INCLIN_LOS,POS_INCLIN_LOS_decimal,ANG_SIZE_MAJ,ANG_SIZE_MAJ_decimal,ANG_SIZE_MIN,ANG_SIZE_MIN_decimal,PHYS_SIZE_MAJ,PHYS_SIZE_MAJ_decimal,PHYS_SIZE_MIN,PHYS_SIZE_MIN_decimal
244,115,0.1149,89,0.0886,14.322,14.3225,77.1,77.116,10.00,9.9953,69.2,69.213,1.17,1.172,0.58,582,26.3,26.295,13.1,13.058
245,0,0.0000,63,0.0629,15.342,15.3421,53.1,53.131,9.26,9.2639,18.2,18.161,0.42,419,0.40,403,6.5,6.473,6.2,6.224
246,606,0.6065,41,0.0410,14.367,14.3666,100.1,100.127,10.20,10.2045,66.7,66.723,1.15,1.148,0.50,501,33.4,33.441,14.6,14.597
247,173,0.1729,1,0.0010,14.196,14.1961,23.8,23.764,9.02,9.0234,40.5,40.492,0.80,796,0.64,643,5.5,5.504,4.4,4.443
248,59,0.0592,73,0.0727,15.202,15.2021,146.8,146.821,10.20,10.2027,23.7,23.668,0.46,461,0.42,425,19.7,19.702,18.1,18.135
249,262,0.2625,30,0.0297,15.579,15.5789,86.0,86.005,9.59,9.5875,45.6,45.600,0.42,422,0.30,300,10.5,10.550,7.5,7.503
250,333,0.3326,1,0.0011,13.354,13.3544,28.0,27.950,9.50,9.5010,55.5,55.523,1.59,1.592,1.05,1.054,12.9,12.945,8.6,8.573
251,211,0.2114,61,0.0608,14.555,14.5548,148.4,148.394,10.47,10.4709,42.2,42.178,0.93,927,0.70,698,40.0,40.007,30.1,30.140
252,764,0.7642,43,0.0429,14.791,14.7910,124.3,124.347,10.22,10.2229,71.1,71.143,0.83,834,0.30,304,30.2,30.155,11.0,10.999
253,566,0.5657,52,0.0518,15.129,15.1286,122.2,122.242,10.07,10.0730,64.9,64.866,0.68,684,0.32,316,24.3,24.319,11.2,11.245
254,50,0.0502,76,0.0757,15.975,15.9752,180.5,180.490,10.07,10.0728,21.2,21.162,0.39,390,0.36,365,20.5,20.473,19.2,19.150
255,276,0.2763,95,0.0952,14.408,14.4075,166.0,165.961,10.63,10.6270,52.0,51.970,1.21,1.213,0.79,787,58.6,58.578,38.0,37.996
256,0,0.0000,102,0.1017,15.348,15.3483,91.7,91.722,9.74,9.7356,90.0,90.000,0.89,891,0.60,603,23.8,23.779,16.1,16.077
257,0,0.0000,194,0.1944,15.593,15.5926,170.8,170.812,10.18,10.1780,61.8,61.789,0.55,555,0.35,350,27.6,27.558,17.4,17.388
258,267,0.2673,39,0.0393,15.139,15.1393,78.9,78.905,9.69,9.6885,48.5,48.530,0.64,637,0.44,436,14.6,14.616,10.0,9.996
259,149,0.1494,70,0.0697,15.141,15.1409,120.5,120.523,10.06,10.0558,39.0,38.955,0.83,832,0.66,661,29.2,29.161,23.2,23.163
260,83,0.0829,30,0.0302,13.550,13.5499,71.1,71.139,10.23,10.2343,27.0,27.045,1.02,1.023,0.92,916,21.2,21.176,19.0,18.960
261,78,0.0778,50,0.0496,14.879,14.8786,117.1,117.078,10.14,10.1355,26.2,26.214,0.42,419,0.38,378,14.3,14.263,12.9,12.859
262,438,0.4378,51,0.0508,14.288,14.2884,104.6,104.591,10.27,10.2736,60.4,60.411,0.54,536,0.29,285,16.3,16.301,8.7,8.674
263,226,0.2259,91,0.0906,15.510,15.5095,183.0,182.965,10.27,10.2709,44.9,44.926,0.51,511,0.37,371,27.2,27.170,19.7,19.729
264,0,0.0000,116,0.1157,15.012,15.0123,101.2,101.205,9.96,9.9555,52.9,52.855,0.65,647,0.48,479,19.1,19.052,14.1,14.091
265,547,0.5467,0,0.0000,14.616,14.6163,12.8,12.800,8.32,8.3179,72.0,72.039,0.89,893,0.45,449,3.3,3.326,1.7,1.671
266,375,0.3752,37,0.0367,14.511,14.5111,90.1,90.115,10.06,10.0551,54.6,54.572,1.02,1.023,0.62,617,26.8,26.824,16.2,16.163
267,213,0.2131,19,0.0192,15.075,15.0747,58.2,58.174,9.45,9.4496,41.5,41.471,0.99,991,0.75,752,16.8,16.767,12.7,12.719
268,547,0.5469,21,0.0212,14.810,14.8099,60.5,60.541,9.59,9.5901,62.5,62.467,1.11,1.112,0.54,543,19.6,19.578,9.6,9.567
269,358,0.3578,140,0.1397,14.783,14.7835,183.4,183.445,10.56,10.5636,64.5,64.474,0.71,708,0.36,357,37.8,37.777,19.1,19.065
270,753,0.7530,67,0.0670,14.576,14.5760,116.2,116.205,10.25,10.2500,83.8,83.799,0.96,959,0.27,267,32.4,32.430,9.0,9.015
271,420,0.4203,44,0.0435,14.312,14.3122,106.1,106.098,10.28,10.2765,57.3,57.305,1.10,1.099,0.62,622,33.9,33.918,19.2,19.206
272,236,0.2365,85,0.0849,15.702,15.7016,110.5,110.544,9.76,9.7564,53.0,52.958,0.47,474,0.31,306,15.2,15.250,9.8,9.846
273,24,0.0242,78,0.0785,15.778,15.7783,186.9,186.904,10.18,10.1819,14.8,14.781,0.51,512,0.50,495,27.8,27.819,26.9,26.937
274,93,0.0932,56,0.0563,15.659,15.6595,97.8,97.830,9.67,9.6671,31.0,31.050,0.45,453,0.39,393,12.9,12.888,11.2,11.174
275,784,0.7842,90,0.0898,14.388,14.3880,158.8,158.832,10.60,10.5967,87.4,87.442,1.10,1.096,0.29,286,50.7,50.660,13.2,13.233
276,928,0.9283,7,0.0068,14.968,14.9679,22.6,22.581,8.67,8.6703,74.9,74.896,0.72,724,0.22,219,4.8,4.759,1.4,1.437
277,631,0.6312,21,0.0205,14.609,14.6093,58.5,58.474,9.64,9.6402,66.1,66.122,0.96,962,0.42,420,16.4,16.357,7.1,7.140
278,504,0.5041,58,0.0580,13.820,13.8199,101.5,101.485,10.43,10.4348,68.2,68.213,1.09,1.086,0.48,480,32.1,32.072,14.2,14.162
279,635,0.6352,13,0.0126,12.981,12.9812,22.5,22.526,9.46,9.4629,70.8,70.766,1.64,1.644,0.65,647,10.8,10.775,4.2,4.240
280,109,0.1087,29,0.0285,15.115,15.1148,67.0,66.997,9.56,9.5562,30.8,30.822,1.16,1.164,1.01,1.007,22.7,22.687,19.6,19.624
281,47,0.0467,23,0.0233,13.125,13.1249,55.1,55.138,10.18,10.1829,20.4,20.434,1.47,1.466,1.38,1.377,23.5,23.506,22.1,22.089
282,141,0.1406,57,0.0565,15.281,15.2808,113.0,112.957,9.94,9.9435,36.0,35.968,0.53,535,0.44,439,17.6,17.565,14.4,14.409
283,886,0.8865,14,0.0143,13.673,13.6732,51.5,51.496,9.90,9.9043,73.7,73.694,1.55,1.549,0.49,494,23.2,23.201,7.4,7.405
284,145,0.1448,72,0.0718,15.503,15.5034,170.9,170.885,10.21,10.2140,35.3,35.330,0.36,357,0.29,294,17.8,17.759,14.6,14.636
285,497,0.4972,17,0.0168,11.882,11.8820,18.4,18.365,9.73,9.7252,90.0,90.000,4.45,4.446,0.89,889,23.8,23.753,4.8,4.750
286,196,0.1960,49,0.0485,15.375,15.3755,114.3,114.307,9.92,9.9160,40.7,40.732,0.53,530,0.41,407,17.6,17.612,13.5,13.546
287,496,0.4960,54,0.0539,14.748,14.7481,108.5,108.458,10.12,10.1213,63.7,63.732,0.90,904,0.44,441,28.5,28.509,13.9,13.899
288,124,0.1242,58,0.0576,15.681,15.6812,136.3,136.260,9.95,9.9463,32.8,32.847,0.51,514,0.44,436,20.4,20.375,17.3,17.262
289,208,0.2080,68,0.0676,15.150,15.1504,160.2,160.191,10.30,10.2991,41.9,41.862,0.56,558,0.42,423,26.0,26.023,19.7,19.695
290,923,0.9231,6,0.0061,14.464,14.4637,22.8,22.799,8.88,8.8804,74.7,74.749,1.42,1.422,0.43,433,9.4,9.433,2.9,2.868
291,178,0.1778,11,0.0113,14.203,14.2029,29.8,29.822,9.22,9.2179,38.1,38.128,1.29,1.288,1.02,1.023,11.2,11.176,8.9,8.877
292,385,0.3849,14,0.0136,12.294,12.2944,23.4,23.400,9.77,9.7706,60.4,60.428,2.93,2.931,1.59,1.589,19.9,19.950,10.8,10.813
293,1.419,1.4190,1,0.0009,13.806,13.8061,21.6,21.591,9.10,9.0961,90.0,90.000,1.44,1.442,0.25,245,9.1,9.057,1.5,1.542
294,1.022,1.0225,63,0.0632,15.144,15.1443,108.7,108.725,9.96,9.9649,90.0,90.000,0.94,940,0.15,146,29.7,29.721,4.6,4.614
295,712,0.7124,38,0.0377,14.309,14.3089,73.3,73.304,9.96,9.9567,74.3,74.309,0.95,953,0.33,332,20.3,20.317,7.1,7.077
296,902,0.9018,28,0.0280,13.575,13.5752,55.5,55.465,10.01,10.0079,83.2,83.233,1.61,1.611,0.41,411,26.0,25.986,6.6,6.633
297,215,0.2148,NULL,NULL,15.302,15.3022,NULL,NULL,NULL,NULL,42.5,42.490,0.63,628,0.47,471,NULL,NULL,NULL,NULL
298,99,0.0990,71,0.0707,13.853,13.8534,92.5,92.530,10.34,10.3412,34.8,34.828,1.57,1.567,1.31,1.312,42.2,42.171,35.3,35.319
299,1.170,1.1695,5,0.0051,13.972,13.9723,25.6,25.623,9.18,9.1783,90.0,90.000,1.69,1.694,0.38,383,12.6,12.629,2.9,2.853
300,843,0.8430,2,0.0022,14.356,14.3559,15.6,15.590,8.59,8.5934,90.0,90.000,0.98,977,0.34,340,4.4,4.432,1.5,1.544
301,376,0.3759,59,0.0589,15.290,15.2903,116.7,116.739,9.97,9.9683,56.5,56.525,0.49,489,0.29,285,16.6,16.594,9.7,9.681
302,355,0.3547,65,0.0655,14.428,14.4279,113.5,113.455,10.29,10.2885,58.2,58.237,0.75,753,0.43,430,24.9,24.863,14.2,14.176
303,0,0.0000,57,0.0574,13.035,13.0346,47.2,47.223,10.08,10.0845,90.0,90.000,2.74,2.742,0.93,931,37.7,37.660,12.8,12.790
304,407,0.4070,81,0.0810,15.043,15.0431,193.0,193.027,10.50,10.5040,56.5,56.520,0.78,782,0.45,451,43.9,43.888,25.3,25.313
305,0,0.0000,87,0.0867,14.910,14.9103,73.1,73.092,9.71,9.7136,13.8,13.824,0.78,776,0.76,762,16.5,16.504,16.2,16.203
306,526,0.5261,22,0.0221,15.185,15.1847,61.7,61.668,9.46,9.4562,61.5,61.499,0.69,690,0.35,347,12.4,12.382,6.2,6.220
307,71,0.0709,65,0.0649,15.488,15.4882,153.4,153.408,10.13,10.1264,25.1,25.057,0.54,541,0.49,492,24.1,24.131,22.0,21.957
308,9,0.0087,47,0.0467,14.713,14.7127,110.2,110.226,10.15,10.1495,8.9,8.861,0.53,530,0.52,524,17.0,16.983,16.8,16.788
309,44,0.0440,20,0.0203,10.893,10.8927,14.4,14.404,9.91,9.9099,41.3,41.257,4.25,4.246,3.36,3.357,17.8,17.791,14.1,14.067
310,744,0.7440,51,0.0507,14.310,14.3102,100.2,100.197,10.23,10.2276,75.7,75.724,0.89,893,0.30,296,26.0,26.036,8.6,8.621
311,382,0.3821,55,0.0555,15.241,15.2414,110.2,110.188,9.94,9.9377,56.9,56.935,0.57,570,0.33,330,18.3,18.275,10.6,10.565
312,879,0.8785,56,0.0561,13.775,13.7754,111.8,111.766,10.54,10.5365,82.0,81.976,1.15,1.151,0.31,305,37.4,37.414,9.9,9.932
313,152,0.1516,92,0.0923,15.011,15.0111,220.8,220.768,10.63,10.6334,36.1,36.111,0.70,697,0.57,569,44.7,44.736,36.5,36.531
314,623,0.6227,14,0.0144,11.505,11.5048,34.0,34.047,10.41,10.4122,67.4,67.437,2.14,2.138,0.91,912,21.2,21.174,9.0,9.032
315,0,0.0000,76,0.0763,15.543,15.5427,63.7,63.659,9.34,9.3406,90.0,90.000,0.89,889,0.27,270,16.5,16.466,5.0,4.996
316,165,0.1654,107,0.1072,15.240,15.2404,93.7,93.734,9.80,9.7977,90.0,90.000,0.90,902,0.29,288,24.6,24.582,7.9,7.864
317,788,0.7878,10,0.0095,14.097,14.0966,24.7,24.713,9.10,9.0972,72.0,71.962,1.36,1.365,0.48,482,9.8,9.810,3.5,3.465
318,285,0.2848,114,0.1144,15.243,15.2429,230.8,230.807,10.58,10.5794,49.9,49.942,0.51,508,0.34,339,34.1,34.117,22.7,22.750
319,800,0.8003,50,0.0497,13.154,13.1540,62.8,62.816,10.28,10.2846,90.0,90.000,1.93,1.928,0.31,311,35.2,35.220,5.7,5.686
320,145,0.1448,NULL,NULL,15.597,15.5972,NULL,NULL,NULL,NULL,35.3,35.330,0.62,618,0.51,509,NULL,NULL,NULL,NULL
321,66,0.0660,37,0.0368,15.951,15.9512,105.0,105.048,9.61,9.6123,23.7,23.721,0.48,483,0.44,444,14.8,14.761,13.6,13.555
322,38,0.0381,10,0.0102,15.849,15.8487,23.8,23.800,8.36,8.3637,18.5,18.477,0.63,630,0.60,598,4.4,4.358,4.1,4.143
323,862,0.8620,52,0.0521,14.064,14.0639,104.2,104.181,10.36,10.3600,81.1,81.143,1.06,1.064,0.29,290,32.2,32.249,8.8,8.801
324,457,0.4565,0,0.0000,9.540,9.5405,14.1,14.100,10.43,10.4323,65.2,65.240,6.90,6.902,3.31,3.311,28.3,28.310,13.6,13.581
325,40,0.0398,43,0.0430,14.870,14.8702,104.6,104.609,10.04,10.0411,18.9,18.886,0.84,841,0.80,798,25.6,25.603,24.3,24.283
326,494,0.4941,5,0.0052,14.557,14.5568,20.1,20.074,8.73,8.7326,59.0,59.033,1.02,1.016,0.54,541,5.9,5.934,3.2,3.158
327,609,0.6092,56,0.0562,14.677,14.6766,99.5,99.454,10.07,10.0746,74.4,74.428,0.76,755,0.28,276,21.8,21.845,8.0,7.986
328,267,0.2674,36,0.0358,14.383,14.3827,84.5,84.478,10.05,10.0504,47.0,46.963,0.79,789,0.55,551,19.4,19.385,13.5,13.535
329,935,0.9345,31,0.0307,12.514,12.5138,52.1,52.065,10.38,10.3776,90.0,90.000,2.64,2.636,0.50,501,39.9,39.927,7.6,7.590
330,225,0.2250,24,0.0235,15.030,15.0295,56.0,55.971,9.43,9.4341,43.4,43.408,0.73,726,0.54,537,11.8,11.822,8.7,8.744
331,303,0.3031,84,0.0843,14.856,14.8556,150.2,150.164,10.36,10.3609,54.2,54.223,1.19,1.189,0.74,738,51.9,51.915,32.2,32.232
332,0,0.0000,65,0.0648,14.211,14.2112,56.5,56.534,9.77,9.7701,54.2,54.227,0.92,916,0.64,641,15.1,15.067,10.5,10.545
333,98,0.0984,46,0.0457,15.051,15.0508,109.6,109.585,10.01,10.0092,29.4,29.379,0.83,828,0.73,726,26.4,26.392,23.1,23.146
334,758,0.7583,33,0.0331,15.106,15.1056,63.8,63.761,9.52,9.5169,76.4,76.361,1.01,1.014,0.33,328,18.8,18.805,6.1,6.085
335,865,0.8648,21,0.0209,12.797,12.7973,42.8,42.818,10.09,10.0943,81.3,81.280,2.44,2.443,0.66,664,30.4,30.433,8.3,8.267
336,242,0.2421,61,0.0605,14.428,14.4284,105.3,105.303,10.22,10.2235,48.9,48.896,1.08,1.076,0.74,738,33.0,32.974,22.6,22.603
337,262,0.2621,132,0.1319,15.352,15.3520,230.3,230.264,10.53,10.5336,50.7,50.723,0.80,800,0.53,531,53.6,53.574,35.6,35.559
338,0,0.0000,53,0.0530,14.410,14.4100,43.0,43.015,9.45,9.4532,72.5,72.483,0.96,959,0.52,521,12.0,12.004,6.5,6.521
339,51,0.0510,49,0.0490,14.411,14.4110,100.3,100.348,10.19,10.1886,22.0,22.000,1.36,1.358,1.26,1.265,39.6,39.649,36.9,36.918
340,910,0.9099,28,0.0282,12.989,12.9889,54.8,54.762,10.23,10.2314,83.7,83.708,1.84,1.837,0.46,462,29.3,29.255,7.4,7.365
341,0,0.0000,8,0.0077,16.110,16.1103,201.4,201.449,10.11,10.1142,0.0,0,0.18,183,0.18,183,10.7,10.737,10.7,10.737
342,151,0.1508,33,0.0328,14.790,14.7904,55.1,55.143,9.52,9.5168,39.1,39.137,0.77,769,0.61,610,12.3,12.337,9.8,9.777
343,190,0.1901,24,0.0241,14.277,14.2768,67.2,67.213,9.89,9.8942,39.3,39.342,0.99,993,0.78,776,19.4,19.417,15.2,15.177
344,536,0.5361,28,0.0278,15.004,15.0040,66.5,66.488,9.59,9.5939,63.5,63.459,1.29,1.291,0.62,622,25.0,24.973,12.0,12.036
345,1.016,1.0156,39,0.0385,14.894,14.8939,89.0,89.016,9.89,9.8914,82.4,82.394,0.85,849,0.20,204,22.0,21.988,5.3,5.275
346,104,0.1036,46,0.0461,14.272,14.2723,83.9,83.948,10.09,10.0891,32.7,32.682,0.95,951,0.81,811,23.2,23.213,19.8,19.803
347,602,0.6024,0,0.0000,8.796,8.7956,10.0,10.000,10.43,10.4318,66.2,66.155,11.94,11.940,5.28,5.284,34.7,34.732,15.4,15.372
348,544,0.5444,62,0.0616,15.494,15.4940,145.4,145.425,10.08,10.0777,63.9,63.856,0.48,480,0.23,229,20.3,20.294,9.7,9.669
349,0,0.0000,65,0.0647,15.222,15.2223,157.1,157.092,10.25,10.2534,0.0,0,1.08,1.076,1.08,1.076,49.2,49.190,49.2,49.190
350,1.044,1.0436,50,0.0496,14.387,14.3869,97.4,97.414,10.17,10.1725,90.0,90.000,1.14,1.143,0.23,228,32.4,32.385,6.5,6.462
351,271,0.2705,38,0.0385,14.729,14.7290,75.3,75.347,9.81,9.8125,48.8,48.792,0.92,916,0.62,624,20.1,20.081,13.7,13.671
352,762,0.7620,4,0.0043,14.774,14.7738,20.2,20.173,8.65,8.6500,90.0,90.000,0.74,741,0.28,283,4.4,4.350,1.7,1.661
353,235,0.2352,30,0.0303,15.110,15.1095,69.4,69.365,9.59,9.5885,44.3,44.299,0.61,605,0.44,442,12.2,12.214,8.9,8.910
354,243,0.2431,17,0.0175,15.463,15.4634,47.3,47.334,9.11,9.1150,44.0,44.044,0.74,740,0.54,540,10.2,10.184,7.4,7.428
355,662,0.6620,20,0.0197,13.830,13.8303,56.4,56.444,9.92,9.9211,67.4,67.358,1.07,1.074,0.45,450,17.6,17.634,7.4,7.385
356,303,0.3029,24,0.0238,15.208,15.2082,56.4,56.405,9.37,9.3693,49.7,49.666,0.57,566,0.38,377,9.3,9.291,6.2,6.181
357,167,0.1670,33,0.0330,14.917,14.9170,82.2,82.178,9.81,9.8127,37.8,37.795,0.85,847,0.68,678,20.3,20.253,16.2,16.199
358,0,0.0000,57,0.0573,13.103,13.1027,47.4,47.390,10.06,10.0603,59.2,59.178,1.43,1.432,0.99,986,19.7,19.743,13.6,13.596
359,101,0.1014,62,0.0617,13.496,13.4959,61.5,61.540,10.13,10.1299,41.5,41.518,1.11,1.107,0.86,863,19.8,19.810,15.4,15.448
360,17,0.0173,74,0.0744,16.285,16.2853,177.1,177.066,9.93,9.9321,12.5,12.510,0.38,376,0.37,367,19.4,19.358,18.9,18.917
361,447,0.4469,39,0.0386,13.047,13.0475,91.5,91.506,10.65,10.6539,58.8,58.821,1.59,1.592,0.87,869,42.4,42.381,23.1,23.130
362,754,0.7540,61,0.0611,14.502,14.5018,125.8,125.818,10.35,10.3488,76.2,76.170,1.02,1.023,0.33,333,37.5,37.451,12.2,12.203
363,470,0.4700,20,0.0200,12.661,12.6610,42.4,42.382,10.14,10.1400,62.3,62.285,2.08,2.080,1.05,1.054,25.6,25.640,13.0,12.999
364,158,0.1582,99,0.0992,15.238,15.2376,83.9,83.852,9.70,9.7020,90.0,90.000,0.77,769,0.26,264,18.8,18.760,6.4,6.445
365,76,0.0760,41,0.0412,14.578,14.5778,95.7,95.733,10.08,10.0810,25.9,25.930,0.72,716,0.65,647,19.9,19.943,18.0,18.021
366,272,0.2720,49,0.0494,14.341,14.3406,85.9,85.891,10.08,10.0817,51.6,51.601,1.02,1.021,0.67,667,25.5,25.508,16.7,16.660
367,248,0.2484,34,0.0343,15.131,15.1313,101.4,101.404,9.91,9.9096,44.5,44.476,0.89,889,0.64,644,26.2,26.229,19.0,19.001
368,152,0.1516,55,0.0548,14.829,14.8286,132.1,132.129,10.26,10.2605,36.1,36.111,0.72,721,0.59,589,27.7,27.716,22.6,22.632
369,998,0.9979,NULL,NULL,14.488,14.4881,NULL,NULL,NULL,NULL,76.8,76.798,0.77,769,0.21,212,NULL,NULL,NULL,NULL
370,259,0.2589,56,0.0561,15.115,15.1149,133.1,133.138,10.15,10.1526,46.3,46.284,0.51,512,0.36,361,19.8,19.817,14.0,13.997
371,1.530,1.5302,4,0.0036,13.893,13.8932,14.4,14.434,8.71,8.7115,90.0,90.000,1.81,1.807,0.25,254,7.6,7.588,1.1,1.067
372,390,0.3903,72,0.0715,14.673,14.6732,170.4,170.412,10.54,10.5437,55.5,55.509,0.81,805,0.48,475,39.9,39.923,23.6,23.563
373,152,0.1516,58,0.0576,15.332,15.3318,138.9,138.891,10.10,10.1026,36.1,36.111,0.64,635,0.52,519,25.7,25.669,21.0,20.960
374,738,0.7383,48,0.0482,14.156,14.1565,99.2,99.152,10.28,10.2800,75.5,75.468,1.33,1.327,0.44,444,38.3,38.285,12.8,12.795
375,286,0.2862,105,0.1054,15.235,15.2354,186.4,186.441,10.40,10.3969,52.8,52.817,0.48,481,0.31,307,26.1,26.078,16.6,16.644
376,57,0.0571,19,0.0185,14.115,14.1154,45.4,45.424,9.62,9.6184,22.5,22.543,1.20,1.199,1.11,1.112,15.8,15.849,14.7,14.690
377,1.008,1.0082,5,0.0052,12.743,12.7425,17.2,17.182,9.32,9.3231,77.1,77.074,2.22,2.223,0.60,604,11.1,11.112,3.0,3.019
378,0,0.0000,156,0.1558,15.086,15.0862,134.5,134.538,10.17,10.1732,55.1,55.139,0.79,794,0.57,573,31.1,31.087,22.4,22.417
379,232,0.2318,33,0.0327,14.867,14.8675,75.7,75.654,9.76,9.7607,44.0,44.005,0.58,578,0.42,424,12.7,12.722,9.3,9.323
380,0,0.0000,88,0.0880,15.702,15.7020,75.4,75.408,9.42,9.4240,16.5,16.488,0.45,453,0.44,439,9.9,9.934,9.6,9.619
381,158,0.1582,67,0.0673,15.355,15.3545,115.6,115.584,9.93,9.9340,40.0,40.030,0.44,440,0.34,344,14.8,14.778,11.6,11.578
382,176,0.1762,16,0.0160,13.123,13.1229,34.2,34.237,9.77,9.7698,40.0,40.011,1.58,1.578,1.23,1.230,15.7,15.711,12.3,12.252
383,384,0.3837,10,0.0097,13.107,13.1066,15.9,15.858,9.11,9.1079,57.0,57.036,2.11,2.109,1.22,1.216,9.7,9.727,5.6,5.610
384,498,0.4983,71,0.0715,14.767,14.7672,172.8,172.772,10.52,10.5180,61.6,61.565,1.05,1.047,0.53,532,52.6,52.626,26.7,26.742
385,783,0.7830,10,0.0105,12.556,12.5565,39.9,39.901,10.13,10.1294,70.5,70.499,1.66,1.660,0.61,607,19.3,19.262,7.0,7.042
386,283,0.2826,41,0.0412,14.763,14.7632,99.1,99.135,10.04,10.0372,48.2,48.150,0.74,743,0.51,508,21.4,21.427,14.7,14.654
387,0,0.0000,136,0.1363,15.769,15.7687,117.0,116.998,9.78,9.7789,46.7,46.746,0.43,432,0.33,331,14.7,14.686,11.3,11.269
388,379,0.3789,0,0.0000,11.402,11.4021,1.4,1.400,7.68,7.6814,59.2,59.166,4.89,4.887,3.05,3.055,2.0,1.990,1.2,1.244
389,0,0.0000,20,0.0197,12.683,12.6833,14.4,14.394,9.19,9.1930,90.0,90.000,2.33,2.328,0.50,502,9.7,9.748,2.1,2.103
390,299,0.2989,67,0.0674,14.671,14.6708,121.5,121.493,10.25,10.2508,53.9,53.877,1.08,1.084,0.68,678,38.3,38.307,23.9,23.948
391,801,0.8014,22,0.0222,15.266,15.2665,62.2,62.216,9.43,9.4312,72.4,72.420,0.90,902,0.31,313,16.3,16.316,5.7,5.658
392,151,0.1508,56,0.0556,14.654,14.6536,97.8,97.756,10.07,10.0689,39.1,39.137,0.80,796,0.63,631,22.6,22.640,17.9,17.942
393,16,0.0165,17,0.0169,14.661,14.6606,34.6,34.634,9.16,9.1648,12.6,12.585,0.58,575,0.56,562,5.8,5.797,5.7,5.665
394,447,0.4471,67,0.0669,15.273,15.2731,133.5,133.484,10.09,10.0916,61.0,60.957,0.79,787,0.41,413,30.6,30.560,16.0,16.038
395,600,0.6004,107,0.1069,14.963,14.9627,188.1,188.072,10.51,10.5136,73.9,73.916,0.73,735,0.27,273,40.2,40.184,14.9,14.930
396,0,0.0000,46,0.0460,14.168,14.1680,40.9,40.867,9.51,9.5055,4.6,4.605,0.98,982,0.98,979,11.7,11.671,11.6,11.644
397,145,0.1455,18,0.0181,13.210,13.2104,33.3,33.327,9.71,9.7114,36.6,36.553,0.77,774,0.63,631,7.5,7.508,6.1,6.117
398,81,0.0812,100,0.1002,15.843,15.8426,238.6,238.594,10.37,10.3683,26.8,26.771,0.56,557,0.50,500,38.7,38.671,34.7,34.704
399,222,0.2216,34,0.0336,14.209,14.2088,79.1,79.055,10.06,10.0623,43.1,43.105,1.04,1.042,0.77,774,24.0,23.969,17.8,17.810
400,1.006,1.0059,34,0.0337,12.322,12.3224,66.5,66.486,10.67,10.6665,90.0,90.000,3.10,3.097,0.66,661,59.9,59.904,12.8,12.778
401,505,0.5049,35,0.0354,14.108,14.1077,81.1,81.097,10.12,10.1249,61.9,61.903,1.11,1.109,0.56,558,26.2,26.166,13.2,13.174
402,442,0.4420,20,0.0203,14.583,14.5827,542.3,542.345,11.59,11.5855,63.9,63.856,1.12,1.117,0.65,646,176.2,176.198,101.9,101.860
403,187,0.1875,64,0.0643,15.396,15.3962,153.5,153.540,10.16,10.1640,39.9,39.898,0.65,647,0.50,504,28.9,28.903,22.5,22.488
404,265,0.2649,98,0.0982,15.501,15.5009,169.7,169.676,10.21,10.2089,51.0,50.976,0.59,594,0.39,393,29.3,29.332,19.4,19.380
405,136,0.1362,34,0.0343,14.852,14.8515,78.4,78.386,9.80,9.7979,34.3,34.323,0.92,920,0.77,767,21.0,20.988,17.5,17.497
406,395,0.3953,46,0.0460,15.636,15.6358,107.2,107.209,9.76,9.7562,55.8,55.816,0.60,600,0.35,352,18.7,18.705,11.0,10.964
407,841,0.8410,4,0.0041,14.028,14.0280,13.4,13.372,8.59,8.5912,72.3,72.332,1.35,1.352,0.46,458,5.3,5.259,1.8,1.782
408,193,0.1926,43,0.0428,15.372,15.3716,99.6,99.607,9.80,9.7979,40.4,40.401,0.62,617,0.48,476,17.9,17.866,13.8,13.804
409,254,0.2538,35,0.0350,15.279,15.2791,81.8,81.793,9.66,9.6638,45.9,45.869,0.58,583,0.41,415,13.9,13.882,9.9,9.873
410,268,0.2678,29,0.0292,14.120,14.1201,81.7,81.653,10.13,10.1259,46.0,46.011,0.77,771,0.54,545,18.3,18.310,12.9,12.933
411,538,0.5384,57,0.0575,14.978,14.9782,115.2,115.208,10.08,10.0817,66.0,65.992,0.81,809,0.37,370,27.1,27.115,12.4,12.394
412,0,0.0000,192,0.1918,15.802,15.8022,169.1,169.134,10.09,10.0856,18.9,18.940,0.42,417,0.40,403,20.5,20.510,19.8,19.813
413,72,0.0723,99,0.0989,15.166,15.1657,83.2,83.164,9.72,9.7236,53.4,53.388,0.53,531,0.35,354,12.8,12.843,8.6,8.564
414,119,0.1190,79,0.0787,15.791,15.7912,186.7,186.662,10.18,10.1756,32.2,32.189,0.42,419,0.36,357,22.7,22.739,19.4,19.399
415,71,0.0713,176,0.1759,15.428,15.4278,151.9,151.933,10.14,10.1422,53.0,52.959,0.43,430,0.29,288,19.0,18.984,12.7,12.746
416,1.240,1.2397,13,0.0130,13.545,13.5453,27.3,27.255,9.40,9.4027,90.0,90.000,1.66,1.663,0.28,281,13.2,13.188,2.2,2.229
